,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,5482,
'0:0:0.05,5475,
'0:0:0.1,5466,
'0:0:0.15,5452,
'0:0:0.2,5439,
'0:0:0.25,5433,
'0:0:0.3,5432,
'0:0:0.35,5431,
'0:0:0.4,5428,
'0:0:0.45,5423,
'0:0:0.5,5416,
'0:0:0.55,5405,
'0:0:0.6,5394,
'0:0:0.65,5384,
'0:0:0.7,5384,
'0:0:0.75,5388,
'0:0:0.8,5386,
'0:0:0.85,5386,
'0:0:0.9,5387,
'0:0:0.95,5385,
'0:0:1.0,5381,
'0:0:1.05,5377,
'0:0:1.1,5370,
'0:0:1.15,5370,
'0:0:1.2,5376,
'0:0:1.25,5386,
'0:0:1.3,5396,
'0:0:1.35,5402,
'0:0:1.4,5408,
'0:0:1.45,5424,
'0:0:1.5,5448,
'0:0:1.55,5476,
'0:0:1.6,5496,
'0:0:1.65,5519,
'0:0:1.7,5554,
'0:0:1.75,5584,
'0:0:1.8,5597,
'0:0:1.85,5611,
'0:0:1.9,5630,
'0:0:1.95,5652,
'0:0:2.0,5676,
'0:0:2.05,5711,
'0:0:2.1,5746,
'0:0:2.15,5780,
'0:0:2.2,5812,
'0:0:2.25,5852,
'0:0:2.3,5880,
'0:0:2.35,5907,
'0:0:2.4,5933,
'0:0:2.45,5948,
'0:0:2.5,5972,
'0:0:2.55,6007,
'0:0:2.6,6032,
'0:0:2.65,6070,
'0:0:2.7,6102,
'0:0:2.75,6118,
'0:0:2.8,6115,
'0:0:2.85,6098,
'0:0:2.9,6090,
'0:0:2.95,6099,
'0:0:3.0,6108,
'0:0:3.05,6101,
'0:0:3.1,6082,
'0:0:3.15,6055,
'0:0:3.2,6031,
'0:0:3.25,5999,
'0:0:3.3,5971,
'0:0:3.35,5937,
'0:0:3.4,5897,
'0:0:3.45,5855,
'0:0:3.5,5816,
'0:0:3.55,5783,
'0:0:3.6,5758,
'0:0:3.65,5732,
'0:0:3.7,5717,
'0:0:3.75,5697,
'0:0:3.8,5668,
'0:0:3.85,5637,
'0:0:3.9,5611,
'0:0:3.95,5590,
'0:0:4.0,5577,
'0:0:4.05,5562,
'0:0:4.1,5544,
'0:0:4.15,5523,
'0:0:4.2,5506,
'0:0:4.25,5490,
'0:0:4.3,5475,
'0:0:4.35,5455,
'0:0:4.4,5434,
'0:0:4.45,5417,
'0:0:4.5,5411,
'0:0:4.55,5409,
'0:0:4.6,5402,
'0:0:4.65,5393,
'0:0:4.7,5387,
'0:0:4.75,5381,
'0:0:4.8,5376,
'0:0:4.85,5368,
'0:0:4.9,5361,
'0:0:4.95,5356,
'0:0:5.0,5353,
'0:0:5.05,5351,
'0:0:5.1,5350,
'0:0:5.15,5348,
'0:0:5.2,5344,
'0:0:5.25,5340,
'0:0:5.3,5344,
'0:0:5.35,5357,
'0:0:5.4,5364,
'0:0:5.45,5364,
'0:0:5.5,5372,
'0:0:5.55,5387,
'0:0:5.6,5396,
'0:0:5.65,5401,
'0:0:5.7,5401,
'0:0:5.75,5407,
'0:0:5.8,5417,
'0:0:5.85,5430,
'0:0:5.9,5442,
'0:0:5.95,5454,
'0:0:6.0,5462,
'0:0:6.05,5472,
'0:0:6.1,5487,
'0:0:6.15,5501,
'0:0:6.2,5511,
'0:0:6.25,5514,
'0:0:6.3,5516,
'0:0:6.35,5529,
'0:0:6.4,5546,
'0:0:6.45,5563,
'0:0:6.5,5577,
'0:0:6.55,5588,
'0:0:6.6,5599,
'0:0:6.65,5615,
'0:0:6.7,5635,
'0:0:6.75,5658,
'0:0:6.8,5678,
'0:0:6.85,5699,
'0:0:6.9,5724,
'0:0:6.95,5753,
'0:0:7.0,5780,
'0:0:7.05,5800,
'0:0:7.1,5798,
'0:0:7.15,5788,
'0:0:7.2,5791,
'0:0:7.25,5787,
'0:0:7.3,5770,
'0:0:7.35,5754,
'0:0:7.4,5744,
'0:0:7.45,5738,
'0:0:7.5,5734,
'0:0:7.55,5733,
'0:0:7.6,5725,
'0:0:7.65,5707,
'0:0:7.7,5692,
'0:0:7.75,5674,
'0:0:7.8,5652,
'0:0:7.85,5632,
'0:0:7.9,5612,
'0:0:7.95,5591,
'0:0:8.0,5585,
'0:0:8.05,5578,
'0:0:8.1,5567,
'0:0:8.15,5547,
'0:0:8.2,5527,
'0:0:8.25,5511,
'0:0:8.3,5498,
'0:0:8.35,5485,
'0:0:8.4,5472,
'0:0:8.45,5457,
'0:0:8.5,5442,
'0:0:8.55,5428,
'0:0:8.6,5418,
'0:0:8.65,5418,
'0:0:8.7,5419,
'0:0:8.75,5410,
'0:0:8.8,5402,
'0:0:8.85,5397,
'0:0:8.9,5392,
'0:0:8.95,5382,
'0:0:9.0,5376,
'0:0:9.05,5376,
'0:0:9.1,5375,
'0:0:9.15,5371,
'0:0:9.2,5366,
'0:0:9.25,5362,
'0:0:9.3,5359,
'0:0:9.35,5359,
'0:0:9.4,5360,
'0:0:9.45,5363,
'0:0:9.5,5372,
'0:0:9.55,5378,
'0:0:9.6,5381,
'0:0:9.65,5390,
'0:0:9.7,5400,
'0:0:9.75,5406,
