,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:11.95,5863,
'0:0:12.0,5878,
'0:0:12.05,5894,
'0:0:12.1,5907,
'0:0:12.15,5918,
'0:0:12.2,5926,
'0:0:12.25,5934,
'0:0:12.3,5941,
'0:0:12.35,5947,
'0:0:12.4,5951,
'0:0:12.45,5955,
'0:0:12.5,5956,
'0:0:12.55,5953,
'0:0:12.6,5951,
'0:0:12.65,5947,
'0:0:12.7,5939,
'0:0:12.75,5930,
'0:0:12.8,5922,
'0:0:12.85,5911,
'0:0:12.9,5900,
'0:0:12.95,5889,
'0:0:13.0,5883,
'0:0:13.05,5880,
'0:0:13.1,5875,
'0:0:13.15,5868,
'0:0:13.2,5860,
'0:0:13.25,5846,
'0:0:13.3,5834,
'0:0:13.35,5822,
'0:0:13.4,5811,
'0:0:13.45,5801,
'0:0:13.5,5793,
'0:0:13.55,5785,
'0:0:13.6,5779,
'0:0:13.65,5772,
'0:0:13.7,5764,
'0:0:13.75,5754,
'0:0:13.8,5746,
'0:0:13.85,5739,
'0:0:13.9,5732,
'0:0:13.95,5726,
'0:0:14.0,5719,
'0:0:14.05,5713,
'0:0:14.1,5709,
'0:0:14.15,5708,
'0:0:14.2,5705,
'0:0:14.25,5700,
'0:0:14.3,5695,
'0:0:14.35,5689,
'0:0:14.4,5687,
'0:0:14.45,5685,
'0:0:14.5,5684,
'0:0:14.55,5687,
'0:0:14.6,5690,
'0:0:14.65,5695,
'0:0:14.7,5700,
'0:0:14.75,5705,
'0:0:14.8,5710,
'0:0:14.85,5716,
'0:0:14.9,5724,
'0:0:14.95,5732,
'0:0:15.0,5738,
'0:0:15.05,5745,
'0:0:15.1,5754,
'0:0:15.15,5766,
'0:0:15.2,5777,
'0:0:15.25,5789,
'0:0:15.3,5802,
'0:0:15.35,5814,
'0:0:15.4,5823,
'0:0:15.45,5833,
'0:0:15.5,5844,
'0:0:15.55,5855,
'0:0:15.6,5863,
'0:0:15.65,5873,
'0:0:15.7,5886,
'0:0:15.75,5902,
'0:0:15.8,5916,
'0:0:15.85,5927,
'0:0:15.9,5931,
'0:0:15.95,5931,
'0:0:16.0,5932,
'0:0:16.05,5931,
'0:0:16.1,5926,
'0:0:16.15,5920,
'0:0:16.2,5919,
'0:0:16.25,5919,
'0:0:16.3,5918,
'0:0:16.35,5915,
'0:0:16.4,5910,
'0:0:16.45,5901,
'0:0:16.5,5890,
'0:0:16.55,5881,
'0:0:16.6,5872,
'0:0:16.65,5858,
'0:0:16.7,5846,
'0:0:16.75,5835,
'0:0:16.8,5829,
'0:0:16.85,5822,
'0:0:16.9,5814,
'0:0:16.95,5805,
'0:0:17.0,5796,
'0:0:17.05,5783,
'0:0:17.1,5774,
'0:0:17.15,5769,
'0:0:17.2,5764,
'0:0:17.25,5758,
'0:0:17.3,5752,
'0:0:17.35,5747,
'0:0:17.4,5745,
'0:0:17.45,5742,
'0:0:17.5,5738,
'0:0:17.55,5732,
'0:0:17.6,5728,
'0:0:17.65,5725,
'0:0:17.7,5724,
'0:0:17.75,5722,
'0:0:17.8,5720,
'0:0:17.85,5719,
'0:0:17.9,5719,
'0:0:17.95,5720,
'0:0:18.0,5720,
'0:0:18.05,5721,
'0:0:18.1,5720,
'0:0:18.15,5717,
'0:0:18.2,5715,
'0:0:18.25,5716,
'0:0:18.3,5718,
'0:0:18.35,5716,
'0:0:18.4,5715,
'0:0:18.45,5719,
'0:0:18.5,5726,
'0:0:18.55,5736,
'0:0:18.6,5748,
'0:0:18.65,5761,
'0:0:18.7,5774,
'0:0:18.75,5787,
'0:0:18.8,5798,
'0:0:18.85,5810,
'0:0:18.9,5819,
'0:0:18.95,5826,
'0:0:19.0,5833,
'0:0:19.05,5843,
'0:0:19.1,5855,
'0:0:19.15,5872,
'0:0:19.2,5888,
'0:0:19.25,5905,
'0:0:19.3,5918,
'0:0:19.35,5928,
'0:0:19.4,5932,
'0:0:19.45,5929,
'0:0:19.5,5920,
'0:0:19.55,5907,
'0:0:19.6,5898,
'0:0:19.65,5891,
'0:0:19.7,5888,
'0:0:19.75,5886,
'0:0:19.8,5882,
'0:0:19.85,5876,
'0:0:19.9,5865,
'0:0:19.95,5851,
'0:0:20.0,5840,
'0:0:20.05,5829,
'0:0:20.1,5818,
'0:0:20.15,5807,
'0:0:20.2,5800,
'0:0:20.25,5794,
'0:0:20.3,5790,
'0:0:20.35,5786,
'0:0:20.4,5781,
'0:0:20.45,5774,
'0:0:20.5,5766,
'0:0:20.55,5757,
'0:0:20.6,5751,
'0:0:20.65,5745,
'0:0:20.7,5740,
'0:0:20.75,5732,
'0:0:20.8,5726,
'0:0:20.85,5720,
'0:0:20.9,5716,
'0:0:20.95,5712,
'0:0:21.0,5708,
'0:0:21.05,5702,
'0:0:21.1,5697,
'0:0:21.15,5692,
'0:0:21.2,5691,
'0:0:21.25,5690,
'0:0:21.3,5689,
'0:0:21.35,5689,
'0:0:21.4,5689,
'0:0:21.45,5691,
'0:0:21.5,5696,
'0:0:21.55,5699,
'0:0:21.6,5700,
'0:0:21.65,5699,
'0:0:21.7,5701,
'0:0:21.75,5708,
'0:0:21.8,5712,
'0:0:21.85,5716,
'0:0:21.9,5721,
'0:0:21.95,5728,
'0:0:22.0,5738,
'0:0:22.05,5751,
'0:0:22.1,5763,
'0:0:22.15,5776,
'0:0:22.2,5787,
'0:0:22.25,5797,
'0:0:22.3,5805,
'0:0:22.35,5814,
'0:0:22.4,5822,
'0:0:22.45,5830,
'0:0:22.5,5838,
'0:0:22.55,5851,
'0:0:22.6,5868,
'0:0:22.65,5887,
'0:0:22.7,5903,
'0:0:22.75,5920,
'0:0:22.8,5931,
'0:0:22.85,5942,
'0:0:22.9,5953,
'0:0:22.95,5962,
'0:0:23.0,5968,
'0:0:23.05,5974,
'0:0:23.1,5981,
'0:0:23.15,5984,
'0:0:23.2,5982,
'0:0:23.25,5977,
'0:0:23.3,5971,
