,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,5656,
'0:0:0.05,5651,
'0:0:0.1,5646,
'0:0:0.15,5644,
'0:0:0.2,5644,
'0:0:0.25,5642,
'0:0:0.3,5643,
'0:0:0.35,5645,
'0:0:0.4,5645,
'0:0:0.45,5643,
'0:0:0.5,5639,
'0:0:0.55,5636,
'0:0:0.6,5634,
'0:0:0.65,5632,
'0:0:0.7,5629,
'0:0:0.75,5628,
'0:0:0.8,5634,
'0:0:0.85,5642,
'0:0:0.9,5650,
'0:0:0.95,5660,
'0:0:1.0,5672,
'0:0:1.05,5690,
'0:0:1.1,5707,
'0:0:1.15,5723,
'0:0:1.2,5740,
'0:0:1.25,5761,
'0:0:1.3,5782,
'0:0:1.35,5807,
'0:0:1.4,5829,
'0:0:1.45,5851,
'0:0:1.5,5873,
'0:0:1.55,5897,
'0:0:1.6,5920,
'0:0:1.65,5945,
'0:0:1.7,5973,
'0:0:1.75,6005,
'0:0:1.8,6035,
'0:0:1.85,6071,
'0:0:1.9,6101,
'0:0:1.95,6130,
'0:0:2.0,6165,
'0:0:2.05,6208,
'0:0:2.1,6251,
'0:0:2.15,6306,
'0:0:2.2,6358,
'0:0:2.25,6410,
'0:0:2.3,6461,
'0:0:2.35,6512,
'0:0:2.4,6553,
'0:0:2.45,6597,
'0:0:2.5,6629,
'0:0:2.55,6631,
'0:0:2.6,6601,
'0:0:2.65,6562,
'0:0:2.7,6523,
'0:0:2.75,6474,
'0:0:2.8,6433,
'0:0:2.85,6389,
'0:0:2.9,6346,
'0:0:2.95,6304,
'0:0:3.0,6266,
'0:0:3.05,6226,
'0:0:3.1,6196,
'0:0:3.15,6169,
'0:0:3.2,6137,
'0:0:3.25,6101,
'0:0:3.3,6068,
'0:0:3.35,6032,
'0:0:3.4,6008,
'0:0:3.45,5989,
'0:0:3.5,5967,
'0:0:3.55,5945,
'0:0:3.6,5933,
'0:0:3.65,5920,
'0:0:3.7,5901,
'0:0:3.75,5882,
'0:0:3.8,5863,
'0:0:3.85,5841,
'0:0:3.9,5826,
'0:0:3.95,5810,
'0:0:4.0,5795,
'0:0:4.05,5782,
'0:0:4.1,5775,
'0:0:4.15,5767,
'0:0:4.2,5755,
'0:0:4.25,5743,
'0:0:4.3,5732,
'0:0:4.35,5720,
'0:0:4.4,5712,
'0:0:4.45,5703,
'0:0:4.5,5694,
'0:0:4.55,5686,
'0:0:4.6,5680,
'0:0:4.65,5675,
'0:0:4.7,5667,
'0:0:4.75,5659,
'0:0:4.8,5651,
'0:0:4.85,5644,
'0:0:4.9,5639,
'0:0:4.95,5635,
'0:0:5.0,5630,
'0:0:5.05,5623,
'0:0:5.1,5620,
'0:0:5.15,5617,
'0:0:5.2,5613,
'0:0:5.25,5609,
'0:0:5.3,5605,
'0:0:5.35,5601,
'0:0:5.4,5601,
'0:0:5.45,5603,
'0:0:5.5,5605,
'0:0:5.55,5610,
'0:0:5.6,5621,
'0:0:5.65,5633,
'0:0:5.7,5640,
'0:0:5.75,5644,
'0:0:5.8,5648,
'0:0:5.85,5655,
'0:0:5.9,5663,
'0:0:5.95,5672,
'0:0:6.0,5678,
'0:0:6.05,5687,
'0:0:6.1,5699,
'0:0:6.15,5716,
'0:0:6.2,5730,
'0:0:6.25,5745,
'0:0:6.3,5757,
'0:0:6.35,5766,
'0:0:6.4,5777,
'0:0:6.45,5789,
'0:0:6.5,5798,
'0:0:6.55,5810,
'0:0:6.6,5825,
'0:0:6.65,5845,
'0:0:6.7,5861,
'0:0:6.75,5879,
'0:0:6.8,5893,
'0:0:6.85,5902,
'0:0:6.9,5912,
'0:0:6.95,5925,
'0:0:7.0,5935,
'0:0:7.05,5947,
'0:0:7.1,5962,
'0:0:7.15,5980,
'0:0:7.2,5992,
'0:0:7.25,5996,
'0:0:7.3,5989,
'0:0:7.35,5974,
'0:0:7.4,5962,
'0:0:7.45,5950,
'0:0:7.5,5938,
'0:0:7.55,5924,
'0:0:7.6,5914,
'0:0:7.65,5906,
'0:0:7.7,5900,
'0:0:7.75,5892,
'0:0:7.8,5882,
'0:0:7.85,5864,
'0:0:7.9,5849,
'0:0:7.95,5834,
'0:0:8.0,5819,
'0:0:8.05,5803,
'0:0:8.1,5792,
'0:0:8.15,5784,
'0:0:8.2,5776,
'0:0:8.25,5765,
'0:0:8.3,5754,
'0:0:8.35,5739,
'0:0:8.4,5728,
'0:0:8.45,5719,
'0:0:8.5,5711,
'0:0:8.55,5702,
'0:0:8.6,5694,
'0:0:8.65,5689,
'0:0:8.7,5684,
'0:0:8.75,5675,
'0:0:8.8,5666,
'0:0:8.85,5657,
'0:0:8.9,5651,
'0:0:8.95,5647,
'0:0:9.0,5642,
'0:0:9.05,5637,
'0:0:9.1,5634,
'0:0:9.15,5631,
'0:0:9.2,5628,
'0:0:9.25,5623,
'0:0:9.3,5618,
'0:0:9.35,5612,
'0:0:9.4,5607,
'0:0:9.45,5603,
'0:0:9.5,5600,
'0:0:9.55,5596,
'0:0:9.6,5594,
'0:0:9.65,5593,
'0:0:9.7,5592,
'0:0:9.75,5591,
