,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:11.95,6159,
'0:0:12.0,6150,
'0:0:12.05,6141,
'0:0:12.1,6130,
'0:0:12.15,6114,
'0:0:12.2,6099,
'0:0:12.25,6090,
'0:0:12.3,6081,
'0:0:12.35,6069,
'0:0:12.4,6060,
'0:0:12.45,6053,
'0:0:12.5,6047,
'0:0:12.55,6042,
'0:0:12.6,6035,
'0:0:12.65,6028,
'0:0:12.7,6019,
'0:0:12.75,6012,
'0:0:12.8,6008,
'0:0:12.85,6007,
'0:0:12.9,6004,
'0:0:12.95,6003,
'0:0:13.0,6005,
'0:0:13.05,6005,
'0:0:13.1,6006,
'0:0:13.15,6007,
'0:0:13.2,6007,
'0:0:13.25,6006,
'0:0:13.3,6003,
'0:0:13.35,6002,
'0:0:13.4,6004,
'0:0:13.45,6005,
'0:0:13.5,6004,
'0:0:13.55,6006,
'0:0:13.6,6009,
'0:0:13.65,6011,
'0:0:13.7,6018,
'0:0:13.75,6026,
'0:0:13.8,6037,
'0:0:13.85,6049,
'0:0:13.9,6057,
'0:0:13.95,6063,
'0:0:14.0,6072,
'0:0:14.05,6081,
'0:0:14.1,6089,
'0:0:14.15,6098,
'0:0:14.2,6111,
'0:0:14.25,6125,
'0:0:14.3,6143,
'0:0:14.35,6160,
'0:0:14.4,6176,
'0:0:14.45,6190,
'0:0:14.5,6201,
'0:0:14.55,6209,
'0:0:14.6,6219,
'0:0:14.65,6229,
'0:0:14.7,6238,
'0:0:14.75,6245,
'0:0:14.8,6256,
'0:0:14.85,6269,
'0:0:14.9,6285,
'0:0:14.95,6301,
'0:0:15.0,6321,
'0:0:15.05,6337,
'0:0:15.1,6340,
'0:0:15.15,6331,
'0:0:15.2,6319,
'0:0:15.25,6309,
'0:0:15.3,6295,
'0:0:15.35,6283,
'0:0:15.4,6274,
'0:0:15.45,6268,
'0:0:15.5,6263,
'0:0:15.55,6257,
'0:0:15.6,6250,
'0:0:15.65,6238,
'0:0:15.7,6217,
'0:0:15.75,6202,
'0:0:15.8,6190,
'0:0:15.85,6177,
'0:0:15.9,6157,
'0:0:15.95,6141,
'0:0:16.0,6130,
'0:0:16.05,6124,
'0:0:16.1,6117,
'0:0:16.15,6109,
'0:0:16.2,6103,
'0:0:16.25,6094,
'0:0:16.3,6079,
'0:0:16.35,6068,
'0:0:16.4,6058,
'0:0:16.45,6048,
'0:0:16.5,6037,
'0:0:16.55,6030,
'0:0:16.6,6024,
'0:0:16.65,6021,
'0:0:16.7,6017,
'0:0:16.75,6013,
'0:0:16.8,6009,
'0:0:16.85,6004,
'0:0:16.9,6000,
'0:0:16.95,5999,
'0:0:17.0,5997,
'0:0:17.05,5995,
'0:0:17.1,5995,
'0:0:17.15,5994,
'0:0:17.2,5994,
'0:0:17.25,5995,
'0:0:17.3,5995,
'0:0:17.35,5994,
'0:0:17.4,5991,
'0:0:17.45,5988,
'0:0:17.5,5986,
'0:0:17.55,5986,
'0:0:17.6,5985,
'0:0:17.65,5986,
'0:0:17.7,5990,
'0:0:17.75,5994,
'0:0:17.8,5997,
'0:0:17.85,6003,
'0:0:17.9,6012,
'0:0:17.95,6022,
'0:0:18.0,6033,
'0:0:18.05,6040,
'0:0:18.1,6048,
'0:0:18.15,6057,
'0:0:18.2,6064,
'0:0:18.25,6072,
'0:0:18.3,6086,
'0:0:18.35,6101,
'0:0:18.4,6120,
'0:0:18.45,6138,
'0:0:18.5,6155,
'0:0:18.55,6170,
'0:0:18.6,6183,
'0:0:18.65,6191,
'0:0:18.7,6201,
'0:0:18.75,6211,
