,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,5772,
'0:0:0.05,5762,
'0:0:0.1,5753,
'0:0:0.15,5746,
'0:0:0.2,5740,
'0:0:0.25,5739,
'0:0:0.3,5741,
'0:0:0.35,5744,
'0:0:0.4,5748,
'0:0:0.45,5754,
'0:0:0.5,5761,
'0:0:0.55,5767,
'0:0:0.6,5775,
'0:0:0.65,5785,
'0:0:0.7,5799,
'0:0:0.75,5815,
'0:0:0.8,5834,
'0:0:0.85,5850,
'0:0:0.9,5867,
'0:0:0.95,5881,
'0:0:1.0,5895,
'0:0:1.05,5909,
'0:0:1.1,5926,
'0:0:1.15,5940,
'0:0:1.2,5956,
'0:0:1.25,5973,
'0:0:1.3,5996,
'0:0:1.35,6018,
'0:0:1.4,6041,
'0:0:1.45,6064,
'0:0:1.5,6082,
'0:0:1.55,6096,
'0:0:1.6,6110,
'0:0:1.65,6114,
'0:0:1.7,6102,
'0:0:1.75,6087,
'0:0:1.8,6076,
'0:0:1.85,6069,
'0:0:1.9,6062,
'0:0:1.95,6051,
'0:0:2.0,6038,
'0:0:2.05,6024,
'0:0:2.1,6004,
'0:0:2.15,5988,
'0:0:2.2,5973,
'0:0:2.25,5954,
'0:0:2.3,5934,
'0:0:2.35,5920,
'0:0:2.4,5910,
'0:0:2.45,5902,
'0:0:2.5,5893,
'0:0:2.55,5880,
'0:0:2.6,5862,
'0:0:2.65,5846,
'0:0:2.7,5833,
'0:0:2.75,5824,
'0:0:2.8,5814,
'0:0:2.85,5804,
'0:0:2.9,5793,
'0:0:2.95,5784,
'0:0:3.0,5777,
'0:0:3.05,5768,
'0:0:3.1,5755,
'0:0:3.15,5741,
'0:0:3.2,5725,
'0:0:3.25,5715,
'0:0:3.3,5707,
'0:0:3.35,5698,
'0:0:3.4,5687,
'0:0:3.45,5679,
'0:0:3.5,5673,
'0:0:3.55,5669,
'0:0:3.6,5664,
'0:0:3.65,5659,
'0:0:3.7,5652,
'0:0:3.75,5647,
'0:0:3.8,5643,
'0:0:3.85,5640,
'0:0:3.9,5638,
'0:0:3.95,5636,
'0:0:4.0,5633,
'0:0:4.05,5633,
'0:0:4.1,5637,
'0:0:4.15,5641,
'0:0:4.2,5645,
'0:0:4.25,5650,
'0:0:4.3,5658,
'0:0:4.35,5667,
'0:0:4.4,5675,
'0:0:4.45,5682,
'0:0:4.5,5689,
'0:0:4.55,5698,
'0:0:4.6,5710,
'0:0:4.65,5721,
'0:0:4.7,5732,
'0:0:4.75,5746,
'0:0:4.8,5761,
'0:0:4.85,5773,
'0:0:4.9,5783,
'0:0:4.95,5793,
'0:0:5.0,5803,
'0:0:5.05,5813,
'0:0:5.1,5830,
'0:0:5.15,5847,
'0:0:5.2,5866,
'0:0:5.25,5883,
'0:0:5.3,5901,
'0:0:5.35,5916,
'0:0:5.4,5935,
'0:0:5.45,5953,
'0:0:5.5,5968,
'0:0:5.55,5979,
'0:0:5.6,5985,
'0:0:5.65,5982,
'0:0:5.7,5975,
'0:0:5.75,5967,
'0:0:5.8,5960,
'0:0:5.85,5951,
'0:0:5.9,5936,
'0:0:5.95,5921,
'0:0:6.0,5908,
'0:0:6.05,5895,
'0:0:6.1,5883,
'0:0:6.15,5872,
'0:0:6.2,5862,
'0:0:6.25,5851,
'0:0:6.3,5837,
'0:0:6.35,5827,
'0:0:6.4,5817,
'0:0:6.45,5806,
'0:0:6.5,5798,
'0:0:6.55,5792,
'0:0:6.6,5782,
'0:0:6.65,5774,
'0:0:6.7,5768,
'0:0:6.75,5765,
'0:0:6.8,5760,
'0:0:6.85,5753,
'0:0:6.9,5743,
'0:0:6.95,5734,
'0:0:7.0,5727,
'0:0:7.05,5723,
'0:0:7.1,5717,
'0:0:7.15,5710,
'0:0:7.2,5703,
'0:0:7.25,5699,
'0:0:7.3,5694,
'0:0:7.35,5689,
'0:0:7.4,5682,
'0:0:7.45,5673,
'0:0:7.5,5665,
'0:0:7.55,5660,
'0:0:7.6,5655,
'0:0:7.65,5651,
'0:0:7.7,5644,
'0:0:7.75,5640,
'0:0:7.8,5638,
'0:0:7.85,5635,
'0:0:7.9,5629,
'0:0:7.95,5626,
'0:0:8.0,5625,
'0:0:8.05,5623,
'0:0:8.1,5621,
'0:0:8.15,5619,
'0:0:8.2,5617,
'0:0:8.25,5616,
'0:0:8.3,5618,
'0:0:8.35,5623,
'0:0:8.4,5628,
'0:0:8.45,5631,
'0:0:8.5,5635,
'0:0:8.55,5640,
'0:0:8.6,5647,
'0:0:8.65,5653,
'0:0:8.7,5658,
'0:0:8.75,5666,
'0:0:8.8,5677,
'0:0:8.85,5688,
'0:0:8.9,5699,
'0:0:8.95,5711,
'0:0:9.0,5722,
'0:0:9.05,5731,
'0:0:9.1,5740,
'0:0:9.15,5748,
'0:0:9.2,5757,
'0:0:9.25,5766,
'0:0:9.3,5778,
'0:0:9.35,5791,
'0:0:9.4,5807,
'0:0:9.45,5820,
'0:0:9.5,5836,
'0:0:9.55,5846,
'0:0:9.6,5855,
'0:0:9.65,5867,
'0:0:9.7,5877,
'0:0:9.75,5884,
