,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,5842,
'0:0:0.05,5844,
'0:0:0.1,5843,
'0:0:0.15,5841,
'0:0:0.2,5840,
'0:0:0.25,5839,
'0:0:0.3,5838,
'0:0:0.35,5838,
'0:0:0.4,5837,
'0:0:0.45,5835,
'0:0:0.5,5833,
'0:0:0.55,5831,
'0:0:0.6,5828,
'0:0:0.65,5828,
'0:0:0.7,5832,
'0:0:0.75,5837,
'0:0:0.8,5842,
'0:0:0.85,5850,
'0:0:0.9,5856,
'0:0:0.95,5865,
'0:0:1.0,5876,
'0:0:1.05,5892,
'0:0:1.1,5909,
'0:0:1.15,5928,
'0:0:1.2,5949,
'0:0:1.25,5969,
'0:0:1.3,5984,
'0:0:1.35,6001,
'0:0:1.4,6019,
'0:0:1.45,6041,
'0:0:1.5,6058,
'0:0:1.55,6080,
'0:0:1.6,6106,
'0:0:1.65,6139,
'0:0:1.7,6173,
'0:0:1.75,6211,
'0:0:1.8,6242,
'0:0:1.85,6270,
'0:0:1.9,6293,
'0:0:1.95,6314,
'0:0:2.0,6319,
'0:0:2.05,6311,
'0:0:2.1,6300,
'0:0:2.15,6293,
'0:0:2.2,6286,
'0:0:2.25,6273,
'0:0:2.3,6258,
'0:0:2.35,6235,
'0:0:2.4,6209,
'0:0:2.45,6186,
'0:0:2.5,6163,
'0:0:2.55,6136,
'0:0:2.6,6112,
'0:0:2.65,6092,
'0:0:2.7,6078,
'0:0:2.75,6059,
'0:0:2.8,6043,
'0:0:2.85,6026,
'0:0:2.9,6003,
'0:0:2.95,5984,
'0:0:3.0,5971,
'0:0:3.05,5956,
'0:0:3.1,5942,
'0:0:3.15,5930,
'0:0:3.2,5923,
'0:0:3.25,5918,
'0:0:3.3,5913,
'0:0:3.35,5907,
'0:0:3.4,5898,
'0:0:3.45,5888,
'0:0:3.5,5881,
'0:0:3.55,5874,
'0:0:3.6,5866,
'0:0:3.65,5858,
'0:0:3.7,5850,
'0:0:3.75,5845,
'0:0:3.8,5840,
'0:0:3.85,5834,
'0:0:3.9,5828,
'0:0:3.95,5823,
'0:0:4.0,5817,
'0:0:4.05,5813,
'0:0:4.1,5811,
'0:0:4.15,5811,
'0:0:4.2,5814,
'0:0:4.25,5822,
'0:0:4.3,5832,
'0:0:4.35,5843,
'0:0:4.4,5854,
'0:0:4.45,5865,
'0:0:4.5,5873,
'0:0:4.55,5880,
'0:0:4.6,5890,
'0:0:4.65,5901,
'0:0:4.7,5910,
'0:0:4.75,5919,
'0:0:4.8,5927,
'0:0:4.85,5937,
'0:0:4.9,5949,
'0:0:4.95,5962,
'0:0:5.0,5974,
'0:0:5.05,5984,
'0:0:5.1,5991,
'0:0:5.15,6000,
'0:0:5.2,6010,
'0:0:5.25,6022,
'0:0:5.3,6032,
'0:0:5.35,6043,
'0:0:5.4,6057,
'0:0:5.45,6076,
'0:0:5.5,6091,
'0:0:5.55,6105,
'0:0:5.6,6112,
'0:0:5.65,6108,
'0:0:5.7,6099,
'0:0:5.75,6091,
'0:0:5.8,6083,
'0:0:5.85,6070,
'0:0:5.9,6057,
'0:0:5.95,6045,
'0:0:6.0,6037,
'0:0:6.05,6028,
'0:0:6.1,6018,
'0:0:6.15,6008,
'0:0:6.2,5994,
'0:0:6.25,5975,
'0:0:6.3,5962,
'0:0:6.35,5949,
'0:0:6.4,5936,
'0:0:6.45,5922,
'0:0:6.5,5913,
'0:0:6.55,5906,
'0:0:6.6,5903,
'0:0:6.65,5897,
'0:0:6.7,5891,
'0:0:6.75,5881,
'0:0:6.8,5871,
'0:0:6.85,5862,
'0:0:6.9,5857,
'0:0:6.95,5853,
'0:0:7.0,5848,
'0:0:7.05,5844,
'0:0:7.1,5841,
'0:0:7.15,5839,
'0:0:7.2,5839,
'0:0:7.25,5838,
'0:0:7.3,5835,
'0:0:7.35,5832,
'0:0:7.4,5831,
'0:0:7.45,5833,
'0:0:7.5,5834,
'0:0:7.55,5836,
'0:0:7.6,5838,
'0:0:7.65,5838,
'0:0:7.7,5841,
'0:0:7.75,5847,
'0:0:7.8,5854,
'0:0:7.85,5863,
'0:0:7.9,5872,
'0:0:7.95,5880,
'0:0:8.0,5891,
'0:0:8.05,5902,
'0:0:8.1,5910,
'0:0:8.15,5920,
'0:0:8.2,5930,
'0:0:8.25,5944,
'0:0:8.3,5959,
'0:0:8.35,5973,
'0:0:8.4,5987,
'0:0:8.45,6000,
'0:0:8.5,6010,
'0:0:8.55,6021,
'0:0:8.6,6032,
'0:0:8.65,6043,
'0:0:8.7,6051,
'0:0:8.75,6061,
'0:0:8.8,6075,
'0:0:8.85,6093,
'0:0:8.9,6108,
'0:0:8.95,6123,
'0:0:9.0,6135,
'0:0:9.05,6145,
'0:0:9.1,6148,
'0:0:9.15,6143,
'0:0:9.2,6132,
'0:0:9.25,6117,
'0:0:9.3,6102,
'0:0:9.35,6087,
'0:0:9.4,6075,
'0:0:9.45,6061,
'0:0:9.5,6050,
'0:0:9.55,6039,
'0:0:9.6,6026,
'0:0:9.65,6007,
'0:0:9.7,5990,
'0:0:9.75,5976,
