,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:12.35,363,1000
'0:0:12.4,354,988
'0:0:12.45,353,981
'0:0:12.5,354,974
'0:0:12.55,355,967
'0:0:12.6,355,956
'0:0:12.65,366,941
'0:0:12.7,394,928
'0:0:12.75,388,922
'0:0:12.8,367,916
'0:0:12.85,356,912
'0:0:12.9,357,905
'0:0:12.95,361,898
'0:0:13.0,358,892
'0:0:13.05,353,887
'0:0:13.1,351,887
'0:0:13.15,352,888
'0:0:13.2,351,883
'0:0:13.25,350,879
'0:0:13.3,351,873
'0:0:13.35,378,866
'0:0:13.4,392,863
'0:0:13.45,375,864
'0:0:13.5,360,866
'0:0:13.55,357,867
'0:0:13.6,361,865
'0:0:13.65,363,863
'0:0:13.7,358,859
'0:0:13.75,354,854
'0:0:13.8,354,852
'0:0:13.85,356,852
'0:0:13.9,357,848
'0:0:13.95,356,846
'0:0:14.0,357,845
'0:0:14.05,379,840
'0:0:14.1,395,838
'0:0:14.15,379,841
'0:0:14.2,361,846
'0:0:14.25,358,850
'0:0:14.3,361,852
'0:0:14.35,362,856
'0:0:14.4,358,865
'0:0:14.45,352,870
'0:0:14.5,350,876
'0:0:14.55,353,887
'0:0:14.6,353,897
'0:0:14.65,351,906
'0:0:14.7,348,917
'0:0:14.75,357,924
'0:0:14.8,386,937
'0:0:14.85,384,956
'0:0:14.9,361,973
'0:0:14.95,349,987
'0:0:15.0,353,1006
'0:0:15.05,362,1026
'0:0:15.1,359,1048
'0:0:15.15,351,1069
'0:0:15.2,347,1097
'0:0:15.25,349,1125
'0:0:15.3,351,1155
'0:0:15.35,353,1184
'0:0:15.4,350,1209
'0:0:15.45,355,1229
'0:0:15.5,382,1253
'0:0:15.55,386,1273
'0:0:15.6,365,1289
'0:0:15.65,350,1299
'0:0:15.7,352,1309
'0:0:15.75,365,1318
'0:0:15.8,364,1326
'0:0:15.85,356,1337
'0:0:15.9,351,1351
'0:0:15.95,351,1358
'0:0:16.0,353,1364
'0:0:16.05,353,1361
'0:0:16.1,355,1351
'0:0:16.15,378,1343
'0:0:16.2,387,1327
'0:0:16.25,370,1307
'0:0:16.3,352,1279
'0:0:16.35,350,1259
'0:0:16.4,361,1241
'0:0:16.45,364,1224
'0:0:16.5,358,1204
'0:0:16.55,353,1183
'0:0:16.6,352,1155
'0:0:16.65,352,1131
'0:0:16.7,352,1102
'0:0:16.75,355,1066
'0:0:16.8,378,1035
'0:0:16.85,391,1018
'0:0:16.9,373,1005
'0:0:16.95,355,994
'0:0:17.0,353,986
'0:0:17.05,363,982
'0:0:17.1,366,979
'0:0:17.15,360,975
'0:0:17.2,354,968
'0:0:17.25,352,960
'0:0:17.3,353,950
'0:0:17.35,353,941
'0:0:17.4,353,932
'0:0:17.45,382,922
'0:0:17.5,392,915
'0:0:17.55,374,914
'0:0:17.6,358,914
'0:0:17.65,354,911
'0:0:17.7,359,905
'0:0:17.75,360,899
'0:0:17.8,355,894
'0:0:17.85,352,891
'0:0:17.9,351,888
'0:0:17.95,351,882
'0:0:18.0,351,878
'0:0:18.05,351,874
'0:0:18.1,374,866
'0:0:18.15,391,863
'0:0:18.2,376,865
'0:0:18.25,359,869
'0:0:18.3,354,871
'0:0:18.35,360,871
'0:0:18.4,362,868
'0:0:18.45,359,865
'0:0:18.5,355,863
'0:0:18.55,354,863
'0:0:18.6,353,859
'0:0:18.65,352,855
'0:0:18.7,354,853
'0:0:18.75,370,847
'0:0:18.8,390,844
'0:0:18.85,380,847
'0:0:18.9,360,854
'0:0:18.95,353,860
'0:0:19.0,357,864
'0:0:19.05,361,864
'0:0:19.1,357,863
'0:0:19.15,351,864
'0:0:19.2,350,868
'0:0:19.25,351,869
'0:0:19.3,350,872
'0:0:19.35,350,878
'0:0:19.4,365,884
'0:0:19.45,389,894
'0:0:19.5,382,908
'0:0:19.55,362,919
'0:0:19.6,353,930
'0:0:19.65,358,940
'0:0:19.7,365,953
'0:0:19.75,359,968
'0:0:19.8,352,985
'0:0:19.85,352,1005
'0:0:19.9,352,1024
'0:0:19.95,352,1042
'0:0:20.0,351,1060
'0:0:20.05,360,1074
'0:0:20.1,387,1092
'0:0:20.15,384,1110
'0:0:20.2,364,1123
'0:0:20.25,353,1134
'0:0:20.3,357,1150
'0:0:20.35,364,1165
'0:0:20.4,359,1184
'0:0:20.45,355,1205
'0:0:20.5,353,1230
'0:0:20.55,355,1249
'0:0:20.6,355,1270
'0:0:20.65,354,1282
'0:0:20.7,362,1291
'0:0:20.75,387,1305
'0:0:20.8,383,1318
'0:0:20.85,362,1320
'0:0:20.9,351,1319
'0:0:20.95,356,1321
'0:0:21.0,363,1323
'0:0:21.05,361,1326
'0:0:21.1,354,1330
'0:0:21.15,351,1328
'0:0:21.2,353,1322
'0:0:21.25,353,1311
'0:0:21.3,353,1293
'0:0:21.35,369,1274
'0:0:21.4,390,1250
'0:0:21.45,379,1227
'0:0:21.5,360,1195
'0:0:21.55,353,1161
'0:0:21.6,362,1132
'0:0:21.65,366,1111
'0:0:21.7,361,1090
'0:0:21.75,353,1076
'0:0:21.8,352,1060
'0:0:21.85,354,1045
'0:0:21.9,355,1033
'0:0:21.95,353,1017
'0:0:22.0,374,997
'0:0:22.05,392,987
'0:0:22.1,378,981
'0:0:22.15,359,973
'0:0:22.2,353,963
'0:0:22.25,360,957
'0:0:22.3,365,952
'0:0:22.35,360,946
'0:0:22.4,352,941
'0:0:22.45,353,935
'0:0:22.5,354,927
'0:0:22.55,354,921
'0:0:22.6,353,913
'0:0:22.65,376,902
'0:0:22.7,395,894
'0:0:22.75,383,890
'0:0:22.8,367,888
'0:0:22.85,358,887
'0:0:22.9,361,886
'0:0:22.95,362,883
'0:0:23.0,358,877
'0:0:23.05,353,871
'0:0:23.1,350,869
'0:0:23.15,349,868
'0:0:23.2,350,863
'0:0:23.25,349,860
'0:0:23.3,352,857
'0:0:23.35,382,853
'0:0:23.4,390,853
'0:0:23.45,373,855
'0:0:23.5,360,859
'0:0:23.55,357,860
'0:0:23.6,361,859
'0:0:23.65,360,857
'0:0:23.7,356,853
'0:0:23.75,350,851
'0:0:23.8,350,852
'0:0:23.85,351,855
'0:0:23.9,352,853
'0:0:23.95,350,851
'0:0:24.0,349,848
'0:0:24.05,370,845
'0:0:24.1,391,844
'0:0:24.15,378,848
'0:0:24.2,359,857
'0:0:24.25,352,865
'0:0:24.3,357,873
'0:0:24.35,362,882
'0:0:24.4,357,893
'0:0:24.45,352,904
'0:0:24.5,350,920
'0:0:24.55,350,938
'0:0:24.6,349,956
'0:0:24.65,348,969
'0:0:24.7,348,984
'0:0:24.75,352,994
'0:0:24.8,382,1007
'0:0:24.85,390,1019
'0:0:24.9,370,1030
'0:0:24.95,352,1040
'0:0:25.0,351,1053
'0:0:25.05,361,1069
'0:0:25.1,363,1087
'0:0:25.15,355,1103
'0:0:25.2,349,1128
'0:0:25.25,349,1154
'0:0:25.3,350,1180
'0:0:25.35,351,1207
'0:0:25.4,348,1228
'0:0:25.45,349,1242
'0:0:25.5,375,1261
'0:0:25.55,387,1278
'0:0:25.6,370,1291
'0:0:25.65,352,1298
'0:0:25.7,349,1305
'0:0:25.75,360,1311
'0:0:25.8,363,1318
'0:0:25.85,356,1328
'0:0:25.9,350,1339
'0:0:25.95,350,1340
'0:0:26.0,350,1336
'0:0:26.05,352,1324
'0:0:26.1,354,1304
'0:0:26.15,372,1286
'0:0:26.2,388,1263
'0:0:26.25,376,1238
'0:0:26.3,356,1208
'0:0:26.35,350,1178
'0:0:26.4,358,1149
'0:0:26.45,365,1126
'0:0:26.5,360,1102
'0:0:26.55,353,1084
'0:0:26.6,350,1064
'0:0:26.65,352,1046
'0:0:26.7,350,1029
'0:0:26.75,350,1014
'0:0:26.8,377,1002
'0:0:26.85,390,995
'0:0:26.9,372,988
'0:0:26.95,355,978
'0:0:27.0,352,967
'0:0:27.05,360,957
'0:0:27.1,364,946
'0:0:27.15,357,937
'0:0:27.2,353,929
'0:0:27.25,352,922
'0:0:27.3,351,914
'0:0:27.35,351,905
'0:0:27.4,354,894
'0:0:27.45,384,885
'0:0:27.5,390,879
'0:0:27.55,372,875
'0:0:27.6,356,874
'0:0:27.65,353,876
'0:0:27.7,358,875
'0:0:27.75,361,874
'0:0:27.8,357,873
'0:0:27.85,352,873
'0:0:27.9,352,874
'0:0:27.95,352,871
'0:0:28.0,352,868
'0:0:28.05,357,867
'0:0:28.1,386,864
'0:0:28.15,390,863
'0:0:28.2,370,865
'0:0:28.25,356,869
'0:0:28.3,353,873
'0:0:28.35,358,874
'0:0:28.4,360,872
'0:0:28.45,356,871
'0:0:28.5,350,872
'0:0:28.55,350,872
'0:0:28.6,352,876
'0:0:28.65,352,881
'0:0:28.7,367,883
'0:0:28.75,387,889
'0:0:28.8,378,900
'0:0:28.85,358,907
'0:0:28.9,350,916
'0:0:28.95,356,925
'0:0:29.0,362,933
'0:0:29.05,359,940
'0:0:29.1,351,951
'0:0:29.15,347,965
'0:0:29.2,348,975
'0:0:29.25,349,987
'0:0:29.3,350,1000
'0:0:29.35,371,1011
'0:0:29.4,391,1026
'0:0:29.45,381,1040
'0:0:29.5,360,1050
'0:0:29.55,352,1060
'0:0:29.6,358,1073
