,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,368,144
'0:0:0.05,344,157
'0:0:0.1,347,169
'0:0:0.15,353,182
'0:0:0.2,353,192
'0:0:0.25,348,202
'0:0:0.3,350,209
'0:0:0.35,351,213
'0:0:0.4,350,217
'0:0:0.45,354,222
'0:0:0.5,371,227
'0:0:0.55,374,231
'0:0:0.6,361,233
'0:0:0.65,351,230
'0:0:0.7,354,227
'0:0:0.75,357,223
'0:0:0.8,357,218
'0:0:0.85,354,213
'0:0:0.9,350,207
'0:0:0.95,351,199
'0:0:1.0,350,193
'0:0:1.05,369,186
'0:0:1.1,380,179
'0:0:1.15,365,172
'0:0:1.2,350,166
'0:0:1.25,351,160
'0:0:1.3,359,155
'0:0:1.35,357,151
'0:0:1.4,349,148
'0:0:1.45,349,146
'0:0:1.5,351,145
'0:0:1.55,354,144
'0:0:1.6,376,145
'0:0:1.65,382,146
'0:0:1.7,368,148
'0:0:1.75,354,150
'0:0:1.8,357,151
'0:0:1.85,363,153
'0:0:1.9,359,156
'0:0:1.95,354,160
'0:0:2.0,350,164
'0:0:2.05,349,171
'0:0:2.1,351,179
'0:0:2.15,371,188
'0:0:2.2,379,195
'0:0:2.25,365,202
'0:0:2.3,352,207
'0:0:2.35,353,214
'0:0:2.4,358,219
'0:0:2.45,356,224
'0:0:2.5,353,226
'0:0:2.55,349,226
'0:0:2.6,349,221
'0:0:2.65,352,209
'0:0:2.7,370,198
'0:0:2.75,380,189
'0:0:2.8,369,184
'0:0:2.85,354,182
'0:0:2.9,353,179
'0:0:2.95,359,176
'0:0:3.0,358,174
'0:0:3.05,353,170
'0:0:3.1,349,164
'0:0:3.15,346,158
'0:0:3.2,353,153
'0:0:3.25,375,146
'0:0:3.3,377,141
'0:0:3.35,359,136
'0:0:3.4,348,132
'0:0:3.45,352,128
'0:0:3.5,357,125
'0:0:3.55,354,123
'0:0:3.6,348,120
'0:0:3.65,348,117
'0:0:3.7,350,115
'0:0:3.75,360,116
'0:0:3.8,383,119
'0:0:3.85,372,127
'0:0:3.9,356,135
'0:0:3.95,350,143
'0:0:4.0,354,153
'0:0:4.05,350,164
'0:0:4.1,348,172
'0:0:4.15,348,178
'0:0:4.2,351,183
'0:0:4.25,348,187
'0:0:4.3,359,193
'0:0:4.35,375,200
'0:0:4.4,368,206
'0:0:4.45,352,210
'0:0:4.5,349,207
'0:0:4.55,356,200
'0:0:4.6,360,191
'0:0:4.65,356,181
'0:0:4.7,354,175
'0:0:4.75,349,171
'0:0:4.8,357,170
'0:0:4.85,375,166
'0:0:4.9,382,161
'0:0:4.95,365,158
'0:0:5.0,353,155
'0:0:5.05,354,150
'0:0:5.1,359,141
'0:0:5.15,358,130
'0:0:5.2,353,122
'0:0:5.25,351,116
'0:0:5.3,350,111
'0:0:5.35,366,108
'0:0:5.4,378,108
'0:0:5.45,369,112
'0:0:5.5,355,118
'0:0:5.55,355,124
'0:0:5.6,363,128
'0:0:5.65,361,133
'0:0:5.7,354,140
'0:0:5.75,346,148
'0:0:5.8,350,155
'0:0:5.85,359,164
'0:0:5.9,378,172
'0:0:5.95,374,180
'0:0:6.0,357,188
'0:0:6.05,349,195
'0:0:6.1,355,202
'0:0:6.15,357,209
'0:0:6.2,352,213
'0:0:6.25,350,213
'0:0:6.3,349,208
'0:0:6.35,351,196
'0:0:6.4,367,183
'0:0:6.45,373,173
'0:0:6.5,361,170
'0:0:6.55,349,169
'0:0:6.6,352,167
'0:0:6.65,358,165
'0:0:6.7,357,163
'0:0:6.75,350,161
'0:0:6.8,349,158
'0:0:6.85,355,153
'0:0:6.9,374,147
'0:0:6.95,380,139
'0:0:7.0,366,130
'0:0:7.05,354,123
'0:0:7.1,353,119
'0:0:7.15,359,116
'0:0:7.2,356,115
'0:0:7.25,353,114
'0:0:7.3,349,115
'0:0:7.35,354,118
'0:0:7.4,373,122
'0:0:7.45,379,127
'0:0:7.5,364,133
'0:0:7.55,352,142
'0:0:7.6,353,150
'0:0:7.65,359,160
'0:0:7.7,356,169
'0:0:7.75,350,178
'0:0:7.8,351,186
'0:0:7.85,355,193
'0:0:7.9,370,197
'0:0:7.95,376,192
'0:0:8.0,365,181
'0:0:8.05,356,169
'0:0:8.1,357,161
'0:0:8.15,361,158
'0:0:8.2,357,157
'0:0:8.25,353,157
'0:0:8.3,352,154
'0:0:8.35,358,151
'0:0:8.4,377,148
'0:0:8.45,376,145
'0:0:8.5,363,140
'0:0:8.55,355,133
'0:0:8.6,359,128
'0:0:8.65,360,125
'0:0:8.7,356,122
'0:0:8.75,349,120
'0:0:8.8,352,121
'0:0:8.85,361,123
'0:0:8.9,378,127
'0:0:8.95,374,134
'0:0:9.0,362,141
'0:0:9.05,356,149
'0:0:9.1,359,159
'0:0:9.15,360,169
'0:0:9.2,357,177
'0:0:9.25,351,184
'0:0:9.3,350,191
'0:0:9.35,355,196
'0:0:9.4,377,199
'0:0:9.45,376,198
'0:0:9.5,363,194
'0:0:9.55,352,188
'0:0:9.6,358,183
'0:0:9.65,361,179
'0:0:9.7,356,176
'0:0:9.75,349,172
'0:0:9.8,348,167
'0:0:9.85,356,162
'0:0:9.9,377,157
'0:0:9.95,376,152
'0:0:10.0,363,150
'0:0:10.05,355,147
'0:0:10.1,359,144
'0:0:10.15,359,141
'0:0:10.2,358,140
'0:0:10.25,354,139
'0:0:10.3,352,139
'0:0:10.35,359,141
'0:0:10.4,380,145
'0:0:10.45,375,154
'0:0:10.5,360,163
'0:0:10.55,353,170
