,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,1580,
'0:0:0.05,1595,
'0:0:0.1,1607,
'0:0:0.15,1619,
'0:0:0.2,1634,
'0:0:0.25,1644,
'0:0:0.3,1643,
'0:0:0.35,1645,
'0:0:0.4,1655,
'0:0:0.45,1653,
'0:0:0.5,1637,
'0:0:0.55,1617,
'0:0:0.6,1603,
'0:0:0.65,1593,
'0:0:0.7,1590,
'0:0:0.75,1576,
'0:0:0.8,1549,
'0:0:0.85,1529,
'0:0:0.9,1530,
'0:0:0.95,1544,
'0:0:1.0,1553,
'0:0:1.05,1551,
'0:0:1.1,1545,
'0:0:1.15,1541,
'0:0:1.2,1538,
'0:0:1.25,1554,
'0:0:1.3,1609,
'0:0:1.35,1603,
'0:0:1.4,1577,
'0:0:1.45,1603,
'0:0:1.5,1616,
'0:0:1.55,1640,
'0:0:1.6,1680,
'0:0:1.65,1720,
'0:0:1.7,1742,
'0:0:1.75,1772,
'0:0:1.8,1813,
'0:0:1.85,1853,
'0:0:1.9,1865,
'0:0:1.95,1860,
'0:0:2.0,1843,
'0:0:2.05,1792,
'0:0:2.1,1811,
'0:0:2.15,1855,
'0:0:2.2,1857,
'0:0:2.25,1881,
'0:0:2.3,1878,
'0:0:2.35,1831,
'0:0:2.4,1773,
'0:0:2.45,1738,
'0:0:2.5,1737,
'0:0:2.55,1744,
'0:0:2.6,1742,
'0:0:2.65,1735,
'0:0:2.7,1729,
'0:0:2.75,1721,
'0:0:2.8,1707,
'0:0:2.85,1681,
'0:0:2.9,1643,
'0:0:2.95,1597,
'0:0:3.0,1590,
'0:0:3.05,1649,
'0:0:3.1,1627,
'0:0:3.15,1562,
'0:0:3.2,1568,
'0:0:3.25,1585,
'0:0:3.3,1612,
'0:0:3.35,1641,
'0:0:3.4,1671,
'0:0:3.45,1691,
'0:0:3.5,1709,
'0:0:3.55,1740,
'0:0:3.6,1767,
'0:0:3.65,1789,
'0:0:3.7,1812,
'0:0:3.75,1844,
'0:0:3.8,1870,
'0:0:3.85,1891,
'0:0:3.9,1893,
'0:0:3.95,1893,
'0:0:4.0,1911,
'0:0:4.05,1919,
'0:0:4.1,1969,
'0:0:4.15,2081,
'0:0:4.2,2103,
'0:0:4.25,2011,
'0:0:4.3,1919,
'0:0:4.35,1879,
'0:0:4.4,1872,
'0:0:4.45,1865,
'0:0:4.5,1848,
'0:0:4.55,1830,
'0:0:4.6,1823,
'0:0:4.65,1820,
'0:0:4.7,1828,
'0:0:4.75,1826,
'0:0:4.8,1799,
'0:0:4.85,1751,
'0:0:4.9,1694,
'0:0:4.95,1664,
'0:0:5.0,1697,
'0:0:5.05,1715,
'0:0:5.1,1719,
'0:0:5.15,1771,
'0:0:5.2,1829,
'0:0:5.25,1892,
'0:0:5.3,1953,
'0:0:5.35,2008,
'0:0:5.4,2038,
'0:0:5.45,2063,
'0:0:5.5,2073,
'0:0:5.55,2078,
'0:0:5.6,2088,
'0:0:5.65,2090,
'0:0:5.7,2077,
'0:0:5.75,2037,
'0:0:5.8,1978,
'0:0:5.85,1913,
'0:0:5.9,1872,
'0:0:5.95,1816,
'0:0:6.0,1795,
'0:0:6.05,1851,
'0:0:6.1,1894,
'0:0:6.15,1896,
'0:0:6.2,1878,
'0:0:6.25,1861,
'0:0:6.3,1870,
'0:0:6.35,1892,
'0:0:6.4,1900,
'0:0:6.45,1889,
'0:0:6.5,1861,
'0:0:6.55,1825,
'0:0:6.6,1794,
'0:0:6.65,1757,
'0:0:6.7,1720,
'0:0:6.75,1687,
'0:0:6.8,1666,
'0:0:6.85,1656,
'0:0:6.9,1673,
'0:0:6.95,1669,
'0:0:7.0,1675,
'0:0:7.05,1725,
'0:0:7.1,1769,
'0:0:7.15,1809,
'0:0:7.2,1849,
'0:0:7.25,1906,
'0:0:7.3,1944,
'0:0:7.35,1967,
'0:0:7.4,1988,
'0:0:7.45,2016,
'0:0:7.5,2041,
'0:0:7.55,2054,
'0:0:7.6,2055,
'0:0:7.65,2057,
'0:0:7.7,2062,
'0:0:7.75,2050,
'0:0:7.8,2006,
'0:0:7.85,1930,
'0:0:7.9,1880,
'0:0:7.95,1866,
'0:0:8.0,1889,
'0:0:8.05,1944,
'0:0:8.1,1969,
'0:0:8.15,1952,
'0:0:8.2,1925,
'0:0:8.25,1907,
'0:0:8.3,1888,
'0:0:8.35,1858,
'0:0:8.4,1834,
'0:0:8.45,1804,
'0:0:8.5,1773,
'0:0:8.55,1745,
'0:0:8.6,1721,
'0:0:8.65,1694,
'0:0:8.7,1673,
'0:0:8.75,1653,
'0:0:8.8,1634,
'0:0:8.85,1641,
'0:0:8.9,1676,
'0:0:8.95,1642,
'0:0:9.0,1604,
'0:0:9.05,1620,
'0:0:9.1,1628,
'0:0:9.15,1632,
'0:0:9.2,1639,
'0:0:9.25,1639,
'0:0:9.3,1607,
'0:0:9.35,1559,
'0:0:9.4,1536,
'0:0:9.45,1551,
'0:0:9.5,1597,
'0:0:9.55,1655,
'0:0:9.6,1707,
'0:0:9.65,1762,
'0:0:9.7,1803,
'0:0:9.75,1828,
