,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:12.9,311,154
'0:0:12.95,279,137
'0:0:13.0,284,151
'0:0:13.05,307,179
'0:0:13.1,338,190
'0:0:13.15,384,194
'0:0:13.2,388,197
'0:0:13.25,366,198
'0:0:13.3,355,193
'0:0:13.35,371,188
'0:0:13.4,400,189
'0:0:13.45,384,172
'0:0:13.5,368,153
'0:0:13.55,382,171
'0:0:13.6,423,192
'0:0:13.65,459,180
'0:0:13.7,428,155
'0:0:13.75,379,136
'0:0:13.8,350,132
'0:0:13.85,361,132
'0:0:13.9,372,128
'0:0:13.95,356,125
'0:0:14.0,338,126
'0:0:14.05,342,135
'0:0:14.1,325,133
'0:0:14.15,337,123
'0:0:14.2,336,139
'0:0:14.25,326,165
'0:0:14.3,331,177
'0:0:14.35,347,186
'0:0:14.4,351,192
'0:0:14.45,350,197
'0:0:14.5,342,197
'0:0:14.55,348,192
'0:0:14.6,375,186
'0:0:14.65,425,187
'0:0:14.7,427,178
'0:0:14.75,390,155
'0:0:14.8,369,151
'0:0:14.85,387,166
'0:0:14.9,411,176
'0:0:14.95,402,170
'0:0:15.0,371,147
'0:0:15.05,343,130
'0:0:15.1,359,128
'0:0:15.15,394,125
'0:0:15.2,374,126
'0:0:15.25,328,138
'0:0:15.3,349,150
'0:0:15.35,426,145
'0:0:15.4,410,139
'0:0:15.45,368,155
'0:0:15.5,274,160
'0:0:15.55,218,148
'0:0:15.6,233,141
'0:0:15.65,305,141
'0:0:15.7,354,149
'0:0:15.75,373,162
'0:0:15.8,359,157
'0:0:15.85,364,152
'0:0:15.9,380,163
'0:0:15.95,376,171
'0:0:16.0,366,170
'0:0:16.05,359,172
'0:0:16.1,369,174
'0:0:16.15,400,169
'0:0:16.2,385,161
'0:0:16.25,345,155
'0:0:16.3,333,152
'0:0:16.35,354,163
'0:0:16.4,352,170
'0:0:16.45,334,146
'0:0:16.5,332,136
'0:0:16.55,333,142
'0:0:16.6,361,138
'0:0:16.65,393,136
'0:0:16.7,384,139
'0:0:16.75,361,138
'0:0:16.8,355,135
'0:0:16.85,374,131
'0:0:16.9,417,144
'0:0:16.95,432,158
'0:0:17.0,406,146
'0:0:17.05,395,151
'0:0:17.1,420,174
'0:0:17.15,442,184
'0:0:17.2,423,190
'0:0:17.25,389,198
'0:0:17.3,365,199
'0:0:17.35,356,199
'0:0:17.4,346,195
'0:0:17.45,339,189
'0:0:17.5,333,183
'0:0:17.55,339,187
'0:0:17.6,329,183
'0:0:17.65,318,153
'0:0:17.7,301,145
'0:0:17.75,299,157
'0:0:17.8,307,156
'0:0:17.85,331,151
'0:0:17.9,343,148
'0:0:17.95,344,143
'0:0:18.0,351,138
'0:0:18.05,368,133
'0:0:18.1,403,136
'0:0:18.15,468,142
'0:0:18.2,447,134
'0:0:18.25,402,131
'0:0:18.3,395,155
'0:0:18.35,408,173
'0:0:18.4,407,177
'0:0:18.45,386,182
'0:0:18.5,365,183
'0:0:18.55,348,190
'0:0:18.6,340,201
'0:0:18.65,367,203
'0:0:18.7,379,190
'0:0:18.75,351,169
'0:0:18.8,338,168
'0:0:18.85,320,163
'0:0:18.9,299,146
'0:0:18.95,305,149
'0:0:19.0,310,154
'0:0:19.05,320,145
'0:0:19.1,328,139
'0:0:19.15,349,133
'0:0:19.2,374,129
'0:0:19.25,380,125
'0:0:19.3,368,122
'0:0:19.35,369,119
'0:0:19.4,408,124
'0:0:19.45,452,130
'0:0:19.5,421,121
'0:0:19.55,377,122
'0:0:19.6,368,145
'0:0:19.65,380,162
'0:0:19.7,412,170
'0:0:19.75,432,175
'0:0:19.8,406,177
'0:0:19.85,376,185
'0:0:19.9,364,193
'0:0:19.95,364,194
'0:0:20.0,357,188
'0:0:20.05,339,179
'0:0:20.1,330,174
'0:0:20.15,344,172
'0:0:20.2,332,152
'0:0:20.25,335,127
'0:0:20.3,343,131
'0:0:20.35,330,142
'0:0:20.4,315,144
'0:0:20.45,321,140
'0:0:20.5,335,131
'0:0:20.55,321,127
'0:0:20.6,322,127
'0:0:20.65,343,127
'0:0:20.7,376,133
