,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,1237
'0:0:0.05,1244
'0:0:0.1,1200
'0:0:0.15,1175
'0:0:0.2,1202
'0:0:0.25,1237
'0:0:0.3,1270
'0:0:0.35,1315
'0:0:0.4,1328
'0:0:0.45,1282
'0:0:0.5,1232
'0:0:0.55,1220
'0:0:0.6,1226
'0:0:0.65,1226
'0:0:0.7,1231
'0:0:0.75,1242
'0:0:0.8,1243
'0:0:0.85,1240
'0:0:0.9,1237
'0:0:0.95,1234
'0:0:1.0,1237
'0:0:1.05,1263
'0:0:1.1,1272
'0:0:1.15,1244
'0:0:1.2,1267
'0:0:1.25,1345
'0:0:1.3,1412
'0:0:1.35,1485
'0:0:1.4,1571
'0:0:1.45,1618
'0:0:1.5,1612
'0:0:1.55,1637
'0:0:1.6,1696
'0:0:1.65,1756
'0:0:1.7,1787
'0:0:1.75,1799
'0:0:1.8,1808
'0:0:1.85,1821
'0:0:1.9,1845
'0:0:1.95,1907
'0:0:2.0,1985
'0:0:2.05,2061
'0:0:2.1,2101
'0:0:2.15,2071
'0:0:2.2,2057
'0:0:2.25,2120
'0:0:2.3,2148
'0:0:2.35,2129
'0:0:2.4,2124
'0:0:2.45,2117
'0:0:2.5,2076
'0:0:2.55,2047
'0:0:2.6,2069
'0:0:2.65,2114
'0:0:2.7,2148
'0:0:2.75,2162
'0:0:2.8,2168
'0:0:2.85,2174
'0:0:2.9,2187
'0:0:2.95,2209
'0:0:3.0,2223
'0:0:3.05,2218
'0:0:3.1,2210
'0:0:3.15,2192
'0:0:3.2,2112
'0:0:3.25,2031
'0:0:3.3,2026
'0:0:3.35,2042
'0:0:3.4,2060
'0:0:3.45,2096
'0:0:3.5,2133
'0:0:3.55,2116
'0:0:3.6,2065
'0:0:3.65,2010
'0:0:3.7,1933
'0:0:3.75,1836
'0:0:3.8,1754
'0:0:3.85,1683
'0:0:3.9,1635
'0:0:3.95,1582
'0:0:4.0,1533
'0:0:4.05,1504
'0:0:4.1,1507
'0:0:4.15,1503
'0:0:4.2,1424
'0:0:4.25,1345
'0:0:4.3,1373
'0:0:4.35,1421
'0:0:4.4,1412
'0:0:4.45,1408
'0:0:4.5,1426
'0:0:4.55,1401
'0:0:4.6,1357
'0:0:4.65,1346
'0:0:4.7,1350
'0:0:4.75,1349
'0:0:4.8,1342
'0:0:4.85,1330
'0:0:4.9,1324
'0:0:4.95,1313
'0:0:5.0,1298
'0:0:5.05,1293
'0:0:5.1,1295
'0:0:5.15,1305
'0:0:5.2,1303
'0:0:5.25,1262
'0:0:5.3,1223
'0:0:5.35,1220
'0:0:5.4,1236
'0:0:5.45,1251
'0:0:5.5,1274
'0:0:5.55,1295
'0:0:5.6,1301
'0:0:5.65,1301
'0:0:5.7,1300
'0:0:5.75,1290
'0:0:5.8,1276
'0:0:5.85,1268
'0:0:5.9,1266
'0:0:5.95,1251
'0:0:6.0,1226
'0:0:6.05,1218
'0:0:6.1,1243
'0:0:6.15,1261
'0:0:6.2,1211
'0:0:6.25,1154
'0:0:6.3,1183
'0:0:6.35,1248
'0:0:6.4,1277
'0:0:6.45,1285
'0:0:6.5,1289
'0:0:6.55,1269
'0:0:6.6,1241
'0:0:6.65,1237
'0:0:6.7,1248
'0:0:6.75,1250
'0:0:6.8,1260
'0:0:6.85,1291
'0:0:6.9,1316
'0:0:6.95,1337
'0:0:7.0,1370
'0:0:7.05,1439
'0:0:7.1,1479
'0:0:7.15,1435
'0:0:7.2,1430
'0:0:7.25,1509
'0:0:7.3,1576
'0:0:7.35,1613
'0:0:7.4,1621
'0:0:7.45,1615
'0:0:7.5,1597
'0:0:7.55,1595
'0:0:7.6,1622
'0:0:7.65,1656
'0:0:7.7,1678
'0:0:7.75,1692
'0:0:7.8,1703
'0:0:7.85,1731
'0:0:7.9,1778
'0:0:7.95,1858
'0:0:8.0,1870
'0:0:8.05,1824
'0:0:8.1,1894
'0:0:8.15,2042
'0:0:8.2,2109
'0:0:8.25,2145
'0:0:8.3,2178
'0:0:8.35,2158
'0:0:8.4,2130
'0:0:8.45,2157
'0:0:8.5,2198
'0:0:8.55,2212
'0:0:8.6,2217
'0:0:8.65,2234
'0:0:8.7,2266
'0:0:8.75,2307
'0:0:8.8,2358
'0:0:8.85,2371
'0:0:8.9,2305
'0:0:8.95,2285
'0:0:9.0,2348
'0:0:9.05,2419
'0:0:9.1,2462
'0:0:9.15,2460
'0:0:9.2,2444
'0:0:9.25,2420
'0:0:9.3,2377
'0:0:9.35,2350
'0:0:9.4,2343
'0:0:9.45,2317
'0:0:9.5,2269
'0:0:9.55,2215
'0:0:9.6,2193
'0:0:9.65,2206
'0:0:9.7,2238
'0:0:9.75,2300
'0:0:9.8,2305
'0:0:9.85,2231
'0:0:9.9,2232
'0:0:9.95,2308
'0:0:10.0,2325
'0:0:10.05,2280
'0:0:10.1,2237
'0:0:10.15,2176
'0:0:10.2,2125
'0:0:10.25,2099
'0:0:10.3,2065
'0:0:10.35,2016
'0:0:10.4,1966
'0:0:10.45,1899
'0:0:10.5,1848
'0:0:10.55,1834
'0:0:10.6,1806
'0:0:10.65,1712
'0:0:10.7,1662
'0:0:10.75,1665
'0:0:10.8,1666
'0:0:10.85,1682
'0:0:10.9,1696
'0:0:10.95,1658
'0:0:11.0,1583
'0:0:11.05,1531
'0:0:11.1,1526
'0:0:11.15,1521
'0:0:11.2,1501
'0:0:11.25,1467
'0:0:11.3,1423
'0:0:11.35,1378
'0:0:11.4,1362
'0:0:11.45,1376
'0:0:11.5,1427
'0:0:11.55,1433
'0:0:11.6,1366
'0:0:11.65,1361
'0:0:11.7,1425
'0:0:11.75,1455
'0:0:11.8,1454
'0:0:11.85,1439
'0:0:11.9,1386
'0:0:11.95,1327
'0:0:12.0,1319
'0:0:12.05,1338
'0:0:12.1,1338
'0:0:12.15,1324
'0:0:12.2,1318
'0:0:12.25,1313
'0:0:12.3,1309
'0:0:12.35,1326
'0:0:12.4,1347
'0:0:12.45,1305
'0:0:12.5,1257
'0:0:12.55,1272
'0:0:12.6,1316
'0:0:12.65,1359
'0:0:12.7,1372
'0:0:12.75,1349
'0:0:12.8,1306
'0:0:12.85,1276
'0:0:12.9,1293
'0:0:12.95,1319
'0:0:13.0,1312
'0:0:13.05,1279
'0:0:13.1,1240
'0:0:13.15,1214
'0:0:13.2,1211
'0:0:13.25,1215
'0:0:13.3,1264
'0:0:13.35,1256
'0:0:13.4,1179
'0:0:13.45,1208
'0:0:13.5,1298
'0:0:13.55,1341
'0:0:13.6,1346
'0:0:13.65,1337
'0:0:13.7,1294
'0:0:13.75,1262
'0:0:13.8,1270
'0:0:13.85,1272
'0:0:13.9,1263
'0:0:13.95,1259
'0:0:14.0,1252
'0:0:14.05,1245
'0:0:14.1,1247
'0:0:14.15,1263
'0:0:14.2,1284
'0:0:14.25,1259
'0:0:14.3,1233
'0:0:14.35,1289
'0:0:14.4,1392
'0:0:14.45,1504
'0:0:14.5,1568
'0:0:14.55,1578
'0:0:14.6,1563
'0:0:14.65,1577
'0:0:14.7,1608
'0:0:14.75,1626
'0:0:14.8,1624
'0:0:14.85,1608
'0:0:14.9,1618
'0:0:14.95,1711
'0:0:15.0,1847
'0:0:15.05,1857
'0:0:15.1,1775
'0:0:15.15,1827
'0:0:15.2,1948
'0:0:15.25,2030
'0:0:15.3,2055
'0:0:15.35,2058
'0:0:15.4,2070
'0:0:15.45,2069
'0:0:15.5,2062
'0:0:15.55,2086
'0:0:15.6,2112
'0:0:15.65,2132
'0:0:15.7,2162
'0:0:15.75,2196
'0:0:15.8,2230
'0:0:15.85,2302
'0:0:15.9,2333
'0:0:15.95,2251
'0:0:16.0,2195
'0:0:16.05,2249
'0:0:16.1,2327
'0:0:16.15,2381
'0:0:16.2,2411
'0:0:16.25,2434
'0:0:16.3,2433
'0:0:16.35,2417
'0:0:16.4,2411
'0:0:16.45,2410
'0:0:16.5,2400
'0:0:16.55,2379
'0:0:16.6,2358
'0:0:16.65,2343
'0:0:16.7,2350
'0:0:16.75,2384
'0:0:16.8,2336
'0:0:16.85,2273
'0:0:16.9,2352
'0:0:16.95,2469
'0:0:17.0,2500
'0:0:17.05,2464
'0:0:17.1,2399
'0:0:17.15,2320
'0:0:17.2,2287
'0:0:17.25,2281
'0:0:17.3,2262
'0:0:17.35,2236
'0:0:17.4,2205
'0:0:17.45,2145
'0:0:17.5,2073
'0:0:17.55,2028
'0:0:17.6,1943
'0:0:17.65,1790
'0:0:17.7,1747
'0:0:17.75,1780
'0:0:17.8,1784
'0:0:17.85,1786
'0:0:17.9,1801
'0:0:17.95,1740
'0:0:18.0,1634
'0:0:18.05,1580
'0:0:18.1,1598
'0:0:18.15,1617
'0:0:18.2,1582
'0:0:18.25,1515
'0:0:18.3,1451
'0:0:18.35,1392
'0:0:18.4,1383
'0:0:18.45,1446
'0:0:18.5,1471
'0:0:18.55,1369
'0:0:18.6,1330
'0:0:18.65,1411
'0:0:18.7,1436
'0:0:18.75,1414
'0:0:18.8,1454
'0:0:18.85,1491
'0:0:18.9,1465
'0:0:18.95,1422
'0:0:19.0,1382
'0:0:19.05,1366
'0:0:19.1,1376
'0:0:19.15,1385
'0:0:19.2,1377
