,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,1418
'0:0:0.05,1415
'0:0:0.1,1410
'0:0:0.15,1405
'0:0:0.2,1403
'0:0:0.25,1398
'0:0:0.3,1394
'0:0:0.35,1388
'0:0:0.4,1387
'0:0:0.45,1389
'0:0:0.5,1382
'0:0:0.55,1376
'0:0:0.6,1378
'0:0:0.65,1382
'0:0:0.7,1382
'0:0:0.75,1373
'0:0:0.8,1362
'0:0:0.85,1357
'0:0:0.9,1357
'0:0:0.95,1358
'0:0:1.0,1358
'0:0:1.05,1357
'0:0:1.1,1361
'0:0:1.15,1371
'0:0:1.2,1379
'0:0:1.25,1384
'0:0:1.3,1384
'0:0:1.35,1383
'0:0:1.4,1384
'0:0:1.45,1380
'0:0:1.5,1373
'0:0:1.55,1374
'0:0:1.6,1380
'0:0:1.65,1384
'0:0:1.7,1385
'0:0:1.75,1388
'0:0:1.8,1393
'0:0:1.85,1402
'0:0:1.9,1408
'0:0:1.95,1408
'0:0:2.0,1406
'0:0:2.05,1402
'0:0:2.1,1399
'0:0:2.15,1397
'0:0:2.2,1394
'0:0:2.25,1391
'0:0:2.3,1386
'0:0:2.35,1384
'0:0:2.4,1388
'0:0:2.45,1400
'0:0:2.5,1418
'0:0:2.55,1439
'0:0:2.6,1454
'0:0:2.65,1468
'0:0:2.7,1483
'0:0:2.75,1501
'0:0:2.8,1519
'0:0:2.85,1540
'0:0:2.9,1561
'0:0:2.95,1584
'0:0:3.0,1610
'0:0:3.05,1647
'0:0:3.1,1686
'0:0:3.15,1723
'0:0:3.2,1752
'0:0:3.25,1782
'0:0:3.3,1814
'0:0:3.35,1853
'0:0:3.4,1887
'0:0:3.45,1918
'0:0:3.5,1946
'0:0:3.55,1976
'0:0:3.6,2002
'0:0:3.65,2031
'0:0:3.7,2057
'0:0:3.75,2085
'0:0:3.8,2115
'0:0:3.85,2149
'0:0:3.9,2178
'0:0:3.95,2204
'0:0:4.0,2227
'0:0:4.05,2250
'0:0:4.1,2264
'0:0:4.15,2275
'0:0:4.2,2284
'0:0:4.25,2297
'0:0:4.3,2312
'0:0:4.35,2327
'0:0:4.4,2337
'0:0:4.45,2346
'0:0:4.5,2354
'0:0:4.55,2362
'0:0:4.6,2370
'0:0:4.65,2380
'0:0:4.7,2396
'0:0:4.75,2413
'0:0:4.8,2418
'0:0:4.85,2422
'0:0:4.9,2426
'0:0:4.95,2431
'0:0:5.0,2436
'0:0:5.05,2434
'0:0:5.1,2427
'0:0:5.15,2425
'0:0:5.2,2426
'0:0:5.25,2425
'0:0:5.3,2421
'0:0:5.35,2404
'0:0:5.4,2397
'0:0:5.45,2402
'0:0:5.5,2397
'0:0:5.55,2379
'0:0:5.6,2352
'0:0:5.65,2321
'0:0:5.7,2295
'0:0:5.75,2267
'0:0:5.8,2239
'0:0:5.85,2211
'0:0:5.9,2189
'0:0:5.95,2163
'0:0:6.0,2136
'0:0:6.05,2106
'0:0:6.1,2078
'0:0:6.15,2055
'0:0:6.2,2038
'0:0:6.25,2014
'0:0:6.3,1987
'0:0:6.35,1956
'0:0:6.4,1929
'0:0:6.45,1902
'0:0:6.5,1878
'0:0:6.55,1853
'0:0:6.6,1830
'0:0:6.65,1803
'0:0:6.7,1775
'0:0:6.75,1745
'0:0:6.8,1718
'0:0:6.85,1692
'0:0:6.9,1673
'0:0:6.95,1656
'0:0:7.0,1640
'0:0:7.05,1620
'0:0:7.1,1603
'0:0:7.15,1589
'0:0:7.2,1580
'0:0:7.25,1569
'0:0:7.3,1558
'0:0:7.35,1548
'0:0:7.4,1538
'0:0:7.45,1524
'0:0:7.5,1508
'0:0:7.55,1491
'0:0:7.6,1477
'0:0:7.65,1466
'0:0:7.7,1459
'0:0:7.75,1452
'0:0:7.8,1445
'0:0:7.85,1437
'0:0:7.9,1432
'0:0:7.95,1431
'0:0:8.0,1428
'0:0:8.05,1425
'0:0:8.1,1424
'0:0:8.15,1426
'0:0:8.2,1426
'0:0:8.25,1423
'0:0:8.3,1418
'0:0:8.35,1411
'0:0:8.4,1408
'0:0:8.45,1406
'0:0:8.5,1403
'0:0:8.55,1403
'0:0:8.6,1408
'0:0:8.65,1408
'0:0:8.7,1403
'0:0:8.75,1398
'0:0:8.8,1396
'0:0:8.85,1395
'0:0:8.9,1392
'0:0:8.95,1392
'0:0:9.0,1393
'0:0:9.05,1392
'0:0:9.1,1390
'0:0:9.15,1388
'0:0:9.2,1388
'0:0:9.25,1390
'0:0:9.3,1392
'0:0:9.35,1392
'0:0:9.4,1393
'0:0:9.45,1396
'0:0:9.5,1396
'0:0:9.55,1391
'0:0:9.6,1388
'0:0:9.65,1388
'0:0:9.7,1387
'0:0:9.75,1387
'0:0:9.8,1388
'0:0:9.85,1388
'0:0:9.9,1388
'0:0:9.95,1388
'0:0:10.0,1387
'0:0:10.05,1386
'0:0:10.1,1386
'0:0:10.15,1388
'0:0:10.2,1393
'0:0:10.25,1397
'0:0:10.3,1396
'0:0:10.35,1389
'0:0:10.4,1385
'0:0:10.45,1382
'0:0:10.5,1380
'0:0:10.55,1378
'0:0:10.6,1378
'0:0:10.65,1378
'0:0:10.7,1376
'0:0:10.75,1376
'0:0:10.8,1377
'0:0:10.85,1383
'0:0:10.9,1395
'0:0:10.95,1414
'0:0:11.0,1432
'0:0:11.05,1447
'0:0:11.1,1457
'0:0:11.15,1465
'0:0:11.2,1478
'0:0:11.25,1496
'0:0:11.3,1514
'0:0:11.35,1532
'0:0:11.4,1550
'0:0:11.45,1571
'0:0:11.5,1590
'0:0:11.55,1612
'0:0:11.6,1636
'0:0:11.65,1666
'0:0:11.7,1694
'0:0:11.75,1726
'0:0:11.8,1755
'0:0:11.85,1787
'0:0:11.9,1819
'0:0:11.95,1861
'0:0:12.0,1902
'0:0:12.05,1940
'0:0:12.1,1972
'0:0:12.15,2008
'0:0:12.2,2039
'0:0:12.25,2071
'0:0:12.3,2101
'0:0:12.35,2133
'0:0:12.4,2160
'0:0:12.45,2182
'0:0:12.5,2195
'0:0:12.55,2210
'0:0:12.6,2227
'0:0:12.65,2240
'0:0:12.7,2249
'0:0:12.75,2256
'0:0:12.8,2263
'0:0:12.85,2272
'0:0:12.9,2281
'0:0:12.95,2286
'0:0:13.0,2288
'0:0:13.05,2292
'0:0:13.1,2294
'0:0:13.15,2290
'0:0:13.2,2273
'0:0:13.25,2247
'0:0:13.3,2240
'0:0:13.35,2244
'0:0:13.4,2236
'0:0:13.45,2217
'0:0:13.5,2198
'0:0:13.55,2182
'0:0:13.6,2171
'0:0:13.65,2153
'0:0:13.7,2130
'0:0:13.75,2105
'0:0:13.8,2077
'0:0:13.85,2046
'0:0:13.9,2029
'0:0:13.95,2022
'0:0:14.0,2022
'0:0:14.05,2017
'0:0:14.1,1997
'0:0:14.15,1970
'0:0:14.2,1943
'0:0:14.25,1913
'0:0:14.3,1889
'0:0:14.35,1864
'0:0:14.4,1841
'0:0:14.45,1814
'0:0:14.5,1789
'0:0:14.55,1763
'0:0:14.6,1741
'0:0:14.65,1722
'0:0:14.7,1705
'0:0:14.75,1685
'0:0:14.8,1666
'0:0:14.85,1646
'0:0:14.9,1630
'0:0:14.95,1614
'0:0:15.0,1598
'0:0:15.05,1582
'0:0:15.1,1568
'0:0:15.15,1554
'0:0:15.2,1543
'0:0:15.25,1532
'0:0:15.3,1522
'0:0:15.35,1513
'0:0:15.4,1508
'0:0:15.45,1508
'0:0:15.5,1508
'0:0:15.55,1498
'0:0:15.6,1484
'0:0:15.65,1472
'0:0:15.7,1469
'0:0:15.75,1472
'0:0:15.8,1475
'0:0:15.85,1478
'0:0:15.9,1475
'0:0:15.95,1465
'0:0:16.0,1455
'0:0:16.05,1444
'0:0:16.1,1436
'0:0:16.15,1430
'0:0:16.2,1424
'0:0:16.25,1421
'0:0:16.3,1420
'0:0:16.35,1417
'0:0:16.4,1408
'0:0:16.45,1399
'0:0:16.5,1394
'0:0:16.55,1391
'0:0:16.6,1387
'0:0:16.65,1383
'0:0:16.7,1382
'0:0:16.75,1382
'0:0:16.8,1381
'0:0:16.85,1379
'0:0:16.9,1377
'0:0:16.95,1377
'0:0:17.0,1376
'0:0:17.05,1377
'0:0:17.1,1379
'0:0:17.15,1384
'0:0:17.2,1385
'0:0:17.25,1381
'0:0:17.3,1379
'0:0:17.35,1378
'0:0:17.4,1378
'0:0:17.45,1377
'0:0:17.5,1376
'0:0:17.55,1376
'0:0:17.6,1377
'0:0:17.65,1377
'0:0:17.7,1376
'0:0:17.75,1377
'0:0:17.8,1381
'0:0:17.85,1388
'0:0:17.9,1399
'0:0:17.95,1411
'0:0:18.0,1419
'0:0:18.05,1424
'0:0:18.1,1430
'0:0:18.15,1443
'0:0:18.2,1460
'0:0:18.25,1477
'0:0:18.3,1492
'0:0:18.35,1507
'0:0:18.4,1519
'0:0:18.45,1534
'0:0:18.5,1549
'0:0:18.55,1567
'0:0:18.6,1582
'0:0:18.65,1599
'0:0:18.7,1616
'0:0:18.75,1635
'0:0:18.8,1653
'0:0:18.85,1673
'0:0:18.9,1693
'0:0:18.95,1718
'0:0:19.0,1740
'0:0:19.05,1762
'0:0:19.1,1782
'0:0:19.15,1804
'0:0:19.2,1825
