,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,1791,
'0:0:0.05,1809,
'0:0:0.1,1836,
'0:0:0.15,1864,
'0:0:0.2,1889,
'0:0:0.25,1906,
'0:0:0.3,1931,
'0:0:0.35,1964,
'0:0:0.4,1995,
'0:0:0.45,2018,
'0:0:0.5,2042,
'0:0:0.55,2063,
'0:0:0.6,2088,
'0:0:0.65,2116,
'0:0:0.7,2150,
'0:0:0.75,2183,
'0:0:0.8,2212,
'0:0:0.85,2232,
'0:0:0.9,2250,
'0:0:0.95,2269,
'0:0:1.0,2298,
'0:0:1.05,2323,
'0:0:1.1,2334,
'0:0:1.15,2336,
'0:0:1.2,2337,
'0:0:1.25,2326,
'0:0:1.3,2298,
'0:0:1.35,2278,
'0:0:1.4,2272,
'0:0:1.45,2259,
'0:0:1.5,2232,
'0:0:1.55,2208,
'0:0:1.6,2181,
'0:0:1.65,2158,
'0:0:1.7,2133,
'0:0:1.75,2112,
'0:0:1.8,2085,
'0:0:1.85,2058,
'0:0:1.9,2028,
'0:0:1.95,1997,
'0:0:2.0,1967,
'0:0:2.05,1939,
'0:0:2.1,1897,
'0:0:2.15,1850,
'0:0:2.2,1806,
'0:0:2.25,1771,
'0:0:2.3,1736,
'0:0:2.35,1702,
'0:0:2.4,1665,
'0:0:2.45,1632,
'0:0:2.5,1598,
'0:0:2.55,1569,
'0:0:2.6,1540,
'0:0:2.65,1515,
'0:0:2.7,1489,
'0:0:2.75,1466,
'0:0:2.8,1443,
'0:0:2.85,1420,
'0:0:2.9,1393,
'0:0:2.95,1371,
'0:0:3.0,1354,
'0:0:3.05,1337,
'0:0:3.1,1319,
'0:0:3.15,1305,
'0:0:3.2,1296,
'0:0:3.25,1289,
'0:0:3.3,1284,
'0:0:3.35,1282,
'0:0:3.4,1286,
'0:0:3.45,1289,
'0:0:3.5,1285,
'0:0:3.55,1277,
'0:0:3.6,1270,
'0:0:3.65,1268,
'0:0:3.7,1266,
'0:0:3.75,1264,
'0:0:3.8,1261,
'0:0:3.85,1258,
'0:0:3.9,1257,
'0:0:3.95,1257,
'0:0:4.0,1256,
'0:0:4.05,1254,
'0:0:4.1,1254,
'0:0:4.15,1256,
'0:0:4.2,1253,
'0:0:4.25,1243,
'0:0:4.3,1234,
'0:0:4.35,1229,
'0:0:4.4,1226,
'0:0:4.45,1226,
'0:0:4.5,1226,
'0:0:4.55,1225,
'0:0:4.6,1223,
'0:0:4.65,1222,
'0:0:4.7,1223,
'0:0:4.75,1225,
'0:0:4.8,1228,
'0:0:4.85,1234,
'0:0:4.9,1237,
'0:0:4.95,1232,
'0:0:5.0,1225,
'0:0:5.05,1217,
'0:0:5.1,1213,
'0:0:5.15,1211,
'0:0:5.2,1210,
'0:0:5.25,1210,
'0:0:5.3,1209,
'0:0:5.35,1208,
'0:0:5.4,1207,
'0:0:5.45,1207,
'0:0:5.5,1210,
'0:0:5.55,1218,
'0:0:5.6,1225,
'0:0:5.65,1227,
'0:0:5.7,1229,
'0:0:5.75,1229,
'0:0:5.8,1229,
'0:0:5.85,1235,
'0:0:5.9,1244,
'0:0:5.95,1252,
'0:0:6.0,1263,
'0:0:6.05,1274,
'0:0:6.1,1291,
'0:0:6.15,1308,
'0:0:6.2,1324,
'0:0:6.25,1338,
'0:0:6.3,1351,
'0:0:6.35,1364,
'0:0:6.4,1379,
'0:0:6.45,1389,
'0:0:6.5,1401,
'0:0:6.55,1420,
'0:0:6.6,1442,
'0:0:6.65,1462,
'0:0:6.7,1485,
'0:0:6.75,1508,
'0:0:6.8,1533,
'0:0:6.85,1558,
'0:0:6.9,1583,
'0:0:6.95,1609,
'0:0:7.0,1637,
'0:0:7.05,1659,
'0:0:7.1,1678,
'0:0:7.15,1697,
'0:0:7.2,1716,
'0:0:7.25,1732,
'0:0:7.3,1752,
'0:0:7.35,1775,
'0:0:7.4,1808,
'0:0:7.45,1834,
'0:0:7.5,1851,
'0:0:7.55,1858,
'0:0:7.6,1868,
'0:0:7.65,1882,
'0:0:7.7,1889,
'0:0:7.75,1889,
'0:0:7.8,1884,
'0:0:7.85,1883,
'0:0:7.9,1886,
'0:0:7.95,1886,
'0:0:8.0,1878,
'0:0:8.05,1864,
'0:0:8.1,1844,
'0:0:8.15,1827,
'0:0:8.2,1820,
'0:0:8.25,1812,
'0:0:8.3,1806,
'0:0:8.35,1799,
'0:0:8.4,1781,
'0:0:8.45,1759,
'0:0:8.5,1734,
'0:0:8.55,1712,
'0:0:8.6,1691,
'0:0:8.65,1670,
'0:0:8.7,1644,
'0:0:8.75,1619,
'0:0:8.8,1592,
'0:0:8.85,1567,
'0:0:8.9,1541,
'0:0:8.95,1521,
'0:0:9.0,1503,
'0:0:9.05,1484,
'0:0:9.1,1457,
'0:0:9.15,1435,
'0:0:9.2,1412,
'0:0:9.25,1393,
'0:0:9.3,1376,
'0:0:9.35,1362,
'0:0:9.4,1347,
'0:0:9.45,1334,
'0:0:9.5,1322,
'0:0:9.55,1312,
'0:0:9.6,1304,
'0:0:9.65,1295,
'0:0:9.7,1290,
'0:0:9.75,1289,
