,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,1389,
'0:0:0.05,1380,
'0:0:0.1,1369,
'0:0:0.15,1356,
'0:0:0.2,1345,
'0:0:0.25,1318,
'0:0:0.3,1293,
'0:0:0.35,1277,
'0:0:0.4,1260,
'0:0:0.45,1230,
'0:0:0.5,1195,
'0:0:0.55,1167,
'0:0:0.6,1157,
'0:0:0.65,1153,
'0:0:0.7,1148,
'0:0:0.75,1134,
'0:0:0.8,1131,
'0:0:0.85,1161,
'0:0:0.9,1217,
'0:0:0.95,1298,
'0:0:1.0,1302,
'0:0:1.05,1283,
'0:0:1.1,1388,
'0:0:1.15,1486,
'0:0:1.2,1464,
'0:0:1.25,1447,
'0:0:1.3,1480,
'0:0:1.35,1525,
'0:0:1.4,1539,
'0:0:1.45,1549,
'0:0:1.5,1578,
'0:0:1.55,1620,
'0:0:1.6,1659,
'0:0:1.65,1692,
'0:0:1.7,1722,
'0:0:1.75,1783,
'0:0:1.8,1871,
'0:0:1.85,1887,
'0:0:1.9,1862,
'0:0:1.95,1914,
'0:0:2.0,1988,
'0:0:2.05,2023,
'0:0:2.1,2019,
'0:0:2.15,2028,
'0:0:2.2,2043,
'0:0:2.25,2057,
'0:0:2.3,2069,
'0:0:2.35,2067,
'0:0:2.4,2062,
'0:0:2.45,2081,
'0:0:2.5,2100,
'0:0:2.55,2112,
'0:0:2.6,2147,
'0:0:2.65,2241,
'0:0:2.7,2334,
'0:0:2.75,2327,
'0:0:2.8,2292,
'0:0:2.85,2419,
'0:0:2.9,2581,
'0:0:2.95,2595,
'0:0:3.0,2565,
'0:0:3.05,2572,
'0:0:3.1,2548,
'0:0:3.15,2510,
'0:0:3.2,2511,
'0:0:3.25,2531,
'0:0:3.3,2499,
'0:0:3.35,2409,
'0:0:3.4,2330,
'0:0:3.45,2266,
'0:0:3.5,2249,
'0:0:3.55,2269,
'0:0:3.6,2229,
'0:0:3.65,2173,
'0:0:3.7,2211,
'0:0:3.75,2210,
'0:0:3.8,2106,
'0:0:3.85,2014,
'0:0:3.9,1982,
'0:0:3.95,1949,
'0:0:4.0,1910,
'0:0:4.05,1851,
'0:0:4.1,1783,
'0:0:4.15,1731,
'0:0:4.2,1701,
'0:0:4.25,1665,
'0:0:4.3,1639,
'0:0:4.35,1615,
'0:0:4.4,1620,
'0:0:4.45,1665,
'0:0:4.5,1619,
'0:0:4.55,1570,
'0:0:4.6,1670,
'0:0:4.65,1718,
'0:0:4.7,1650,
'0:0:4.75,1607,
'0:0:4.8,1595,
'0:0:4.85,1567,
'0:0:4.9,1542,
'0:0:4.95,1536,
'0:0:5.0,1531,
'0:0:5.05,1525,
'0:0:5.1,1544,
'0:0:5.15,1576,
'0:0:5.2,1575,
'0:0:5.25,1525,
'0:0:5.3,1495,
'0:0:5.35,1515,
'0:0:5.4,1495,
'0:0:5.45,1382,
'0:0:5.5,1314,
'0:0:5.55,1357,
'0:0:5.6,1378,
'0:0:5.65,1360,
'0:0:5.7,1378,
'0:0:5.75,1396,
'0:0:5.8,1373,
'0:0:5.85,1319,
'0:0:5.9,1281,
'0:0:5.95,1270,
'0:0:6.0,1271,
'0:0:6.05,1270,
'0:0:6.1,1262,
'0:0:6.15,1258,
'0:0:6.2,1270,
'0:0:6.25,1331,
'0:0:6.3,1316,
'0:0:6.35,1250,
'0:0:6.4,1306,
'0:0:6.45,1334,
'0:0:6.5,1277,
'0:0:6.55,1253,
'0:0:6.6,1265,
'0:0:6.65,1269,
'0:0:6.7,1265,
'0:0:6.75,1265,
'0:0:6.8,1262,
'0:0:6.85,1259,
'0:0:6.9,1268,
'0:0:6.95,1278,
'0:0:7.0,1272,
'0:0:7.05,1255,
'0:0:7.1,1306,
'0:0:7.15,1333,
'0:0:7.2,1263,
'0:0:7.25,1265,
'0:0:7.3,1320,
'0:0:7.35,1307,
'0:0:7.4,1276,
'0:0:7.45,1271,
'0:0:7.5,1263,
'0:0:7.55,1247,
'0:0:7.6,1231,
'0:0:7.65,1231,
'0:0:7.7,1249,
'0:0:7.75,1280,
'0:0:7.8,1312,
'0:0:7.85,1348,
'0:0:7.9,1395,
'0:0:7.95,1474,
'0:0:8.0,1447,
'0:0:8.05,1343,
'0:0:8.1,1437,
'0:0:8.15,1617,
'0:0:8.2,1601,
'0:0:8.25,1505,
'0:0:8.3,1512,
'0:0:8.35,1558,
'0:0:8.4,1569,
'0:0:8.45,1589,
'0:0:8.5,1628,
'0:0:8.55,1679,
'0:0:8.6,1716,
'0:0:8.65,1736,
'0:0:8.7,1761,
'0:0:8.75,1833,
'0:0:8.8,1899,
'0:0:8.85,1878,
'0:0:8.9,1880,
'0:0:8.95,1999,
'0:0:9.0,2043,
'0:0:9.05,1982,
'0:0:9.1,1969,
'0:0:9.15,2018,
'0:0:9.2,2061,
'0:0:9.25,2066,
'0:0:9.3,2050,
'0:0:9.35,2046,
'0:0:9.4,2065,
'0:0:9.45,2092,
'0:0:9.5,2127,
'0:0:9.55,2187,
'0:0:9.6,2261,
'0:0:9.65,2287,
'0:0:9.7,2230,
'0:0:9.75,2245,
