,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,1256,
'0:0:0.05,1177,
'0:0:0.1,1139,
'0:0:0.15,1151,
'0:0:0.2,1173,
'0:0:0.25,1177,
'0:0:0.3,1168,
'0:0:0.35,1174,
'0:0:0.4,1216,
'0:0:0.45,1303,
'0:0:0.5,1371,
'0:0:0.55,1332,
'0:0:0.6,1326,
'0:0:0.65,1460,
'0:0:0.7,1572,
'0:0:0.75,1591,
'0:0:0.8,1555,
'0:0:0.85,1549,
'0:0:0.9,1582,
'0:0:0.95,1623,
'0:0:1.0,1662,
'0:0:1.05,1708,
'0:0:1.1,1740,
'0:0:1.15,1767,
'0:0:1.2,1801,
'0:0:1.25,1842,
'0:0:1.3,1857,
'0:0:1.35,1875,
'0:0:1.4,1888,
'0:0:1.45,1864,
'0:0:1.5,1863,
'0:0:1.55,1909,
'0:0:1.6,1972,
'0:0:1.65,2026,
'0:0:1.7,2039,
'0:0:1.75,2019,
'0:0:1.8,1976,
'0:0:1.85,1970,
'0:0:1.9,2003,
'0:0:1.95,2031,
'0:0:2.0,2053,
'0:0:2.05,2064,
'0:0:2.1,2097,
'0:0:2.15,2197,
'0:0:2.2,2257,
'0:0:2.25,2171,
'0:0:2.3,2113,
'0:0:2.35,2220,
'0:0:2.4,2287,
'0:0:2.45,2229,
'0:0:2.5,2169,
'0:0:2.55,2144,
'0:0:2.6,2125,
'0:0:2.65,2119,
'0:0:2.7,2133,
'0:0:2.75,2143,
'0:0:2.8,2148,
'0:0:2.85,2155,
'0:0:2.9,2171,
'0:0:2.95,2237,
'0:0:3.0,2346,
'0:0:3.05,2387,
'0:0:3.1,2342,
'0:0:3.15,2326,
'0:0:3.2,2319,
'0:0:3.25,2273,
'0:0:3.3,2210,
'0:0:3.35,2135,
'0:0:3.4,2063,
'0:0:3.45,2004,
'0:0:3.5,1966,
'0:0:3.55,1915,
'0:0:3.6,1872,
'0:0:3.65,1849,
'0:0:3.7,1847,
'0:0:3.75,1844,
'0:0:3.8,1857,
'0:0:3.85,1791,
'0:0:3.9,1652,
'0:0:3.95,1636,
'0:0:4.0,1730,
'0:0:4.05,1779,
'0:0:4.1,1738,
'0:0:4.15,1667,
'0:0:4.2,1585,
'0:0:4.25,1523,
'0:0:4.3,1523,
'0:0:4.35,1524,
'0:0:4.4,1512,
'0:0:4.45,1494,
'0:0:4.5,1459,
'0:0:4.55,1424,
'0:0:4.6,1424,
'0:0:4.65,1451,
'0:0:4.7,1410,
'0:0:4.75,1327,
'0:0:4.8,1332,
'0:0:4.85,1403,
'0:0:4.9,1463,
'0:0:4.95,1444,
'0:0:5.0,1362,
'0:0:5.05,1291,
'0:0:5.1,1270,
'0:0:5.15,1278,
'0:0:5.2,1283,
'0:0:5.25,1266,
'0:0:5.3,1236,
'0:0:5.35,1207,
'0:0:5.4,1214,
'0:0:5.45,1276,
'0:0:5.5,1293,
'0:0:5.55,1218,
'0:0:5.6,1198,
'0:0:5.65,1294,
'0:0:5.7,1366,
'0:0:5.75,1348,
'0:0:5.8,1303,
'0:0:5.85,1251,
'0:0:5.9,1220,
'0:0:5.95,1230,
'0:0:6.0,1234,
'0:0:6.05,1231,
'0:0:6.1,1240,
'0:0:6.15,1254,
'0:0:6.2,1251,
'0:0:6.25,1248,
'0:0:6.3,1241,
'0:0:6.35,1182,
'0:0:6.4,1178,
'0:0:6.45,1276,
'0:0:6.5,1309,
'0:0:6.55,1266,
'0:0:6.6,1237,
'0:0:6.65,1213,
'0:0:6.7,1211,
'0:0:6.75,1229,
'0:0:6.8,1233,
'0:0:6.85,1225,
'0:0:6.9,1222,
'0:0:6.95,1228,
'0:0:7.0,1231,
'0:0:7.05,1266,
'0:0:7.1,1372,
'0:0:7.15,1395,
'0:0:7.2,1330,
'0:0:7.25,1396,
'0:0:7.3,1527,
'0:0:7.35,1552,
'0:0:7.4,1494,
'0:0:7.45,1471,
'0:0:7.5,1478,
'0:0:7.55,1499,
'0:0:7.6,1544,
'0:0:7.65,1604,
'0:0:7.7,1648,
'0:0:7.75,1687,
'0:0:7.8,1724,
'0:0:7.85,1752,
'0:0:7.9,1783,
'0:0:7.95,1771,
'0:0:8.0,1746,
'0:0:8.05,1833,
'0:0:8.1,1960,
'0:0:8.15,2008,
'0:0:8.2,1993,
'0:0:8.25,1978,
'0:0:8.3,1973,
'0:0:8.35,2004,
'0:0:8.4,2036,
'0:0:8.45,2035,
'0:0:8.5,2023,
'0:0:8.55,2023,
'0:0:8.6,2061,
'0:0:8.65,2175,
'0:0:8.7,2268,
'0:0:8.75,2196,
'0:0:8.8,2137,
'0:0:8.85,2276,
'0:0:8.9,2367,
'0:0:8.95,2333,
'0:0:9.0,2314,
'0:0:9.05,2297,
'0:0:9.1,2248,
'0:0:9.15,2216,
'0:0:9.2,2217,
'0:0:9.25,2204,
'0:0:9.3,2199,
'0:0:9.35,2213,
'0:0:9.4,2216,
'0:0:9.45,2253,
'0:0:9.5,2335,
'0:0:9.55,2319,
'0:0:9.6,2251,
'0:0:9.65,2280,
'0:0:9.7,2337,
'0:0:9.75,2364,
