,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,1267,
'0:0:0.05,1270,
'0:0:0.1,1277,
'0:0:0.15,1287,
'0:0:0.2,1300,
'0:0:0.25,1319,
'0:0:0.3,1338,
'0:0:0.35,1358,
'0:0:0.4,1375,
'0:0:0.45,1391,
'0:0:0.5,1410,
'0:0:0.55,1432,
'0:0:0.6,1452,
'0:0:0.65,1471,
'0:0:0.7,1486,
'0:0:0.75,1502,
'0:0:0.8,1524,
'0:0:0.85,1551,
'0:0:0.9,1579,
'0:0:0.95,1609,
'0:0:1.0,1635,
'0:0:1.05,1661,
'0:0:1.1,1685,
'0:0:1.15,1715,
'0:0:1.2,1746,
'0:0:1.25,1781,
'0:0:1.3,1808,
'0:0:1.35,1830,
'0:0:1.4,1845,
'0:0:1.45,1860,
'0:0:1.5,1875,
'0:0:1.55,1891,
'0:0:1.6,1901,
'0:0:1.65,1910,
'0:0:1.7,1918,
'0:0:1.75,1928,
'0:0:1.8,1940,
'0:0:1.85,1955,
'0:0:1.9,1979,
'0:0:1.95,2001,
'0:0:2.0,2001,
'0:0:2.05,1991,
'0:0:2.1,1986,
'0:0:2.15,1993,
'0:0:2.2,1996,
'0:0:2.25,1984,
'0:0:2.3,1970,
'0:0:2.35,1958,
'0:0:2.4,1947,
'0:0:2.45,1934,
'0:0:2.5,1919,
'0:0:2.55,1911,
'0:0:2.6,1903,
'0:0:2.65,1881,
'0:0:2.7,1855,
'0:0:2.75,1829,
'0:0:2.8,1811,
'0:0:2.85,1793,
'0:0:2.9,1777,
'0:0:2.95,1760,
'0:0:3.0,1742,
'0:0:3.05,1717,
'0:0:3.1,1692,
'0:0:3.15,1666,
'0:0:3.2,1646,
'0:0:3.25,1627,
'0:0:3.3,1604,
'0:0:3.35,1575,
'0:0:3.4,1550,
'0:0:3.45,1525,
'0:0:3.5,1504,
'0:0:3.55,1485,
'0:0:3.6,1468,
'0:0:3.65,1449,
'0:0:3.7,1429,
'0:0:3.75,1407,
'0:0:3.8,1394,
'0:0:3.85,1383,
'0:0:3.9,1376,
'0:0:3.95,1368,
'0:0:4.0,1356,
'0:0:4.05,1343,
'0:0:4.1,1334,
'0:0:4.15,1326,
'0:0:4.2,1320,
'0:0:4.25,1311,
'0:0:4.3,1304,
'0:0:4.35,1297,
'0:0:4.4,1292,
'0:0:4.45,1287,
'0:0:4.5,1283,
'0:0:4.55,1281,
'0:0:4.6,1285,
'0:0:4.65,1289,
'0:0:4.7,1284,
'0:0:4.75,1277,
'0:0:4.8,1273,
'0:0:4.85,1271,
'0:0:4.9,1269,
'0:0:4.95,1265,
'0:0:5.0,1260,
'0:0:5.05,1254,
'0:0:5.1,1251,
'0:0:5.15,1250,
'0:0:5.2,1249,
'0:0:5.25,1247,
'0:0:5.3,1249,
'0:0:5.35,1252,
'0:0:5.4,1250,
'0:0:5.45,1245,
'0:0:5.5,1242,
'0:0:5.55,1239,
'0:0:5.6,1237,
'0:0:5.65,1236,
'0:0:5.7,1236,
'0:0:5.75,1235,
'0:0:5.8,1234,
'0:0:5.85,1233,
'0:0:5.9,1234,
'0:0:5.95,1236,
'0:0:6.0,1242,
'0:0:6.05,1248,
'0:0:6.1,1249,
'0:0:6.15,1246,
'0:0:6.2,1243,
'0:0:6.25,1238,
'0:0:6.3,1237,
'0:0:6.35,1238,
'0:0:6.4,1238,
'0:0:6.45,1237,
'0:0:6.5,1234,
'0:0:6.55,1233,
'0:0:6.6,1233,
'0:0:6.65,1234,
'0:0:6.7,1239,
'0:0:6.75,1244,
'0:0:6.8,1245,
'0:0:6.85,1240,
'0:0:6.9,1231,
'0:0:6.95,1225,
'0:0:7.0,1225,
'0:0:7.05,1226,
'0:0:7.1,1227,
'0:0:7.15,1228,
'0:0:7.2,1227,
'0:0:7.25,1227,
'0:0:7.3,1229,
'0:0:7.35,1234,
'0:0:7.4,1241,
'0:0:7.45,1252,
'0:0:7.5,1258,
'0:0:7.55,1262,
'0:0:7.6,1263,
'0:0:7.65,1261,
'0:0:7.7,1264,
'0:0:7.75,1270,
'0:0:7.8,1273,
'0:0:7.85,1276,
'0:0:7.9,1280,
'0:0:7.95,1286,
'0:0:8.0,1294,
'0:0:8.05,1304,
'0:0:8.1,1318,
'0:0:8.15,1336,
'0:0:8.2,1355,
'0:0:8.25,1376,
'0:0:8.3,1388,
'0:0:8.35,1401,
'0:0:8.4,1417,
'0:0:8.45,1434,
'0:0:8.5,1447,
'0:0:8.55,1460,
'0:0:8.6,1474,
'0:0:8.65,1495,
'0:0:8.7,1511,
'0:0:8.75,1521,
'0:0:8.8,1535,
'0:0:8.85,1552,
'0:0:8.9,1564,
'0:0:8.95,1577,
'0:0:9.0,1591,
'0:0:9.05,1610,
'0:0:9.1,1626,
'0:0:9.15,1644,
'0:0:9.2,1663,
'0:0:9.25,1683,
'0:0:9.3,1701,
'0:0:9.35,1724,
'0:0:9.4,1743,
'0:0:9.45,1765,
'0:0:9.5,1786,
'0:0:9.55,1799,
'0:0:9.6,1808,
'0:0:9.65,1813,
'0:0:9.7,1821,
'0:0:9.75,1833,
