,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,353,659
'0:0:0.05,333,654
'0:0:0.1,330,649
'0:0:0.15,330,645
'0:0:0.2,319,644
'0:0:0.25,320,645
'0:0:0.3,333,645
'0:0:0.35,384,644
'0:0:0.4,415,644
'0:0:0.45,396,644
'0:0:0.5,378,643
'0:0:0.55,362,641
'0:0:0.6,352,635
'0:0:0.65,356,629
'0:0:0.7,351,623
'0:0:0.75,342,620
'0:0:0.8,337,618
'0:0:0.85,334,616
'0:0:0.9,336,615
'0:0:0.95,335,612
'0:0:1.0,334,607
'0:0:1.05,340,602
'0:0:1.1,398,597
'0:0:1.15,436,592
'0:0:1.2,414,589
'0:0:1.25,390,588
'0:0:1.3,373,587
'0:0:1.35,357,585
'0:0:1.4,359,584
'0:0:1.45,355,582
'0:0:1.5,346,578
'0:0:1.55,338,574
'0:0:1.6,338,571
'0:0:1.65,338,568
'0:0:1.7,339,566
'0:0:1.75,336,563
'0:0:1.8,340,561
'0:0:1.85,364,558
'0:0:1.9,429,552
'0:0:1.95,436,544
'0:0:2.0,408,536
'0:0:2.05,393,533
'0:0:2.1,373,533
'0:0:2.15,383,533
'0:0:2.2,392,529
'0:0:2.25,367,523
'0:0:2.3,341,520
'0:0:2.35,331,518
'0:0:2.4,329,516
'0:0:2.45,332,515
'0:0:2.5,335,514
'0:0:2.55,334,514
'0:0:2.6,337,514
'0:0:2.65,389,512
'0:0:2.7,427,508
'0:0:2.75,412,508
'0:0:2.8,387,511
'0:0:2.85,370,515
'0:0:2.9,358,516
'0:0:2.95,361,517
'0:0:3.0,355,519
'0:0:3.05,347,519
'0:0:3.1,339,519
'0:0:3.15,337,518
'0:0:3.2,340,519
'0:0:3.25,342,522
'0:0:3.3,340,525
'0:0:3.35,340,526
'0:0:3.4,384,525
'0:0:3.45,429,523
'0:0:3.5,410,522
'0:0:3.55,381,524
'0:0:3.6,365,527
'0:0:3.65,356,530
'0:0:3.7,361,533
'0:0:3.75,356,535
'0:0:3.8,345,536
'0:0:3.85,339,534
'0:0:3.9,338,534
'0:0:3.95,339,541
'0:0:4.0,340,553
'0:0:4.05,338,565
'0:0:4.1,341,575
'0:0:4.15,395,584
'0:0:4.2,427,593
'0:0:4.25,401,604
'0:0:4.3,369,620
'0:0:4.35,356,635
'0:0:4.4,353,648
'0:0:4.45,359,658
'0:0:4.5,352,672
'0:0:4.55,342,691
'0:0:4.6,337,711
'0:0:4.65,337,725
'0:0:4.7,336,734
'0:0:4.75,334,746
'0:0:4.8,335,764
'0:0:4.85,374,785
'0:0:4.9,424,805
'0:0:4.95,408,825
'0:0:5.0,379,848
'0:0:5.05,360,873
'0:0:5.1,351,909
'0:0:5.15,359,944
'0:0:5.2,356,973
'0:0:5.25,345,997
'0:0:5.3,336,1023
'0:0:5.35,337,1044
'0:0:5.4,341,1065
'0:0:5.45,343,1084
'0:0:5.5,355,1106
'0:0:5.55,412,1123
'0:0:5.6,421,1136
'0:0:5.65,391,1147
'0:0:5.7,370,1158
'0:0:5.75,358,1171
'0:0:5.8,361,1190
'0:0:5.85,366,1208
'0:0:5.9,354,1225
'0:0:5.95,343,1241
'0:0:6.0,340,1265
'0:0:6.05,342,1293
'0:0:6.1,340,1316
'0:0:6.15,349,1324
'0:0:6.2,407,1320
'0:0:6.25,427,1308
'0:0:6.3,399,1300
'0:0:6.35,378,1296
'0:0:6.4,360,1294
'0:0:6.45,357,1300
'0:0:6.5,362,1316
'0:0:6.55,353,1332
'0:0:6.6,342,1348
'0:0:6.65,339,1357
'0:0:6.7,341,1362
'0:0:6.75,340,1360
'0:0:6.8,343,1355
'0:0:6.85,379,1349
'0:0:6.9,426,1333
'0:0:6.95,412,1316
'0:0:7.0,388,1301
'0:0:7.05,370,1287
'0:0:7.1,359,1281
'0:0:7.15,366,1278
'0:0:7.2,363,1262
'0:0:7.25,354,1248
'0:0:7.3,347,1238
'0:0:7.35,349,1229
'0:0:7.4,351,1215
'0:0:7.45,353,1199
'0:0:7.5,352,1184
'0:0:7.55,383,1172
'0:0:7.6,417,1153
'0:0:7.65,398,1132
'0:0:7.7,372,1109
'0:0:7.75,353,1087
'0:0:7.8,339,1064
'0:0:7.85,345,1043
'0:0:7.9,345,1017
'0:0:7.95,336,994
'0:0:8.0,331,974
'0:0:8.05,334,959
'0:0:8.1,339,943
'0:0:8.15,344,926
'0:0:8.2,343,906
'0:0:8.25,353,892
'0:0:8.3,415,878
'0:0:8.35,435,865
'0:0:8.4,402,850
'0:0:8.45,377,836
'0:0:8.5,357,825
'0:0:8.55,351,819
'0:0:8.6,356,812
'0:0:8.65,348,804
'0:0:8.7,337,793
'0:0:8.75,333,785
'0:0:8.8,334,779
'0:0:8.85,338,774
'0:0:8.9,339,770
'0:0:8.95,336,765
'0:0:9.0,343,758
'0:0:9.05,408,751
'0:0:9.1,432,742
'0:0:9.15,401,734
'0:0:9.2,371,728
'0:0:9.25,358,724
'0:0:9.3,353,720
'0:0:9.35,357,715
'0:0:9.4,349,708
'0:0:9.45,339,704
'0:0:9.5,333,702
'0:0:9.55,335,702
'0:0:9.6,338,701
'0:0:9.65,340,701
'0:0:9.7,337,699
'0:0:9.75,336,695
'0:0:9.8,390,686
'0:0:9.85,438,676
'0:0:9.9,415,668
'0:0:9.95,382,664
'0:0:10.0,363,664
'0:0:10.05,349,662
'0:0:10.1,353,656
'0:0:10.15,354,652
'0:0:10.2,344,647
'0:0:10.25,337,641
'0:0:10.3,334,635
