,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,362,647
'0:0:0.05,351,645
'0:0:0.1,338,642
'0:0:0.15,326,640
'0:0:0.2,325,639
'0:0:0.25,329,639
'0:0:0.3,328,639
'0:0:0.35,329,640
'0:0:0.4,371,638
'0:0:0.45,438,633
'0:0:0.5,427,629
'0:0:0.55,392,629
'0:0:0.6,368,631
'0:0:0.65,348,632
'0:0:0.7,351,633
'0:0:0.75,350,633
'0:0:0.8,335,632
'0:0:0.85,327,632
'0:0:0.9,326,633
'0:0:0.95,330,634
'0:0:1.0,330,635
'0:0:1.05,330,633
'0:0:1.1,376,628
'0:0:1.15,444,621
'0:0:1.2,433,615
'0:0:1.25,396,610
'0:0:1.3,372,607
'0:0:1.35,354,603
'0:0:1.4,356,599
'0:0:1.45,353,596
'0:0:1.5,339,597
'0:0:1.55,329,597
'0:0:1.6,328,596
'0:0:1.65,333,591
'0:0:1.7,335,587
'0:0:1.75,331,585
'0:0:1.8,353,583
'0:0:1.85,426,579
'0:0:1.9,433,573
'0:0:1.95,398,572
'0:0:2.0,377,575
'0:0:2.05,355,580
'0:0:2.1,356,581
'0:0:2.15,357,579
'0:0:2.2,345,577
'0:0:2.25,332,576
'0:0:2.3,329,576
'0:0:2.35,330,576
'0:0:2.4,331,576
'0:0:2.45,330,575
'0:0:2.5,345,575
'0:0:2.55,418,573
'0:0:2.6,439,569
'0:0:2.65,402,567
'0:0:2.7,378,568
'0:0:2.75,355,570
'0:0:2.8,354,571
'0:0:2.85,358,572
'0:0:2.9,347,574
'0:0:2.95,334,575
'0:0:3.0,331,577
'0:0:3.05,330,578
'0:0:3.1,332,578
'0:0:3.15,331,576
'0:0:3.2,337,576
'0:0:3.25,399,576
'0:0:3.3,442,579
'0:0:3.35,415,586
'0:0:3.4,380,598
'0:0:3.45,357,610
'0:0:3.5,350,619
'0:0:3.55,356,626
'0:0:3.6,349,630
'0:0:3.65,336,632
'0:0:3.7,328,631
'0:0:3.75,329,635
'0:0:3.8,332,645
'0:0:3.85,332,658
'0:0:3.9,334,671
'0:0:3.95,387,683
'0:0:4.0,445,693
'0:0:4.05,423,705
'0:0:4.1,383,718
'0:0:4.15,356,733
'0:0:4.2,348,747
'0:0:4.25,360,761
'0:0:4.3,356,772
'0:0:4.35,339,786
'0:0:4.4,328,804
'0:0:4.45,329,824
'0:0:4.5,331,841
'0:0:4.55,332,857
'0:0:4.6,352,871
'0:0:4.65,426,886
'0:0:4.7,437,898
'0:0:4.75,394,913
'0:0:4.8,361,929
'0:0:4.85,344,946
'0:0:4.9,355,962
'0:0:4.95,365,977
'0:0:5.0,349,989
'0:0:5.05,332,1002
'0:0:5.1,330,1015
'0:0:5.15,332,1031
'0:0:5.2,333,1048
'0:0:5.25,357,1072
'0:0:5.3,432,1096
'0:0:5.35,438,1117
'0:0:5.4,398,1135
'0:0:5.45,366,1158
'0:0:5.5,347,1184
'0:0:5.55,356,1221
'0:0:5.6,364,1258
'0:0:5.65,347,1293
'0:0:5.7,335,1314
'0:0:5.75,334,1328
'0:0:5.8,336,1340
'0:0:5.85,338,1359
'0:0:5.9,377,1382
'0:0:5.95,439,1397
'0:0:6.0,425,1399
'0:0:6.05,388,1402
'0:0:6.1,357,1401
'0:0:6.15,347,1392
'0:0:6.2,362,1379
'0:0:6.25,359,1361
'0:0:6.3,342,1353
'0:0:6.35,333,1343
'0:0:6.4,336,1320
'0:0:6.45,336,1283
'0:0:6.5,345,1249
'0:0:6.55,401,1219
'0:0:6.6,446,1191
'0:0:6.65,434,1155
'0:0:6.7,427,1118
'0:0:6.75,443,1079
'0:0:6.8,409,1048
'0:0:6.85,378,1015
'0:0:6.9,338,980
'0:0:6.95,304,942
'0:0:7.0,288,913
'0:0:7.05,291,891
'0:0:7.1,302,874
'0:0:7.15,308,855
'0:0:7.2,346,836
'0:0:7.25,421,809
'0:0:7.3,423,784
'0:0:7.35,386,762
'0:0:7.4,359,748
'0:0:7.45,345,735
'0:0:7.5,355,721
'0:0:7.55,355,705
'0:0:7.6,335,694
'0:0:7.65,323,686
'0:0:7.7,321,679
'0:0:7.75,324,673
'0:0:7.8,325,669
'0:0:7.85,326,666
'0:0:7.9,345,660
'0:0:7.95,420,651
'0:0:8.0,427,644
'0:0:8.05,387,637
'0:0:8.1,358,634
'0:0:8.15,342,631
'0:0:8.2,345,626
'0:0:8.25,350,618
'0:0:8.3,338,611
'0:0:8.35,327,604
'0:0:8.4,323,599
'0:0:8.45,327,599
'0:0:8.5,329,598
'0:0:8.55,330,592
'0:0:8.6,347,583
'0:0:8.65,417,575
'0:0:8.7,423,569
'0:0:8.75,389,565
'0:0:8.8,365,562
'0:0:8.85,347,560
'0:0:8.9,346,559
'0:0:8.95,350,556
'0:0:9.0,342,551
'0:0:9.05,334,547
'0:0:9.1,329,545
'0:0:9.15,329,542
'0:0:9.2,329,540
'0:0:9.25,328,541
'0:0:9.3,333,546
'0:0:9.35,393,551
'0:0:9.4,421,552
'0:0:9.45,391,551
'0:0:9.5,364,553
'0:0:9.55,348,555
'0:0:9.6,343,556
'0:0:9.65,347,553
'0:0:9.7,347,549
'0:0:9.75,346,547
'0:0:9.8,366,546
'0:0:9.85,377,545
'0:0:9.9,378,547
'0:0:9.95,371,551
'0:0:10.0,354,557
'0:0:10.05,323,561
'0:0:10.1,359,558
'0:0:10.15,352,555
'0:0:10.2,336,559
'0:0:10.25,332,563
'0:0:10.3,332,563
'0:0:10.35,342,562
'0:0:10.4,345,564
