,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:12.65,362,704
'0:0:12.7,358,704
'0:0:12.75,364,708
'0:0:12.8,352,716
'0:0:12.85,336,726
'0:0:12.9,326,734
'0:0:12.95,324,739
'0:0:13.0,143,746
'0:0:13.05,246,770
'0:0:13.1,369,802
'0:0:13.15,438,826
'0:0:13.2,408,839
'0:0:13.25,466,849
'0:0:13.3,491,859
'0:0:13.35,436,878
'0:0:13.4,385,899
'0:0:13.45,355,918
'0:0:13.5,352,935
'0:0:13.55,367,952
'0:0:13.6,357,969
'0:0:13.65,337,986
'0:0:13.7,324,999
'0:0:13.75,323,1012
'0:0:13.8,328,1025
'0:0:13.85,331,1044
'0:0:13.9,330,1061
'0:0:13.95,331,1079
'0:0:14.0,287,1093
'0:0:14.05,349,1106
'0:0:14.1,356,1118
'0:0:14.15,475,1125
'0:0:14.2,432,1126
'0:0:14.25,400,1128
'0:0:14.3,395,1131
'0:0:14.35,375,1136
'0:0:14.4,348,1143
'0:0:14.45,333,1149
'0:0:14.5,328,1151
'0:0:14.55,332,1149
'0:0:14.6,332,1146
'0:0:14.65,347,1149
'0:0:14.7,436,1153
'0:0:14.75,461,1151
'0:0:14.8,414,1150
'0:0:14.85,371,1150
'0:0:14.9,346,1149
'0:0:14.95,358,1147
'0:0:15.0,370,1146
'0:0:15.05,191,1147
'0:0:15.1,281,1150
'0:0:15.15,380,1148
'0:0:15.2,432,1140
'0:0:15.25,400,1135
'0:0:15.3,383,1141
'0:0:15.35,450,1150
'0:0:15.4,476,1149
'0:0:15.45,429,1148
'0:0:15.5,384,1147
'0:0:15.55,354,1149
'0:0:15.6,356,1154
'0:0:15.65,368,1153
'0:0:15.7,355,1154
'0:0:15.75,335,1160
'0:0:15.8,325,1164
'0:0:15.85,324,1165
'0:0:15.9,327,1165
'0:0:15.95,334,1168
'0:0:16.0,406,1170
'0:0:16.05,351,1163
'0:0:16.1,289,1151
'0:0:16.15,330,1135
'0:0:16.2,461,1121
'0:0:16.25,434,1107
'0:0:16.3,409,1089
'0:0:16.35,380,1066
'0:0:16.4,348,1046
'0:0:16.45,331,1029
'0:0:16.5,327,1017
'0:0:16.55,330,1005
'0:0:16.6,330,992
'0:0:16.65,340,980
'0:0:16.7,425,968
'0:0:16.75,471,955
'0:0:16.8,432,946
'0:0:16.85,392,941
'0:0:16.9,360,937
'0:0:16.95,354,934
'0:0:17.0,371,933
'0:0:17.05,313,929
'0:0:17.1,156,921
'0:0:17.15,241,906
'0:0:17.2,407,890
'0:0:17.25,451,880
'0:0:17.3,408,879
'0:0:17.35,364,878
'0:0:17.4,359,873
'0:0:17.45,447,856
'0:0:17.5,474,841
'0:0:17.55,426,837
'0:0:17.6,391,841
'0:0:17.65,363,847
'0:0:17.7,357,849
'0:0:17.75,362,846
'0:0:17.8,347,842
'0:0:17.85,331,840
'0:0:17.9,324,839
'0:0:17.95,324,839
'0:0:18.0,327,839
'0:0:18.05,327,839
'0:0:18.1,202,838
'0:0:18.15,152,841
'0:0:18.2,342,844
'0:0:18.25,587,842
'0:0:18.3,542,836
'0:0:18.35,457,833
'0:0:18.4,406,830
'0:0:18.45,372,823
'0:0:18.5,367,813
'0:0:18.55,363,802
'0:0:18.6,346,791
'0:0:18.65,333,780
'0:0:18.7,330,771
'0:0:18.75,329,763
'0:0:18.8,330,755
'0:0:18.85,329,746
'0:0:18.9,326,741
'0:0:18.95,326,737
'0:0:19.0,400,733
'0:0:19.05,470,726
'0:0:19.1,345,722
'0:0:19.15,241,720
'0:0:19.2,253,720
'0:0:19.25,439,721
'0:0:19.3,470,720
'0:0:19.35,423,719
'0:0:19.4,375,718
'0:0:19.45,346,714
'0:0:19.5,335,711
'0:0:19.55,332,708
'0:0:19.6,333,707
'0:0:19.65,335,709
'0:0:19.7,329,710
'0:0:19.75,327,709
'0:0:19.8,391,705
'0:0:19.85,470,701
'0:0:19.9,446,700
'0:0:19.95,395,701
'0:0:20.0,365,701
'0:0:20.05,352,699
'0:0:20.1,362,697
'0:0:20.15,252,695
'0:0:20.2,190,696
'0:0:20.25,307,697
'0:0:20.3,435,696
'0:0:20.35,407,694
'0:0:20.4,373,695
'0:0:20.45,343,695
'0:0:20.5,327,696
'0:0:20.55,338,696
'0:0:20.6,384,695
'0:0:20.65,465,692
'0:0:20.7,452,691
'0:0:20.75,409,694
'0:0:20.8,371,698
'0:0:20.85,355,701
'0:0:20.9,367,703
'0:0:20.95,368,705
'0:0:21.0,345,708
'0:0:21.05,317,708
'0:0:21.1,320,708
'0:0:21.15,201,708
'0:0:21.2,207,710
'0:0:21.25,215,712
'0:0:21.3,421,713
'0:0:21.35,430,715
'0:0:21.4,463,717
'0:0:21.45,512,715
'0:0:21.5,465,716
'0:0:21.55,400,720
'0:0:21.6,361,725
'0:0:21.65,354,732
'0:0:21.7,369,738
'0:0:21.75,366,745
'0:0:21.8,344,751
'0:0:21.85,327,758
'0:0:21.9,321,766
'0:0:21.95,324,775
'0:0:22.0,329,786
'0:0:22.05,333,798
'0:0:22.1,329,810
'0:0:22.15,357,822
'0:0:22.2,321,835
'0:0:22.25,349,855
'0:0:22.3,417,880
'0:0:22.35,474,908
'0:0:22.4,421,932
'0:0:22.45,403,961
'0:0:22.5,392,992
'0:0:22.55,365,1023
'0:0:22.6,338,1049
'0:0:22.65,324,1075
'0:0:22.7,324,1100
'0:0:22.75,329,1128
'0:0:22.8,334,1156
'0:0:22.85,333,1193
'0:0:22.9,364,1231
'0:0:22.95,459,1267
'0:0:23.0,466,1299
'0:0:23.05,406,1339
'0:0:23.1,362,1382
'0:0:23.15,345,1431
'0:0:23.2,232,1469
'0:0:23.25,279,1502
'0:0:23.3,242,1530
'0:0:23.35,420,1560
'0:0:23.4,410,1590
'0:0:23.45,378,1619
'0:0:23.5,359,1644
'0:0:23.55,349,1685
'0:0:23.6,390,1736
'0:0:23.65,466,1781
'0:0:23.7,450,1807
'0:0:23.75,392,1826
