,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,383,859
'0:0:0.05,350,868
'0:0:0.1,337,880
'0:0:0.15,346,897
'0:0:0.2,349,913
'0:0:0.25,339,929
'0:0:0.3,330,942
'0:0:0.35,330,954
'0:0:0.4,334,963
'0:0:0.45,335,976
'0:0:0.5,334,990
'0:0:0.55,363,1001
'0:0:0.6,421,1006
'0:0:0.65,416,1007
'0:0:0.7,387,1006
'0:0:0.75,366,1009
'0:0:0.8,348,1014
'0:0:0.85,353,1022
'0:0:0.9,354,1029
'0:0:0.95,342,1037
'0:0:1.0,332,1043
'0:0:1.05,328,1048
'0:0:1.1,330,1054
'0:0:1.15,331,1060
'0:0:1.2,334,1065
'0:0:1.25,364,1070
'0:0:1.3,423,1073
'0:0:1.35,416,1074
'0:0:1.4,386,1079
'0:0:1.45,366,1092
'0:0:1.5,352,1109
'0:0:1.55,358,1126
'0:0:1.6,360,1136
'0:0:1.65,346,1145
'0:0:1.7,337,1154
'0:0:1.75,335,1162
'0:0:1.8,337,1171
'0:0:1.85,335,1182
'0:0:1.9,338,1190
'0:0:1.95,373,1194
'0:0:2.0,430,1191
'0:0:2.05,415,1188
'0:0:2.1,381,1188
'0:0:2.15,361,1185
'0:0:2.2,348,1178
'0:0:2.25,355,1172
'0:0:2.3,353,1172
'0:0:2.35,337,1183
'0:0:2.4,325,1206
'0:0:2.45,324,1226
'0:0:2.5,330,1235
'0:0:2.55,330,1241
'0:0:2.6,335,1248
'0:0:2.65,372,1254
'0:0:2.7,431,1257
'0:0:2.75,418,1253
'0:0:2.8,386,1251
'0:0:2.85,366,1255
'0:0:2.9,354,1266
'0:0:2.95,362,1277
'0:0:3.0,360,1282
'0:0:3.05,344,1282
'0:0:3.1,333,1279
'0:0:3.15,331,1275
'0:0:3.2,334,1274
'0:0:3.25,335,1276
'0:0:3.3,335,1280
'0:0:3.35,342,1285
'0:0:3.4,405,1285
'0:0:3.45,438,1277
'0:0:3.5,407,1265
'0:0:3.55,378,1251
'0:0:3.6,356,1243
'0:0:3.65,353,1239
'0:0:3.7,361,1236
'0:0:3.75,354,1229
'0:0:3.8,338,1221
'0:0:3.85,328,1209
'0:0:3.9,329,1196
'0:0:3.95,334,1179
'0:0:4.0,335,1157
'0:0:4.05,334,1124
'0:0:4.1,341,1098
'0:0:4.15,411,1073
'0:0:4.2,435,1047
'0:0:4.25,401,1022
'0:0:4.3,367,1001
'0:0:4.35,352,978
'0:0:4.4,353,960
'0:0:4.45,362,943
'0:0:4.5,353,928
'0:0:4.55,341,911
'0:0:4.6,333,896
'0:0:4.65,333,880
'0:0:4.7,335,866
'0:0:4.75,336,852
'0:0:4.8,335,843
'0:0:4.85,328,832
'0:0:4.9,352,820
'0:0:4.95,430,805
'0:0:5.0,432,790
'0:0:5.05,389,778
'0:0:5.1,360,774
'0:0:5.15,344,768
'0:0:5.2,350,763
'0:0:5.25,353,757
'0:0:5.3,341,751
'0:0:5.35,329,744
'0:0:5.4,324,737
'0:0:5.45,326,728
'0:0:5.5,329,722
'0:0:5.55,330,717
'0:0:5.6,330,713
'0:0:5.65,327,708
'0:0:5.7,379,703
'0:0:5.75,444,697
'0:0:5.8,424,690
'0:0:5.85,383,686
'0:0:5.9,363,685
'0:0:5.95,350,682
'0:0:6.0,356,680
'0:0:6.05,354,680
'0:0:6.1,341,681
'0:0:6.15,332,679
'0:0:6.2,331,676
'0:0:6.25,332,675
'0:0:6.3,334,675
'0:0:6.35,334,674
'0:0:6.4,333,673
'0:0:6.45,331,675
'0:0:6.5,378,677
'0:0:6.55,452,678
'0:0:6.6,438,677
'0:0:6.65,394,676
'0:0:6.7,371,677
'0:0:6.75,354,680
'0:0:6.8,357,683
'0:0:6.85,359,685
'0:0:6.9,348,683
'0:0:6.95,336,680
'0:0:7.0,331,677
'0:0:7.05,331,677
'0:0:7.1,333,679
'0:0:7.15,332,681
'0:0:7.2,331,682
'0:0:7.25,334,680
'0:0:7.3,397,675
'0:0:7.35,449,670
'0:0:7.4,419,667
'0:0:7.45,384,666
'0:0:7.5,363,666
'0:0:7.55,353,665
'0:0:7.6,358,664
'0:0:7.65,357,664
'0:0:7.7,343,664
'0:0:7.75,334,663
'0:0:7.8,332,662
'0:0:7.85,335,662
'0:0:7.9,337,665
'0:0:7.95,336,670
'0:0:8.0,334,672
'0:0:8.05,356,670
'0:0:8.1,430,666
'0:0:8.15,439,663
'0:0:8.2,403,665
'0:0:8.25,379,668
'0:0:8.3,361,670
'0:0:8.35,359,670
'0:0:8.4,362,668
'0:0:8.45,350,667
'0:0:8.5,338,671
'0:0:8.55,334,676
'0:0:8.6,336,682
'0:0:8.65,339,688
'0:0:8.7,338,696
'0:0:8.75,336,706
'0:0:8.8,341,712
'0:0:8.85,407,717
'0:0:8.9,438,720
'0:0:8.95,407,727
'0:0:9.0,381,735
'0:0:9.05,363,744
'0:0:9.1,356,754
'0:0:9.15,360,764
'0:0:9.2,354,773
'0:0:9.25,340,783
'0:0:9.3,334,791
'0:0:9.35,335,799
'0:0:9.4,338,807
'0:0:9.45,335,817
'0:0:9.5,334,828
'0:0:9.55,359,841
'0:0:9.6,430,851
'0:0:9.65,432,860
'0:0:9.7,396,869
'0:0:9.75,372,882
'0:0:9.8,355,895
'0:0:9.85,359,908
'0:0:9.9,361,917
'0:0:9.95,346,927
'0:0:10.0,337,936
'0:0:10.05,335,945
'0:0:10.1,337,953
'0:0:10.15,337,964
'0:0:10.2,338,974
