,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:14.2,5767
'0:0:14.25,5766
'0:0:14.3,5765
'0:0:14.35,5763
'0:0:14.4,5760
'0:0:14.45,5755
'0:0:14.5,5750
'0:0:14.55,5748
'0:0:14.6,5746
'0:0:14.65,5745
'0:0:14.7,5744
'0:0:14.75,5744
'0:0:14.8,5743
'0:0:14.85,5742
'0:0:14.9,5744
'0:0:14.95,5749
'0:0:15.0,5755
'0:0:15.05,5765
'0:0:15.1,5773
'0:0:15.15,5781
'0:0:15.2,5790
'0:0:15.25,5802
'0:0:15.3,5811
'0:0:15.35,5820
'0:0:15.4,5830
'0:0:15.45,5843
'0:0:15.5,5856
'0:0:15.55,5870
'0:0:15.6,5886
'0:0:15.65,5903
'0:0:15.7,5919
'0:0:15.75,5936
'0:0:15.8,5946
'0:0:15.85,5953
'0:0:15.9,5962
'0:0:15.95,5971
'0:0:16.0,5975
'0:0:16.05,5977
'0:0:16.1,5977
'0:0:16.15,5973
'0:0:16.2,5970
'0:0:16.25,5968
'0:0:16.3,5965
'0:0:16.35,5962
'0:0:16.4,5958
'0:0:16.45,5946
'0:0:16.5,5933
'0:0:16.55,5922
'0:0:16.6,5910
'0:0:16.65,5895
'0:0:16.7,5881
'0:0:16.75,5869
'0:0:16.8,5860
'0:0:16.85,5851
'0:0:16.9,5844
'0:0:16.95,5839
'0:0:17.0,5833
'0:0:17.05,5826
'0:0:17.1,5817
'0:0:17.15,5806
'0:0:17.2,5799
'0:0:17.25,5792
'0:0:17.3,5784
'0:0:17.35,5775
'0:0:17.4,5768
'0:0:17.45,5764
'0:0:17.5,5763
'0:0:17.55,5762
'0:0:17.6,5763
'0:0:17.65,5762
'0:0:17.7,5761
'0:0:17.75,5758
'0:0:17.8,5754
'0:0:17.85,5752
'0:0:17.9,5752
'0:0:17.95,5751
'0:0:18.0,5751
'0:0:18.05,5751
'0:0:18.1,5751
'0:0:18.15,5751
'0:0:18.2,5752
'0:0:18.25,5755
'0:0:18.3,5757
'0:0:18.35,5757
'0:0:18.4,5757
'0:0:18.45,5756
'0:0:18.5,5756
'0:0:18.55,5760
'0:0:18.6,5763
'0:0:18.65,5763
'0:0:18.7,5765
'0:0:18.75,5771
'0:0:18.8,5779
'0:0:18.85,5788
'0:0:18.9,5801
'0:0:18.95,5816
'0:0:19.0,5829
'0:0:19.05,5843
'0:0:19.1,5855
'0:0:19.15,5863
'0:0:19.2,5873
'0:0:19.25,5884
'0:0:19.3,5892
'0:0:19.35,5898
'0:0:19.4,5905
'0:0:19.45,5917
'0:0:19.5,5931
'0:0:19.55,5948
'0:0:19.6,5962
'0:0:19.65,5979
'0:0:19.7,5995
'0:0:19.75,6006
'0:0:19.8,6006
'0:0:19.85,5999
'0:0:19.9,5989
'0:0:19.95,5975
'0:0:20.0,5961
'0:0:20.05,5949
'0:0:20.1,5941
'0:0:20.15,5935
'0:0:20.2,5931
'0:0:20.25,5927
'0:0:20.3,5922
'0:0:20.35,5914
'0:0:20.4,5901
'0:0:20.45,5887
'0:0:20.5,5876
'0:0:20.55,5862
'0:0:20.6,5850
'0:0:20.65,5837
'0:0:20.7,5828
'0:0:20.75,5821
'0:0:20.8,5816
'0:0:20.85,5812
'0:0:20.9,5807
'0:0:20.95,5800
'0:0:21.0,5792
'0:0:21.05,5782
'0:0:21.1,5777
'0:0:21.15,5774
'0:0:21.2,5770
'0:0:21.25,5764
'0:0:21.3,5760
'0:0:21.35,5758
'0:0:21.4,5757
'0:0:21.45,5757
'0:0:21.5,5757
'0:0:21.55,5758
'0:0:21.6,5757
'0:0:21.65,5755
'0:0:21.7,5753
'0:0:21.75,5751
'0:0:21.8,5751
'0:0:21.85,5751
'0:0:21.9,5750
'0:0:21.95,5750
'0:0:22.0,5750
'0:0:22.05,5751
'0:0:22.1,5752
'0:0:22.15,5755
'0:0:22.2,5761
'0:0:22.25,5765
'0:0:22.3,5770
'0:0:22.35,5775
'0:0:22.4,5778
'0:0:22.45,5784
'0:0:22.5,5791
'0:0:22.55,5798
'0:0:22.6,5804
'0:0:22.65,5811
'0:0:22.7,5819
'0:0:22.75,5830
'0:0:22.8,5843
'0:0:22.85,5861
'0:0:22.9,5878
'0:0:22.95,5894
'0:0:23.0,5908
'0:0:23.05,5917
'0:0:23.1,5921
'0:0:23.15,5930
'0:0:23.2,5942
'0:0:23.25,5950
'0:0:23.3,5951
'0:0:23.35,5948
'0:0:23.4,5944
'0:0:23.45,5939
'0:0:23.5,5938
'0:0:23.55,5935
'0:0:23.6,5931
'0:0:23.65,5928
'0:0:23.7,5923
'0:0:23.75,5913
'0:0:23.8,5906
'0:0:23.85,5900
'0:0:23.9,5891
'0:0:23.95,5880
'0:0:24.0,5867
'0:0:24.05,5855
'0:0:24.1,5846
'0:0:24.15,5835
'0:0:24.2,5827
'0:0:24.25,5820
'0:0:24.3,5812
'0:0:24.35,5805
'0:0:24.4,5796
'0:0:24.45,5785
'0:0:24.5,5779
'0:0:24.55,5774
'0:0:24.6,5768
'0:0:24.65,5762
'0:0:24.7,5757
'0:0:24.75,5753
'0:0:24.8,5751
'0:0:24.85,5750
'0:0:24.9,5750
'0:0:24.95,5751
'0:0:25.0,5751
'0:0:25.05,5750
'0:0:25.1,5748
'0:0:25.15,5745
'0:0:25.2,5744
'0:0:25.25,5743
'0:0:25.3,5743
'0:0:25.35,5744
'0:0:25.4,5744
'0:0:25.45,5744
'0:0:25.5,5745
'0:0:25.55,5747
'0:0:25.6,5752
'0:0:25.65,5758
'0:0:25.7,5765
'0:0:25.75,5772
'0:0:25.8,5776
'0:0:25.85,5781
'0:0:25.9,5788
'0:0:25.95,5796
'0:0:26.0,5802
'0:0:26.05,5808
'0:0:26.1,5818
'0:0:26.15,5830
'0:0:26.2,5842
'0:0:26.25,5856
'0:0:26.3,5867
'0:0:26.35,5878
'0:0:26.4,5889
'0:0:26.45,5898
'0:0:26.5,5904
'0:0:26.55,5914
'0:0:26.6,5925
'0:0:26.65,5932
'0:0:26.7,5936
'0:0:26.75,5940
'0:0:26.8,5943
'0:0:26.85,5945
'0:0:26.9,5946
'0:0:26.95,5946
'0:0:27.0,5944
'0:0:27.05,5939
'0:0:27.1,5929
'0:0:27.15,5917
'0:0:27.2,5907
'0:0:27.25,5898
'0:0:27.3,5886
'0:0:27.35,5869
'0:0:27.4,5857
'0:0:27.45,5849
'0:0:27.5,5842
