,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:12.6,353,1121
'0:0:12.65,358,1119
'0:0:12.7,358,1115
'0:0:12.75,356,1102
'0:0:12.8,356,1086
'0:0:12.85,358,1067
'0:0:12.9,371,1044
'0:0:12.95,378,1011
'0:0:13.0,377,980
'0:0:13.05,371,955
'0:0:13.1,367,939
'0:0:13.15,371,925
'0:0:13.2,367,914
'0:0:13.25,364,900
'0:0:13.3,360,888
'0:0:13.35,358,880
'0:0:13.4,370,874
'0:0:13.45,377,867
'0:0:13.5,370,863
'0:0:13.55,363,859
'0:0:13.6,366,847
'0:0:13.65,371,834
'0:0:13.7,369,828
'0:0:13.75,362,814
'0:0:13.8,356,800
'0:0:13.85,354,793
'0:0:13.9,364,785
'0:0:13.95,367,779
'0:0:14.0,361,776
'0:0:14.05,356,774
'0:0:14.1,357,770
'0:0:14.15,363,765
'0:0:14.2,361,760
'0:0:14.25,358,750
'0:0:14.3,358,741
'0:0:14.35,354,736
'0:0:14.4,365,731
'0:0:14.45,371,727
'0:0:14.5,363,729
'0:0:14.55,359,726
'0:0:14.6,359,721
'0:0:14.65,365,717
'0:0:14.7,361,714
'0:0:14.75,356,708
'0:0:14.8,354,702
'0:0:14.85,353,701
'0:0:14.9,360,698
'0:0:14.95,361,697
'0:0:15.0,357,697
'0:0:15.05,353,696
'0:0:15.1,357,695
'0:0:15.15,360,695
'0:0:15.2,354,695
'0:0:15.25,353,692
'0:0:15.3,354,691
'0:0:15.35,353,697
'0:0:15.4,367,704
'0:0:15.45,371,714
'0:0:15.5,363,728
'0:0:15.55,357,738
'0:0:15.6,356,743
'0:0:15.65,367,754
'0:0:15.7,369,767
'0:0:15.75,362,771
'0:0:15.8,360,769
'0:0:15.85,357,778
'0:0:15.9,361,790
'0:0:15.95,366,805
'0:0:16.0,361,820
'0:0:16.05,352,839
'0:0:16.1,354,861
'0:0:16.15,362,889
'0:0:16.2,361,919
'0:0:16.25,358,948
'0:0:16.3,355,968
'0:0:16.35,351,988
'0:0:16.4,357,1005
'0:0:16.45,367,1022
'0:0:16.5,363,1035
'0:0:16.55,354,1049
'0:0:16.6,353,1065
'0:0:16.65,359,1082
'0:0:16.7,360,1096
'0:0:16.75,360,1108
'0:0:16.8,357,1118
'0:0:16.85,357,1133
'0:0:16.9,362,1150
'0:0:16.95,366,1165
'0:0:17.0,364,1173
'0:0:17.05,358,1179
'0:0:17.1,354,1185
'0:0:17.15,361,1193
'0:0:17.2,361,1196
'0:0:17.25,359,1198
'0:0:17.3,357,1199
'0:0:17.35,356,1212
'0:0:17.4,364,1229
'0:0:17.45,371,1237
'0:0:17.5,366,1234
'0:0:17.55,357,1231
'0:0:17.6,355,1232
'0:0:17.65,360,1235
'0:0:17.7,360,1230
'0:0:17.75,357,1221
'0:0:17.8,357,1211
'0:0:17.85,358,1206
'0:0:17.9,369,1204
'0:0:17.95,368,1185
'0:0:18.0,360,1160
'0:0:18.05,356,1132
'0:0:18.1,361,1109
'0:0:18.15,368,1083
'0:0:18.2,368,1053
'0:0:18.25,365,1024
'0:0:18.3,359,999
'0:0:18.35,362,976
'0:0:18.4,372,959
'0:0:18.45,366,939
'0:0:18.5,356,927
'0:0:18.55,352,917
'0:0:18.6,357,908
'0:0:18.65,357,903
'0:0:18.7,357,893
'0:0:18.75,358,880
'0:0:18.8,359,871
'0:0:18.85,368,861
'0:0:18.9,376,855
'0:0:18.95,369,851
'0:0:19.0,366,849
'0:0:19.05,367,849
'0:0:19.1,367,844
'0:0:19.15,363,831
'0:0:19.2,354,812
'0:0:19.25,348,794
'0:0:19.3,350,782
'0:0:19.35,365,770
'0:0:19.4,373,762
'0:0:19.45,366,758
'0:0:19.5,358,751
'0:0:19.55,358,743
'0:0:19.6,359,735
'0:0:19.65,359,726
'0:0:19.7,359,716
'0:0:19.75,363,706
'0:0:19.8,367,702
'0:0:19.85,379,696
'0:0:19.9,375,693
'0:0:19.95,362,691
'0:0:20.0,358,687
'0:0:20.05,363,681
'0:0:20.1,363,678
'0:0:20.15,359,674
'0:0:20.2,356,668
'0:0:20.25,353,664
'0:0:20.3,356,664
'0:0:20.35,370,665
'0:0:20.4,373,668
'0:0:20.45,366,672
'0:0:20.5,366,673
'0:0:20.55,371,671
'0:0:20.6,366,670
'0:0:20.65,362,670
'0:0:20.7,353,667
'0:0:20.75,347,666
'0:0:20.8,348,670
'0:0:20.85,362,676
'0:0:20.9,363,684
'0:0:20.95,357,692
'0:0:21.0,360,695
'0:0:21.05,364,695
'0:0:21.1,366,695
'0:0:21.15,361,693
'0:0:21.2,359,688
'0:0:21.25,358,684
'0:0:21.3,360,685
'0:0:21.35,377,684
'0:0:21.4,376,687
'0:0:21.45,365,696
'0:0:21.5,359,703
'0:0:21.55,359,709
'0:0:21.6,362,718
'0:0:21.65,354,730
'0:0:21.7,349,738
'0:0:21.75,348,746
'0:0:21.8,347,762
'0:0:21.85,358,780
'0:0:21.9,361,797
'0:0:21.95,351,816
'0:0:22.0,346,832
'0:0:22.05,347,851
'0:0:22.1,353,870
'0:0:22.15,351,889
'0:0:22.2,349,902
'0:0:22.25,349,916
'0:0:22.3,349,937
'0:0:22.35,361,959
'0:0:22.4,369,979
'0:0:22.45,363,999
'0:0:22.5,354,1016
'0:0:22.55,355,1038
'0:0:22.6,361,1058
'0:0:22.65,356,1076
'0:0:22.7,353,1091
'0:0:22.75,349,1101
'0:0:22.8,347,1116
'0:0:22.85,360,1136
'0:0:22.9,368,1146
'0:0:22.95,357,1153
'0:0:23.0,352,1163
'0:0:23.05,352,1178
'0:0:23.1,358,1191
'0:0:23.15,356,1199
'0:0:23.2,352,1205
'0:0:23.25,353,1208
'0:0:23.3,354,1212
'0:0:23.35,368,1216
'0:0:23.4,371,1208
'0:0:23.45,360,1195
'0:0:23.5,356,1181
'0:0:23.55,360,1166
'0:0:23.6,363,1150
'0:0:23.65,363,1128
'0:0:23.7,364,1109
'0:0:23.75,364,1084
'0:0:23.8,367,1061
'0:0:23.85,380,1041
'0:0:23.9,379,1017
'0:0:23.95,365,991
'0:0:24.0,360,972
'0:0:24.05,364,960
'0:0:24.1,363,951
'0:0:24.15,360,937
'0:0:24.2,358,925
'0:0:24.25,353,913
'0:0:24.3,356,904
'0:0:24.35,368,892
'0:0:24.4,364,884
'0:0:24.45,360,879
'0:0:24.5,360,868
'0:0:24.55,368,857
'0:0:24.6,371,846
'0:0:24.65,369,830
'0:0:24.7,364,817
'0:0:24.75,358,805
'0:0:24.8,364,799
'0:0:24.85,370,795
'0:0:24.9,361,790
'0:0:24.95,349,783
'0:0:25.0,355,772
'0:0:25.05,365,760
'0:0:25.1,367,751
'0:0:25.15,367,739
'0:0:25.2,369,727
'0:0:25.25,368,717
'0:0:25.3,379,708
'0:0:25.35,384,701
'0:0:25.4,376,699
'0:0:25.45,369,694
'0:0:25.5,369,686
'0:0:25.55,373,681
'0:0:25.6,369,678
'0:0:25.65,358,674
'0:0:25.7,355,670
'0:0:25.75,348,668
'0:0:25.8,354,668
'0:0:25.85,361,668
'0:0:25.9,355,671
'0:0:25.95,348,671
'0:0:26.0,355,669
'0:0:26.05,363,667
'0:0:26.1,359,665
'0:0:26.15,355,661
'0:0:26.2,353,657
'0:0:26.25,357,657
'0:0:26.3,368,659
'0:0:26.35,374,663
'0:0:26.4,366,670
'0:0:26.45,357,675
'0:0:26.5,357,678
'0:0:26.55,361,686
'0:0:26.6,363,694
'0:0:26.65,361,696
'0:0:26.7,357,696
'0:0:26.75,357,704
'0:0:26.8,363,712
'0:0:26.85,371,723
'0:0:26.9,366,735
'0:0:26.95,357,746
'0:0:27.0,362,753
'0:0:27.05,368,761
'0:0:27.1,366,770
'0:0:27.15,360,776
'0:0:27.2,354,783
'0:0:27.25,346,797
'0:0:27.3,351,814
'0:0:27.35,359,833
'0:0:27.4,355,849
'0:0:27.45,350,865
'0:0:27.5,351,884
'0:0:27.55,358,908
'0:0:27.6,359,932
'0:0:27.65,353,955
'0:0:27.7,347,976
'0:0:27.75,347,1005
'0:0:27.8,351,1032
'0:0:27.85,361,1057
'0:0:27.9,357,1073
'0:0:27.95,345,1091
'0:0:28.0,346,1110
'0:0:28.05,351,1129
'0:0:28.1,353,1145
'0:0:28.15,349,1159
'0:0:28.2,350,1171
'0:0:28.25,351,1187
'0:0:28.3,359,1204
'0:0:28.35,369,1216
'0:0:28.4,364,1220
'0:0:28.45,355,1223
'0:0:28.5,354,1230
'0:0:28.55,360,1238
'0:0:28.6,362,1240
'0:0:28.65,361,1238
'0:0:28.7,359,1232
'0:0:28.75,358,1229
'0:0:28.8,368,1227
'0:0:28.85,375,1214
'0:0:28.9,369,1194
'0:0:28.95,359,1175
'0:0:29.0,367,1163
'0:0:29.05,371,1148
'0:0:29.1,363,1130
'0:0:29.15,357,1108
'0:0:29.2,352,1079
'0:0:29.25,353,1053
'0:0:29.3,370,1032
'0:0:29.35,377,1007
'0:0:29.4,370,987
'0:0:29.45,362,966
'0:0:29.5,362,955
'0:0:29.55,366,945
'0:0:29.6,366,933
'0:0:29.65,367,914
'0:0:29.7,368,901
'0:0:29.75,369,893
'0:0:29.8,379,882
'0:0:29.85,376,870
'0:0:29.9,362,862
'0:0:29.95,355,849
'0:0:30.0,365,838
'0:0:30.05,371,829
'0:0:30.1,369,819
'0:0:30.15,363,805
'0:0:30.2,354,793
'0:0:30.25,351,782
'0:0:30.3,364,771
'0:0:30.35,363,764
'0:0:30.4,359,760
'0:0:30.45,363,750
'0:0:30.5,366,739
'0:0:30.55,366,732
'0:0:30.6,360,723
'0:0:30.65,355,709
'0:0:30.7,357,699
'0:0:30.75,363,692
'0:0:30.8,372,688
'0:0:30.85,370,689
'0:0:30.9,360,691
'0:0:30.95,353,691
'0:0:31.0,355,690
'0:0:31.05,355,689
'0:0:31.1,352,688
'0:0:31.15,353,683
'0:0:31.2,355,680
'0:0:31.25,364,678
'0:0:31.3,372,677
'0:0:31.35,367,680
'0:0:31.4,360,683
'0:0:31.45,363,683
'0:0:31.5,373,681
'0:0:31.55,376,681
'0:0:31.6,373,678
'0:0:31.65,369,672
'0:0:31.7,364,669
'0:0:31.75,366,668
'0:0:31.8,372,668
'0:0:31.85,362,670
'0:0:31.9,352,671
'0:0:31.95,350,673
'0:0:32.0,356,676
'0:0:32.05,358,682
'0:0:32.1,354,684
'0:0:32.15,354,686
'0:0:32.2,351,695
'0:0:32.25,359,702
'0:0:32.3,373,708
'0:0:32.35,372,721
'0:0:32.4,364,733
'0:0:32.45,358,749
'0:0:32.5,360,767
'0:0:32.55,357,784
'0:0:32.6,352,796
'0:0:32.65,353,810
'0:0:32.7,353,826
