,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,282,1503
'0:0:0.05,268,1504
'0:0:0.1,271,1503
'0:0:0.15,280,1502
'0:0:0.2,266,1503
'0:0:0.25,286,1505
'0:0:0.3,291,1509
'0:0:0.35,291,1510
'0:0:0.4,292,1510
'0:0:0.45,340,1508
'0:0:0.5,511,1503
'0:0:0.55,533,1494
'0:0:0.6,442,1489
'0:0:0.65,403,1485
'0:0:0.7,370,1482
'0:0:0.75,364,1483
'0:0:0.8,347,1488
'0:0:0.85,313,1493
'0:0:0.9,288,1500
'0:0:0.95,273,1509
'0:0:1.0,267,1511
'0:0:1.05,293,1510
'0:0:1.1,301,1509
'0:0:1.15,311,1506
'0:0:1.2,315,1499
'0:0:1.25,312,1492
'0:0:1.3,302,1486
'0:0:1.35,291,1481
'0:0:1.4,281,1480
'0:0:1.45,410,1483
'0:0:1.5,530,1478
'0:0:1.55,486,1464
'0:0:1.6,403,1453
'0:0:1.65,352,1448
'0:0:1.7,344,1454
'0:0:1.75,349,1468
'0:0:1.8,328,1485
'0:0:1.85,306,1506
'0:0:1.9,297,1526
'0:0:1.95,300,1548
'0:0:2.0,296,1568
'0:0:2.05,292,1590
'0:0:2.1,292,1610
'0:0:2.15,293,1632
'0:0:2.2,295,1652
'0:0:2.25,297,1670
'0:0:2.3,290,1688
'0:0:2.35,371,1710
'0:0:2.4,497,1731
'0:0:2.45,484,1752
'0:0:2.5,405,1772
'0:0:2.55,348,1798
'0:0:2.6,338,1823
'0:0:2.65,355,1848
'0:0:2.7,346,1869
'0:0:2.75,319,1889
'0:0:2.8,304,1906
'0:0:2.85,305,1925
'0:0:2.9,306,1943
'0:0:2.95,309,1958
'0:0:3.0,307,1969
'0:0:3.05,305,1984
'0:0:3.1,355,1999
'0:0:3.15,470,2011
'0:0:3.2,471,2018
'0:0:3.25,406,2026
'0:0:3.3,344,2036
'0:0:3.35,333,2053
'0:0:3.4,358,2069
'0:0:3.45,349,2083
'0:0:3.5,325,2095
'0:0:3.55,309,2108
'0:0:3.6,301,2111
'0:0:3.65,306,2102
'0:0:3.7,303,2098
'0:0:3.75,306,2109
'0:0:3.8,403,2121
'0:0:3.85,481,2125
'0:0:3.9,447,2118
'0:0:3.95,374,2092
'0:0:4.0,330,2052
'0:0:4.05,352,2004
'0:0:4.1,366,1961
'0:0:4.15,338,1918
'0:0:4.2,312,1883
'0:0:4.25,307,1845
'0:0:4.3,305,1814
'0:0:4.35,303,1783
'0:0:4.4,320,1760
'0:0:4.45,430,1735
'0:0:4.5,473,1712
'0:0:4.55,421,1689
'0:0:4.6,353,1667
'0:0:4.65,330,1648
'0:0:4.7,350,1635
'0:0:4.75,349,1622
'0:0:4.8,318,1611
'0:0:4.85,299,1600
'0:0:4.9,302,1590
'0:0:4.95,303,1577
'0:0:5.0,304,1570
'0:0:5.05,395,1574
'0:0:5.1,475,1581
'0:0:5.15,441,1583
'0:0:5.2,372,1577
'0:0:5.25,332,1566
'0:0:5.3,348,1564
'0:0:5.35,354,1566
'0:0:5.4,332,1562
'0:0:5.45,314,1552
'0:0:5.5,307,1543
'0:0:5.55,309,1535
'0:0:5.6,308,1531
'0:0:5.65,322,1528
'0:0:5.7,442,1528
'0:0:5.75,493,1525
'0:0:5.8,425,1521
'0:0:5.85,355,1521
'0:0:5.9,339,1525
'0:0:5.95,363,1536
'0:0:6.0,351,1547
'0:0:6.05,329,1555
'0:0:6.1,317,1555
'0:0:6.15,298,1545
'0:0:6.2,301,1522
'0:0:6.25,295,1485
'0:0:6.3,311,1458
'0:0:6.35,425,1444
'0:0:6.4,463,1437
'0:0:6.45,393,1434
'0:0:6.5,333,1439
'0:0:6.55,318,1450
'0:0:6.6,350,1464
'0:0:6.65,342,1483
'0:0:6.7,319,1500
'0:0:6.75,299,1522
'0:0:6.8,304,1543
'0:0:6.85,300,1564
'0:0:6.9,304,1585
'0:0:6.95,298,1617
'0:0:7.0,406,1647
'0:0:7.05,470,1675
'0:0:7.1,421,1698
'0:0:7.15,336,1722
'0:0:7.2,306,1746
'0:0:7.25,344,1774
'0:0:7.3,357,1797
'0:0:7.35,330,1821
'0:0:7.4,302,1845
'0:0:7.45,295,1870
'0:0:7.5,297,1892
'0:0:7.55,305,1915
'0:0:7.6,368,1939
'0:0:7.65,485,1964
'0:0:7.7,479,1984
'0:0:7.75,392,2001
'0:0:7.8,322,2015
'0:0:7.85,332,2036
'0:0:7.9,358,2056
'0:0:7.95,352,2076
'0:0:8.0,308,2093
'0:0:8.05,303,2108
'0:0:8.1,298,2120
'0:0:8.15,302,2132
'0:0:8.2,339,2145
'0:0:8.25,464,2157
'0:0:8.3,468,2164
'0:0:8.35,403,2173
'0:0:8.4,330,2184
'0:0:8.45,340,2199
'0:0:8.5,357,2211
'0:0:8.55,354,2224
'0:0:8.6,328,2233
'0:0:8.65,319,2238
'0:0:8.7,304,2236
'0:0:8.75,302,2218
'0:0:8.8,348,2193
'0:0:8.85,458,2162
'0:0:8.9,454,2134
'0:0:8.95,391,2103
'0:0:9.0,326,2070
'0:0:9.05,343,2030
'0:0:9.1,368,1995
'0:0:9.15,357,1966
'0:0:9.2,327,1950
'0:0:9.25,304,1934
'0:0:9.3,302,1911
'0:0:9.35,304,1887
'0:0:9.4,393,1866
'0:0:9.45,459,1843
'0:0:9.5,405,1820
'0:0:9.55,319,1797
'0:0:9.6,286,1779
'0:0:9.65,324,1762
'0:0:9.7,344,1744
