,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,2347
'0:0:0.05,2346
'0:0:0.1,2335
'0:0:0.15,2318
'0:0:0.2,2306
'0:0:0.25,2307
'0:0:0.3,2305
'0:0:0.35,2299
'0:0:0.4,2297
'0:0:0.45,2309
'0:0:0.5,2336
'0:0:0.55,2370
'0:0:0.6,2413
'0:0:0.65,2455
'0:0:0.7,2492
'0:0:0.75,2507
'0:0:0.8,2506
'0:0:0.85,2499
'0:0:0.9,2495
'0:0:0.95,2497
'0:0:1.0,2465
'0:0:1.05,2430
'0:0:1.1,2441
'0:0:1.15,2479
'0:0:1.2,2514
'0:0:1.25,2533
'0:0:1.3,2559
'0:0:1.35,2586
'0:0:1.4,2603
'0:0:1.45,2609
'0:0:1.5,2637
'0:0:1.55,2694
'0:0:1.6,2745
'0:0:1.65,2746
'0:0:1.7,2733
'0:0:1.75,2745
'0:0:1.8,2786
'0:0:1.85,2823
'0:0:1.9,2849
'0:0:1.95,2877
'0:0:2.0,2911
'0:0:2.05,2932
'0:0:2.1,2961
'0:0:2.15,2963
'0:0:2.2,2848
'0:0:2.25,2739
'0:0:2.3,2744
'0:0:2.35,2765
'0:0:2.4,2727
'0:0:2.45,2661
'0:0:2.5,2613
'0:0:2.55,2595
'0:0:2.6,2595
'0:0:2.65,2625
'0:0:2.7,2548
'0:0:2.75,2474
'0:0:2.8,2543
'0:0:2.85,2560
'0:0:2.9,2499
'0:0:2.95,2465
'0:0:3.0,2476
'0:0:3.05,2498
'0:0:3.1,2509
'0:0:3.15,2531
'0:0:3.2,2560
'0:0:3.25,2499
'0:0:3.3,2396
'0:0:3.35,2376
'0:0:3.4,2396
'0:0:3.45,2393
'0:0:3.5,2343
'0:0:3.55,2309
'0:0:3.6,2325
'0:0:3.65,2345
'0:0:3.7,2365
'0:0:3.75,2345
'0:0:3.8,2266
'0:0:3.85,2232
'0:0:3.9,2268
'0:0:3.95,2314
'0:0:4.0,2334
'0:0:4.05,2338
'0:0:4.1,2366
'0:0:4.15,2412
'0:0:4.2,2452
'0:0:4.25,2498
'0:0:4.3,2534
'0:0:4.35,2526
'0:0:4.4,2571
'0:0:4.45,2658
'0:0:4.5,2683
'0:0:4.55,2625
'0:0:4.6,2581
'0:0:4.65,2599
'0:0:4.7,2641
'0:0:4.75,2711
'0:0:4.8,2695
'0:0:4.85,2602
'0:0:4.9,2593
'0:0:4.95,2647
'0:0:5.0,2700
'0:0:5.05,2715
'0:0:5.1,2702
'0:0:5.15,2685
'0:0:5.2,2670
'0:0:5.25,2666
'0:0:5.3,2667
'0:0:5.35,2652
'0:0:5.4,2604
'0:0:5.45,2572
'0:0:5.5,2611
'0:0:5.55,2649
'0:0:5.6,2645
'0:0:5.65,2679
'0:0:5.7,2747
'0:0:5.75,2843
'0:0:5.8,3001
'0:0:5.85,2962
'0:0:5.9,2775
'0:0:5.95,2745
'0:0:6.0,2791
'0:0:6.05,2771
'0:0:6.1,2688
'0:0:6.15,2624
'0:0:6.2,2578
'0:0:6.25,2565
'0:0:6.3,2559
'0:0:6.35,2480
'0:0:6.4,2373
'0:0:6.45,2377
'0:0:6.5,2445
'0:0:6.55,2473
'0:0:6.6,2449
'0:0:6.65,2419
'0:0:6.7,2405
'0:0:6.75,2407
'0:0:6.8,2447
'0:0:6.85,2498
'0:0:6.9,2486
'0:0:6.95,2491
'0:0:7.0,2554
'0:0:7.05,2580
'0:0:7.1,2595
'0:0:7.15,2617
'0:0:7.2,2646
'0:0:7.25,2661
'0:0:7.3,2669
'0:0:7.35,2674
'0:0:7.4,2638
'0:0:7.45,2637
'0:0:7.5,2700
'0:0:7.55,2735
'0:0:7.6,2748
'0:0:7.65,2760
'0:0:7.7,2774
'0:0:7.75,2778
'0:0:7.8,2807
'0:0:7.85,2867
'0:0:7.9,2844
'0:0:7.95,2753
'0:0:8.0,2705
'0:0:8.05,2688
'0:0:8.1,2678
'0:0:8.15,2656
'0:0:8.2,2618
'0:0:8.25,2595
'0:0:8.3,2587
'0:0:8.35,2596
'0:0:8.4,2580
'0:0:8.45,2513
'0:0:8.5,2514
'0:0:8.55,2589
'0:0:8.6,2569
'0:0:8.65,2488
'0:0:8.7,2443
'0:0:8.75,2460
'0:0:8.8,2528
'0:0:8.85,2533
'0:0:8.9,2413
'0:0:8.95,2367
'0:0:9.0,2436
'0:0:9.05,2466
'0:0:9.1,2429
'0:0:9.15,2387
'0:0:9.2,2388
'0:0:9.25,2437
'0:0:9.3,2516
'0:0:9.35,2495
'0:0:9.4,2415
'0:0:9.45,2442
'0:0:9.5,2498
'0:0:9.55,2474
'0:0:9.6,2414
'0:0:9.65,2390
'0:0:9.7,2434
'0:0:9.75,2457
'0:0:9.8,2360
'0:0:9.85,2304
'0:0:9.9,2387
'0:0:9.95,2444
'0:0:10.0,2411
'0:0:10.05,2396
'0:0:10.1,2446
'0:0:10.15,2502
'0:0:10.2,2497
'0:0:10.25,2456
'0:0:10.3,2490
'0:0:10.35,2590
'0:0:10.4,2661
'0:0:10.45,2675
'0:0:10.5,2706
'0:0:10.55,2766
'0:0:10.6,2826
'0:0:10.65,2798
'0:0:10.7,2739
'0:0:10.75,2756
'0:0:10.8,2832
'0:0:10.85,2877
'0:0:10.9,2849
'0:0:10.95,2819
'0:0:11.0,2811
'0:0:11.05,2812
'0:0:11.1,2820
'0:0:11.15,2829
'0:0:11.2,2834
'0:0:11.25,2826
'0:0:11.3,2798
'0:0:11.35,2776
'0:0:11.4,2760
'0:0:11.45,2748
'0:0:11.5,2769
'0:0:11.55,2807
'0:0:11.6,2736
'0:0:11.65,2634
'0:0:11.7,2630
'0:0:11.75,2643
'0:0:11.8,2603
'0:0:11.85,2548
'0:0:11.9,2496
'0:0:11.95,2468
'0:0:12.0,2460
'0:0:12.05,2403
'0:0:12.1,2298
'0:0:12.15,2257
'0:0:12.2,2244
'0:0:12.25,2231
'0:0:12.3,2222
'0:0:12.35,2216
'0:0:12.4,2253
'0:0:12.45,2289
'0:0:12.5,2277
'0:0:12.55,2269
'0:0:12.6,2302
'0:0:12.65,2357
'0:0:12.7,2386
'0:0:12.75,2382
'0:0:12.8,2396
'0:0:12.85,2417
'0:0:12.9,2417
'0:0:12.95,2368
'0:0:13.0,2355
'0:0:13.05,2442
'0:0:13.1,2559
'0:0:13.15,2609
'0:0:13.2,2638
'0:0:13.25,2716
'0:0:13.3,2850
'0:0:13.35,2939
'0:0:13.4,2939
'0:0:13.45,2935
'0:0:13.5,2986
'0:0:13.55,3029
'0:0:13.6,3010
'0:0:13.65,2973
'0:0:13.7,2900
'0:0:13.75,2746
'0:0:13.8,2582
'0:0:13.85,2484
'0:0:13.9,2412
'0:0:13.95,2398
'0:0:14.0,2430
'0:0:14.05,2451
'0:0:14.1,2443
'0:0:14.15,2424
'0:0:14.2,2410
'0:0:14.25,2417
'0:0:14.3,2442
'0:0:14.35,2413
'0:0:14.4,2378
'0:0:14.45,2401
'0:0:14.5,2426
'0:0:14.55,2432
'0:0:14.6,2406
'0:0:14.65,2383
'0:0:14.7,2387
'0:0:14.75,2401
'0:0:14.8,2380
'0:0:14.85,2295
'0:0:14.9,2253
'0:0:14.95,2289
'0:0:15.0,2307
'0:0:15.05,2303
'0:0:15.1,2304
'0:0:15.15,2338
'0:0:15.2,2404
'0:0:15.25,2412
'0:0:15.3,2321
'0:0:15.35,2299
'0:0:15.4,2361
'0:0:15.45,2341
'0:0:15.5,2256
'0:0:15.55,2215
'0:0:15.6,2231
'0:0:15.65,2286
'0:0:15.7,2319
'0:0:15.75,2268
'0:0:15.8,2210
'0:0:15.85,2255
'0:0:15.9,2327
'0:0:15.95,2356
'0:0:16.0,2376
'0:0:16.05,2399
'0:0:16.1,2440
'0:0:16.15,2502
'0:0:16.2,2519
'0:0:16.25,2490
'0:0:16.3,2519
'0:0:16.35,2591
'0:0:16.4,2672
'0:0:16.45,2714
'0:0:16.5,2740
'0:0:16.55,2766
'0:0:16.6,2760
'0:0:16.65,2715
'0:0:16.7,2659
'0:0:16.75,2665
'0:0:16.8,2717
'0:0:16.85,2740
'0:0:16.9,2736
'0:0:16.95,2728
'0:0:17.0,2713
'0:0:17.05,2721
'0:0:17.1,2779
'0:0:17.15,2777
'0:0:17.2,2716
'0:0:17.25,2704
'0:0:17.3,2719
'0:0:17.35,2692
'0:0:17.4,2625
'0:0:17.45,2583
'0:0:17.5,2550
'0:0:17.55,2501
'0:0:17.6,2425
'0:0:17.65,2370
'0:0:17.7,2369
'0:0:17.75,2373
'0:0:17.8,2353
'0:0:17.85,2344
'0:0:17.9,2367
'0:0:17.95,2421
'0:0:18.0,2442
'0:0:18.05,2359
'0:0:18.1,2297
'0:0:18.15,2335
'0:0:18.2,2354
'0:0:18.25,2333
'0:0:18.3,2312
'0:0:18.35,2315
'0:0:18.4,2327
'0:0:18.45,2323
'0:0:18.5,2261
'0:0:18.55,2203
'0:0:18.6,2231
'0:0:18.65,2265
'0:0:18.7,2244
'0:0:18.75,2222
'0:0:18.8,2232
'0:0:18.85,2277
'0:0:18.9,2348
'0:0:18.95,2327
'0:0:19.0,2276
'0:0:19.05,2310
'0:0:19.1,2352
'0:0:19.15,2348
'0:0:19.2,2298
