,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:14.2,1688
'0:0:14.25,1688
'0:0:14.3,1690
'0:0:14.35,1696
'0:0:14.4,1697
'0:0:14.45,1696
'0:0:14.5,1698
'0:0:14.55,1690
'0:0:14.6,1689
'0:0:14.65,1707
'0:0:14.7,1732
'0:0:14.75,1766
'0:0:14.8,1798
'0:0:14.85,1834
'0:0:14.9,1870
'0:0:14.95,1909
'0:0:15.0,1944
'0:0:15.05,1985
'0:0:15.1,2026
'0:0:15.15,2066
'0:0:15.2,2092
'0:0:15.25,2120
'0:0:15.3,2134
'0:0:15.35,2147
'0:0:15.4,2172
'0:0:15.45,2204
'0:0:15.5,2236
'0:0:15.55,2264
'0:0:15.6,2287
'0:0:15.65,2310
'0:0:15.7,2330
'0:0:15.75,2351
'0:0:15.8,2369
'0:0:15.85,2389
'0:0:15.9,2400
'0:0:15.95,2397
'0:0:16.0,2387
'0:0:16.05,2362
'0:0:16.1,2336
'0:0:16.15,2317
'0:0:16.2,2294
'0:0:16.25,2264
'0:0:16.3,2229
'0:0:16.35,2183
'0:0:16.4,2138
'0:0:16.45,2088
'0:0:16.5,2043
'0:0:16.55,2002
'0:0:16.6,1974
'0:0:16.65,1951
'0:0:16.7,1923
'0:0:16.75,1897
'0:0:16.8,1864
'0:0:16.85,1818
'0:0:16.9,1793
'0:0:16.95,1778
'0:0:17.0,1766
'0:0:17.05,1759
'0:0:17.1,1754
'0:0:17.15,1746
'0:0:17.2,1739
'0:0:17.25,1731
'0:0:17.3,1725
'0:0:17.35,1720
'0:0:17.4,1718
'0:0:17.45,1720
'0:0:17.5,1717
'0:0:17.55,1716
'0:0:17.6,1710
'0:0:17.65,1687
'0:0:17.7,1675
'0:0:17.75,1676
'0:0:17.8,1683
'0:0:17.85,1693
'0:0:17.9,1699
'0:0:17.95,1700
'0:0:18.0,1701
'0:0:18.05,1705
'0:0:18.1,1715
'0:0:18.15,1735
'0:0:18.2,1759
'0:0:18.25,1794
'0:0:18.3,1832
'0:0:18.35,1868
'0:0:18.4,1903
'0:0:18.45,1933
'0:0:18.5,1949
'0:0:18.55,1981
'0:0:18.6,2017
'0:0:18.65,2059
'0:0:18.7,2096
'0:0:18.75,2128
'0:0:18.8,2157
'0:0:18.85,2188
'0:0:18.9,2214
'0:0:18.95,2244
'0:0:19.0,2272
'0:0:19.05,2302
'0:0:19.1,2329
'0:0:19.15,2346
'0:0:19.2,2350
'0:0:19.25,2339
'0:0:19.3,2315
'0:0:19.35,2298
'0:0:19.4,2291
'0:0:19.45,2286
'0:0:19.5,2288
'0:0:19.55,2287
'0:0:19.6,2279
'0:0:19.65,2262
'0:0:19.7,2235
'0:0:19.75,2199
'0:0:19.8,2160
'0:0:19.85,2123
'0:0:19.9,2097
'0:0:19.95,2064
'0:0:20.0,2032
'0:0:20.05,1993
'0:0:20.1,1946
'0:0:20.15,1903
'0:0:20.2,1876
'0:0:20.25,1855
'0:0:20.3,1840
'0:0:20.35,1825
'0:0:20.4,1812
'0:0:20.45,1797
'0:0:20.5,1785
'0:0:20.55,1775
'0:0:20.6,1768
'0:0:20.65,1763
'0:0:20.7,1762
'0:0:20.75,1762
'0:0:20.8,1756
'0:0:20.85,1756
'0:0:20.9,1754
'0:0:20.95,1738
'0:0:21.0,1729
'0:0:21.05,1730
'0:0:21.1,1737
'0:0:21.15,1745
'0:0:21.2,1750
'0:0:21.25,1755
'0:0:21.3,1758
'0:0:21.35,1761
'0:0:21.4,1766
'0:0:21.45,1777
'0:0:21.5,1793
'0:0:21.55,1818
'0:0:21.6,1842
'0:0:21.65,1870
'0:0:21.7,1899
'0:0:21.75,1922
'0:0:21.8,1952
'0:0:21.85,2001
'0:0:21.9,2050
'0:0:21.95,2104
'0:0:22.0,2149
'0:0:22.05,2194
'0:0:22.1,2234
'0:0:22.15,2272
'0:0:22.2,2304
'0:0:22.25,2339
'0:0:22.3,2373
'0:0:22.35,2409
'0:0:22.4,2428
'0:0:22.45,2441
'0:0:22.5,2444
'0:0:22.55,2430
'0:0:22.6,2418
'0:0:22.65,2411
'0:0:22.7,2409
'0:0:22.75,2409
'0:0:22.8,2403
'0:0:22.85,2390
'0:0:22.9,2375
'0:0:22.95,2355
'0:0:23.0,2337
'0:0:23.05,2317
'0:0:23.1,2297
'0:0:23.15,2266
'0:0:23.2,2228
'0:0:23.25,2185
'0:0:23.3,2134
'0:0:23.35,2079
'0:0:23.4,2044
'0:0:23.45,2014
'0:0:23.5,1990
'0:0:23.55,1966
'0:0:23.6,1943
'0:0:23.65,1917
'0:0:23.7,1896
'0:0:23.75,1875
'0:0:23.8,1856
'0:0:23.85,1841
'0:0:23.9,1833
'0:0:23.95,1823
'0:0:24.0,1811
'0:0:24.05,1800
'0:0:24.1,1782
'0:0:24.15,1765
'0:0:24.2,1762
'0:0:24.25,1767
'0:0:24.3,1778
'0:0:24.35,1790
'0:0:24.4,1798
'0:0:24.45,1805
'0:0:24.5,1808
'0:0:24.55,1811
'0:0:24.6,1812
'0:0:24.65,1814
'0:0:24.7,1825
'0:0:24.75,1845
'0:0:24.8,1871
'0:0:24.85,1907
'0:0:24.9,1932
'0:0:24.95,1959
'0:0:25.0,1995
'0:0:25.05,2039
'0:0:25.1,2082
'0:0:25.15,2124
'0:0:25.2,2161
'0:0:25.25,2203
'0:0:25.3,2239
'0:0:25.35,2275
'0:0:25.4,2309
'0:0:25.45,2350
'0:0:25.5,2396
'0:0:25.55,2444
'0:0:25.6,2480
'0:0:25.65,2513
'0:0:25.7,2534
'0:0:25.75,2553
'0:0:25.8,2580
'0:0:25.85,2605
'0:0:25.9,2615
'0:0:25.95,2601
'0:0:26.0,2576
'0:0:26.05,2546
'0:0:26.1,2521
'0:0:26.15,2497
'0:0:26.2,2474
'0:0:26.25,2448
'0:0:26.3,2423
'0:0:26.35,2385
'0:0:26.4,2348
'0:0:26.45,2301
'0:0:26.5,2240
'0:0:26.55,2181
'0:0:26.6,2139
'0:0:26.65,2100
'0:0:26.7,2070
'0:0:26.75,2040
'0:0:26.8,2010
'0:0:26.85,1976
'0:0:26.9,1945
'0:0:26.95,1914
'0:0:27.0,1889
'0:0:27.05,1864
'0:0:27.1,1847
'0:0:27.15,1831
'0:0:27.2,1809
'0:0:27.25,1791
'0:0:27.3,1768
'0:0:27.35,1737
'0:0:27.4,1726
'0:0:27.45,1727
'0:0:27.5,1732
'0:0:27.55,1740
'0:0:27.6,1745
'0:0:27.65,1748
'0:0:27.7,1751
'0:0:27.75,1749
'0:0:27.8,1749
'0:0:27.85,1747
