,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,7648
'0:0:0.05,7639
'0:0:0.1,7631
'0:0:0.15,7630
'0:0:0.2,7633
'0:0:0.25,7636
'0:0:0.3,7641
'0:0:0.35,7647
'0:0:0.4,7660
'0:0:0.45,7673
'0:0:0.5,7683
'0:0:0.55,7689
'0:0:0.6,7695
'0:0:0.65,7702
'0:0:0.7,7712
'0:0:0.75,7721
'0:0:0.8,7730
'0:0:0.85,7736
'0:0:0.9,7745
'0:0:0.95,7755
'0:0:1.0,7768
'0:0:1.05,7779
'0:0:1.1,7795
'0:0:1.15,7812
'0:0:1.2,7831
'0:0:1.25,7844
'0:0:1.3,7860
'0:0:1.35,7880
'0:0:1.4,7905
'0:0:1.45,7927
'0:0:1.5,7947
'0:0:1.55,7966
'0:0:1.6,7989
'0:0:1.65,8010
'0:0:1.7,8025
'0:0:1.75,8034
'0:0:1.8,8046
'0:0:1.85,8061
'0:0:1.9,8079
'0:0:1.95,8094
'0:0:2.0,8108
'0:0:2.05,8121
'0:0:2.1,8137
'0:0:2.15,8148
'0:0:2.2,8154
'0:0:2.25,8153
'0:0:2.3,8148
'0:0:2.35,8135
'0:0:2.4,8108
'0:0:2.45,8076
'0:0:2.5,8039
'0:0:2.55,8007
'0:0:2.6,7979
'0:0:2.65,7956
'0:0:2.7,7934
'0:0:2.75,7913
'0:0:2.8,7891
'0:0:2.85,7874
'0:0:2.9,7855
'0:0:2.95,7840
'0:0:3.0,7822
'0:0:3.05,7807
'0:0:3.1,7794
'0:0:3.15,7781
'0:0:3.2,7771
'0:0:3.25,7762
'0:0:3.3,7753
'0:0:3.35,7745
'0:0:3.4,7733
'0:0:3.45,7723
'0:0:3.5,7715
'0:0:3.55,7710
'0:0:3.6,7705
'0:0:3.65,7700
'0:0:3.7,7694
'0:0:3.75,7690
'0:0:3.8,7687
'0:0:3.85,7682
'0:0:3.9,7676
'0:0:3.95,7671
'0:0:4.0,7668
'0:0:4.05,7669
'0:0:4.1,7670
'0:0:4.15,7667
'0:0:4.2,7662
'0:0:4.25,7658
'0:0:4.3,7653
'0:0:4.35,7653
'0:0:4.4,7659
'0:0:4.45,7666
'0:0:4.5,7676
'0:0:4.55,7688
'0:0:4.6,7700
'0:0:4.65,7712
'0:0:4.7,7726
'0:0:4.75,7742
'0:0:4.8,7760
'0:0:4.85,7778
'0:0:4.9,7794
'0:0:4.95,7806
'0:0:5.0,7823
'0:0:5.05,7842
'0:0:5.1,7862
'0:0:5.15,7879
'0:0:5.2,7897
'0:0:5.25,7918
'0:0:5.3,7941
'0:0:5.35,7958
'0:0:5.4,7972
'0:0:5.45,7982
'0:0:5.5,7994
'0:0:5.55,8007
'0:0:5.6,8016
'0:0:5.65,8022
'0:0:5.7,8029
'0:0:5.75,8039
'0:0:5.8,8048
'0:0:5.85,8051
'0:0:5.9,8051
'0:0:5.95,8050
'0:0:6.0,8042
'0:0:6.05,8024
'0:0:6.1,7997
'0:0:6.15,7972
'0:0:6.2,7946
'0:0:6.25,7926
'0:0:6.3,7906
'0:0:6.35,7885
'0:0:6.4,7862
'0:0:6.45,7843
'0:0:6.5,7826
'0:0:6.55,7812
'0:0:6.6,7797
'0:0:6.65,7784
'0:0:6.7,7770
'0:0:6.75,7760
'0:0:6.8,7748
'0:0:6.85,7736
'0:0:6.9,7724
'0:0:6.95,7715
'0:0:7.0,7710
'0:0:7.05,7706
'0:0:7.1,7702
'0:0:7.15,7700
'0:0:7.2,7694
'0:0:7.25,7688
'0:0:7.3,7682
'0:0:7.35,7674
'0:0:7.4,7666
'0:0:7.45,7664
'0:0:7.5,7664
'0:0:7.55,7664
'0:0:7.6,7664
'0:0:7.65,7663
'0:0:7.7,7661
'0:0:7.75,7658
'0:0:7.8,7653
'0:0:7.85,7649
'0:0:7.9,7645
'0:0:7.95,7643
'0:0:8.0,7647
'0:0:8.05,7650
'0:0:8.1,7648
'0:0:8.15,7646
'0:0:8.2,7648
'0:0:8.25,7652
'0:0:8.3,7659
'0:0:8.35,7664
'0:0:8.4,7671
'0:0:8.45,7680
'0:0:8.5,7694
'0:0:8.55,7710
'0:0:8.6,7723
'0:0:8.65,7734
'0:0:8.7,7747
'0:0:8.75,7763
'0:0:8.8,7780
'0:0:8.85,7793
'0:0:8.9,7803
'0:0:8.95,7812
'0:0:9.0,7825
'0:0:9.05,7839
'0:0:9.1,7851
'0:0:9.15,7860
'0:0:9.2,7870
'0:0:9.25,7881
'0:0:9.3,7893
'0:0:9.35,7899
'0:0:9.4,7903
'0:0:9.45,7907
'0:0:9.5,7914
'0:0:9.55,7923
'0:0:9.6,7931
'0:0:9.65,7937
'0:0:9.7,7943
'0:0:9.75,7947
'0:0:9.8,7950
'0:0:9.85,7947
'0:0:9.9,7937
'0:0:9.95,7926
'0:0:10.0,7915
'0:0:10.05,7904
'0:0:10.1,7889
'0:0:10.15,7874
'0:0:10.2,7858
'0:0:10.25,7845
'0:0:10.3,7833
'0:0:10.35,7819
'0:0:10.4,7802
'0:0:10.45,7788
'0:0:10.5,7776
'0:0:10.55,7766
'0:0:10.6,7756
'0:0:10.65,7747
'0:0:10.7,7736
'0:0:10.75,7730
'0:0:10.8,7724
'0:0:10.85,7715
'0:0:10.9,7705
'0:0:10.95,7696
'0:0:11.0,7689
'0:0:11.05,7687
'0:0:11.1,7684
'0:0:11.15,7679
'0:0:11.2,7676
'0:0:11.25,7676
'0:0:11.3,7673
'0:0:11.35,7668
'0:0:11.4,7662
'0:0:11.45,7657
'0:0:11.5,7658
'0:0:11.55,7660
'0:0:11.6,7659
'0:0:11.65,7658
'0:0:11.7,7657
'0:0:11.75,7658
'0:0:11.8,7657
'0:0:11.85,7656
'0:0:11.9,7653
'0:0:11.95,7650
'0:0:12.0,7649
'0:0:12.05,7648
'0:0:12.1,7646
'0:0:12.15,7643
'0:0:12.2,7645
'0:0:12.25,7653
'0:0:12.3,7668
'0:0:12.35,7682
'0:0:12.4,7691
'0:0:12.45,7695
'0:0:12.5,7703
'0:0:12.55,7715
'0:0:12.6,7728
'0:0:12.65,7738
'0:0:12.7,7749
'0:0:12.75,7766
'0:0:12.8,7790
'0:0:12.85,7814
'0:0:12.9,7836
'0:0:12.95,7854
'0:0:13.0,7870
'0:0:13.05,7887
'0:0:13.1,7905
'0:0:13.15,7917
'0:0:13.2,7930
'0:0:13.25,7942
'0:0:13.3,7959
'0:0:13.35,7975
'0:0:13.4,7988
'0:0:13.45,7997
'0:0:13.5,8002
'0:0:13.55,8007
'0:0:13.6,8015
'0:0:13.65,8020
'0:0:13.7,8025
'0:0:13.75,8028
'0:0:13.8,8028
'0:0:13.85,8025
'0:0:13.9,8015
'0:0:13.95,7997
'0:0:14.0,7973
'0:0:14.05,7955
'0:0:14.1,7939
'0:0:14.15,7921
'0:0:14.2,7900
'0:0:14.25,7883
'0:0:14.3,7867
'0:0:14.35,7850
'0:0:14.4,7830
'0:0:14.45,7810
'0:0:14.5,7790
'0:0:14.55,7776
'0:0:14.6,7765
'0:0:14.65,7755
'0:0:14.7,7744
'0:0:14.75,7736
'0:0:14.8,7729
'0:0:14.85,7721
'0:0:14.9,7712
'0:0:14.95,7701
'0:0:15.0,7693
'0:0:15.05,7689
'0:0:15.1,7687
'0:0:15.15,7685
'0:0:15.2,7681
'0:0:15.25,7678
'0:0:15.3,7677
'0:0:15.35,7676
'0:0:15.4,7672
'0:0:15.45,7667
'0:0:15.5,7663
'0:0:15.55,7663
'0:0:15.6,7663
'0:0:15.65,7663
'0:0:15.7,7660
'0:0:15.75,7657
'0:0:15.8,7657
'0:0:15.85,7659
'0:0:15.9,7661
'0:0:15.95,7660
'0:0:16.0,7658
'0:0:16.05,7658
'0:0:16.1,7659
'0:0:16.15,7662
'0:0:16.2,7663
'0:0:16.25,7664
'0:0:16.3,7669
'0:0:16.35,7677
'0:0:16.4,7688
'0:0:16.45,7697
'0:0:16.5,7704
'0:0:16.55,7713
'0:0:16.6,7727
'0:0:16.65,7740
'0:0:16.7,7751
'0:0:16.75,7761
'0:0:16.8,7775
'0:0:16.85,7792
'0:0:16.9,7811
'0:0:16.95,7825
'0:0:17.0,7840
'0:0:17.05,7854
'0:0:17.1,7872
'0:0:17.15,7889
'0:0:17.2,7904
'0:0:17.25,7916
'0:0:17.3,7933
'0:0:17.35,7952
'0:0:17.4,7972
'0:0:17.45,7986
'0:0:17.5,7997
'0:0:17.55,8004
'0:0:17.6,8014
'0:0:17.65,8022
'0:0:17.7,8026
'0:0:17.75,8027
'0:0:17.8,8028
'0:0:17.85,8031
'0:0:17.9,8029
'0:0:17.95,8017
'0:0:18.0,7991
'0:0:18.05,7961
'0:0:18.1,7932
'0:0:18.15,7908
'0:0:18.2,7880
'0:0:18.25,7854
'0:0:18.3,7830
'0:0:18.35,7815
'0:0:18.4,7799
'0:0:18.45,7781
'0:0:18.5,7761
'0:0:18.55,7744
'0:0:18.6,7731
'0:0:18.65,7722
'0:0:18.7,7715
'0:0:18.75,7708
'0:0:18.8,7701
'0:0:18.85,7698
'0:0:18.9,7696
'0:0:18.95,7692
'0:0:19.0,7684
'0:0:19.05,7678
'0:0:19.1,7676
'0:0:19.15,7676
'0:0:19.2,7675
