,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,3926
'0:0:0.05,3910
'0:0:0.1,3895
'0:0:0.15,3884
'0:0:0.2,3865
'0:0:0.25,3843
'0:0:0.3,3827
'0:0:0.35,3821
'0:0:0.4,3823
'0:0:0.45,3825
'0:0:0.5,3829
'0:0:0.55,3840
'0:0:0.6,3852
'0:0:0.65,3861
'0:0:0.7,3869
'0:0:0.75,3874
'0:0:0.8,3882
'0:0:0.85,3897
'0:0:0.9,3919
'0:0:0.95,3943
'0:0:1.0,3979
'0:0:1.05,4025
'0:0:1.1,4075
'0:0:1.15,4112
'0:0:1.2,4144
'0:0:1.25,4168
'0:0:1.3,4196
'0:0:1.35,4220
'0:0:1.4,4243
'0:0:1.45,4261
'0:0:1.5,4281
'0:0:1.55,4301
'0:0:1.6,4323
'0:0:1.65,4347
'0:0:1.7,4374
'0:0:1.75,4392
'0:0:1.8,4408
'0:0:1.85,4421
'0:0:1.9,4436
'0:0:1.95,4451
'0:0:2.0,4470
'0:0:2.05,4488
'0:0:2.1,4503
'0:0:2.15,4513
'0:0:2.2,4519
'0:0:2.25,4529
'0:0:2.3,4541
'0:0:2.35,4544
'0:0:2.4,4543
'0:0:2.45,4542
'0:0:2.5,4546
'0:0:2.55,4550
'0:0:2.6,4548
'0:0:2.65,4541
'0:0:2.7,4531
'0:0:2.75,4520
'0:0:2.8,4513
'0:0:2.85,4512
'0:0:2.9,4508
'0:0:2.95,4497
'0:0:3.0,4478
'0:0:3.05,4451
'0:0:3.1,4404
'0:0:3.15,4346
'0:0:3.2,4288
'0:0:3.25,4250
'0:0:3.3,4214
'0:0:3.35,4178
'0:0:3.4,4140
'0:0:3.45,4118
'0:0:3.5,4097
'0:0:3.55,4075
'0:0:3.6,4053
'0:0:3.65,4037
'0:0:3.7,4021
'0:0:3.75,4008
'0:0:3.8,3996
'0:0:3.85,3987
'0:0:3.9,3976
'0:0:3.95,3968
'0:0:4.0,3961
'0:0:4.05,3951
'0:0:4.1,3945
'0:0:4.15,3949
'0:0:4.2,3951
'0:0:4.25,3948
'0:0:4.3,3944
'0:0:4.35,3939
'0:0:4.4,3934
'0:0:4.45,3932
'0:0:4.5,3928
'0:0:4.55,3926
'0:0:4.6,3926
'0:0:4.65,3927
'0:0:4.7,3935
'0:0:4.75,3949
'0:0:4.8,3966
'0:0:4.85,3984
'0:0:4.9,4014
'0:0:4.95,4048
'0:0:5.0,4083
'0:0:5.05,4117
'0:0:5.1,4155
'0:0:5.15,4187
'0:0:5.2,4220
'0:0:5.25,4249
'0:0:5.3,4280
'0:0:5.35,4309
'0:0:5.4,4339
'0:0:5.45,4364
'0:0:5.5,4388
'0:0:5.55,4408
'0:0:5.6,4425
'0:0:5.65,4444
'0:0:5.7,4470
'0:0:5.75,4488
'0:0:5.8,4501
'0:0:5.85,4510
'0:0:5.9,4523
'0:0:5.95,4537
'0:0:6.0,4548
'0:0:6.05,4555
'0:0:6.1,4553
'0:0:6.15,4546
'0:0:6.2,4540
'0:0:6.25,4532
'0:0:6.3,4526
'0:0:6.35,4527
'0:0:6.4,4535
'0:0:6.45,4536
'0:0:6.5,4530
'0:0:6.55,4527
'0:0:6.6,4526
'0:0:6.65,4521
'0:0:6.7,4501
'0:0:6.75,4468
'0:0:6.8,4425
'0:0:6.85,4382
'0:0:6.9,4332
'0:0:6.95,4295
'0:0:7.0,4264
'0:0:7.05,4232
'0:0:7.1,4199
'0:0:7.15,4170
'0:0:7.2,4139
'0:0:7.25,4115
'0:0:7.3,4094
'0:0:7.35,4077
'0:0:7.4,4059
'0:0:7.45,4043
'0:0:7.5,4028
'0:0:7.55,4017
'0:0:7.6,4010
'0:0:7.65,4004
'0:0:7.7,3994
'0:0:7.75,3988
'0:0:7.8,3984
'0:0:7.85,3978
'0:0:7.9,3975
'0:0:7.95,3972
'0:0:8.0,3969
'0:0:8.05,3963
'0:0:8.1,3955
'0:0:8.15,3949
'0:0:8.2,3950
'0:0:8.25,3955
'0:0:8.3,3954
'0:0:8.35,3949
'0:0:8.4,3943
'0:0:8.45,3938
'0:0:8.5,3937
'0:0:8.55,3936
'0:0:8.6,3933
'0:0:8.65,3932
'0:0:8.7,3929
'0:0:8.75,3925
'0:0:8.8,3921
'0:0:8.85,3920
'0:0:8.9,3928
'0:0:8.95,3938
'0:0:9.0,3949
'0:0:9.05,3966
'0:0:9.1,3991
'0:0:9.15,4019
'0:0:9.2,4058
'0:0:9.25,4099
'0:0:9.3,4138
'0:0:9.35,4168
'0:0:9.4,4198
'0:0:9.45,4222
'0:0:9.5,4244
'0:0:9.55,4267
'0:0:9.6,4293
'0:0:9.65,4311
'0:0:9.7,4328
'0:0:9.75,4347
'0:0:9.8,4371
'0:0:9.85,4396
'0:0:9.9,4428
'0:0:9.95,4467
'0:0:10.0,4509
'0:0:10.05,4532
'0:0:10.1,4541
'0:0:10.15,4542
'0:0:10.2,4546
'0:0:10.25,4550
'0:0:10.3,4546
'0:0:10.35,4541
'0:0:10.4,4540
'0:0:10.45,4538
'0:0:10.5,4523
'0:0:10.55,4501
'0:0:10.6,4478
'0:0:10.65,4450
'0:0:10.7,4417
'0:0:10.75,4390
'0:0:10.8,4368
'0:0:10.85,4346
'0:0:10.9,4314
'0:0:10.95,4281
'0:0:11.0,4249
'0:0:11.05,4222
'0:0:11.1,4195
'0:0:11.15,4177
'0:0:11.2,4159
'0:0:11.25,4140
'0:0:11.3,4118
'0:0:11.35,4102
'0:0:11.4,4090
'0:0:11.45,4078
'0:0:11.5,4062
'0:0:11.55,4050
'0:0:11.6,4037
'0:0:11.65,4027
'0:0:11.7,4018
'0:0:11.75,4008
'0:0:11.8,4001
'0:0:11.85,3996
'0:0:11.9,3988
'0:0:11.95,3981
'0:0:12.0,3979
'0:0:12.05,3984
'0:0:12.1,3988
'0:0:12.15,3985
'0:0:12.2,3981
'0:0:12.25,3978
'0:0:12.3,3975
'0:0:12.35,3971
'0:0:12.4,3968
'0:0:12.45,3965
'0:0:12.5,3962
'0:0:12.55,3958
'0:0:12.6,3950
'0:0:12.65,3943
'0:0:12.7,3944
'0:0:12.75,3952
'0:0:12.8,3961
'0:0:12.85,3971
'0:0:12.9,3985
'0:0:12.95,4000
'0:0:13.0,4015
'0:0:13.05,4031
'0:0:13.1,4052
'0:0:13.15,4071
'0:0:13.2,4090
'0:0:13.25,4103
'0:0:13.3,4117
'0:0:13.35,4132
'0:0:13.4,4151
'0:0:13.45,4169
'0:0:13.5,4182
'0:0:13.55,4192
'0:0:13.6,4202
'0:0:13.65,4213
'0:0:13.7,4224
'0:0:13.75,4234
'0:0:13.8,4246
'0:0:13.85,4254
'0:0:13.9,4255
'0:0:13.95,4252
'0:0:14.0,4254
'0:0:14.05,4260
'0:0:14.1,4262
'0:0:14.15,4260
'0:0:14.2,4258
'0:0:14.25,4259
'0:0:14.3,4263
'0:0:14.35,4266
'0:0:14.4,4269
'0:0:14.45,4266
'0:0:14.5,4248
'0:0:14.55,4225
'0:0:14.6,4207
'0:0:14.65,4192
'0:0:14.7,4171
'0:0:14.75,4149
'0:0:14.8,4124
'0:0:14.85,4104
'0:0:14.9,4087
'0:0:14.95,4072
'0:0:15.0,4059
'0:0:15.05,4048
'0:0:15.1,4030
'0:0:15.15,4017
'0:0:15.2,4013
'0:0:15.25,4012
'0:0:15.3,4006
'0:0:15.35,3999
'0:0:15.4,3992
'0:0:15.45,3984
'0:0:15.5,3978
'0:0:15.55,3974
'0:0:15.6,3971
'0:0:15.65,3966
'0:0:15.7,3957
'0:0:15.75,3948
'0:0:15.8,3947
'0:0:15.85,3948
'0:0:15.9,3946
'0:0:15.95,3943
'0:0:16.0,3938
'0:0:16.05,3934
'0:0:16.1,3934
'0:0:16.15,3940
'0:0:16.2,3949
'0:0:16.25,3966
'0:0:16.3,3993
'0:0:16.35,4020
'0:0:16.4,4052
'0:0:16.45,4087
'0:0:16.5,4123
'0:0:16.55,4148
'0:0:16.6,4169
'0:0:16.65,4185
'0:0:16.7,4202
'0:0:16.75,4219
'0:0:16.8,4237
'0:0:16.85,4252
'0:0:16.9,4269
'0:0:16.95,4281
'0:0:17.0,4292
'0:0:17.05,4305
'0:0:17.1,4324
'0:0:17.15,4344
'0:0:17.2,4361
'0:0:17.25,4375
'0:0:17.3,4392
'0:0:17.35,4408
'0:0:17.4,4424
'0:0:17.45,4439
'0:0:17.5,4453
'0:0:17.55,4458
'0:0:17.6,4458
'0:0:17.65,4460
'0:0:17.7,4469
'0:0:17.75,4479
'0:0:17.8,4481
'0:0:17.85,4469
'0:0:17.9,4447
'0:0:17.95,4422
'0:0:18.0,4391
'0:0:18.05,4358
'0:0:18.1,4317
'0:0:18.15,4277
'0:0:18.2,4237
'0:0:18.25,4204
'0:0:18.3,4174
'0:0:18.35,4150
'0:0:18.4,4126
'0:0:18.45,4109
'0:0:18.5,4087
'0:0:18.55,4069
'0:0:18.6,4055
'0:0:18.65,4042
'0:0:18.7,4028
'0:0:18.75,4018
'0:0:18.8,4007
'0:0:18.85,4005
'0:0:18.9,4004
'0:0:18.95,3998
'0:0:19.0,3989
'0:0:19.05,3984
'0:0:19.1,3980
'0:0:19.15,3975
'0:0:19.2,3970
