,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:14.2,7665
'0:0:14.25,7672
'0:0:14.3,7679
'0:0:14.35,7690
'0:0:14.4,7704
'0:0:14.45,7722
'0:0:14.5,7739
'0:0:14.55,7758
'0:0:14.6,7777
'0:0:14.65,7794
'0:0:14.7,7806
'0:0:14.75,7818
'0:0:14.8,7831
'0:0:14.85,7847
'0:0:14.9,7863
'0:0:14.95,7885
'0:0:15.0,7909
'0:0:15.05,7933
'0:0:15.1,7950
'0:0:15.15,7967
'0:0:15.2,7982
'0:0:15.25,7991
'0:0:15.3,7994
'0:0:15.35,7984
'0:0:15.4,7968
'0:0:15.45,7952
'0:0:15.5,7933
'0:0:15.55,7906
'0:0:15.6,7881
'0:0:15.65,7854
'0:0:15.7,7831
'0:0:15.75,7811
'0:0:15.8,7793
'0:0:15.85,7776
'0:0:15.9,7761
'0:0:15.95,7750
'0:0:16.0,7742
'0:0:16.05,7733
'0:0:16.1,7724
'0:0:16.15,7717
'0:0:16.2,7708
'0:0:16.25,7697
'0:0:16.3,7690
'0:0:16.35,7680
'0:0:16.4,7672
'0:0:16.45,7667
'0:0:16.5,7661
'0:0:16.55,7655
'0:0:16.6,7652
'0:0:16.65,7651
'0:0:16.7,7649
'0:0:16.75,7647
'0:0:16.8,7643
'0:0:16.85,7638
'0:0:16.9,7639
'0:0:16.95,7644
'0:0:17.0,7649
'0:0:17.05,7654
'0:0:17.1,7660
'0:0:17.15,7669
'0:0:17.2,7681
'0:0:17.25,7696
'0:0:17.3,7709
'0:0:17.35,7721
'0:0:17.4,7731
'0:0:17.45,7745
'0:0:17.5,7760
'0:0:17.55,7778
'0:0:17.6,7796
'0:0:17.65,7815
'0:0:17.7,7830
'0:0:17.75,7845
'0:0:17.8,7860
'0:0:17.85,7878
'0:0:17.9,7895
'0:0:17.95,7910
'0:0:18.0,7920
'0:0:18.05,7930
'0:0:18.1,7941
'0:0:18.15,7956
'0:0:18.2,7972
'0:0:18.25,7989
'0:0:18.3,7999
'0:0:18.35,8005
'0:0:18.4,8007
'0:0:18.45,8003
'0:0:18.5,7988
'0:0:18.55,7965
'0:0:18.6,7942
'0:0:18.65,7917
'0:0:18.7,7893
'0:0:18.75,7870
'0:0:18.8,7847
'0:0:18.85,7822
'0:0:18.9,7800
'0:0:18.95,7777
'0:0:19.0,7763
'0:0:19.05,7750
'0:0:19.1,7736
'0:0:19.15,7724
'0:0:19.2,7714
'0:0:19.25,7705
'0:0:19.3,7697
'0:0:19.35,7685
'0:0:19.4,7676
'0:0:19.45,7665
'0:0:19.5,7656
'0:0:19.55,7649
'0:0:19.6,7644
'0:0:19.65,7639
'0:0:19.7,7632
'0:0:19.75,7626
'0:0:19.8,7623
'0:0:19.85,7618
'0:0:19.9,7614
'0:0:19.95,7610
'0:0:20.0,7606
'0:0:20.05,7602
'0:0:20.1,7599
'0:0:20.15,7598
'0:0:20.2,7598
'0:0:20.25,7593
'0:0:20.3,7589
'0:0:20.35,7591
'0:0:20.4,7599
'0:0:20.45,7612
'0:0:20.5,7626
'0:0:20.55,7640
'0:0:20.6,7651
'0:0:20.65,7665
'0:0:20.7,7677
'0:0:20.75,7692
'0:0:20.8,7706
'0:0:20.85,7720
'0:0:20.9,7733
'0:0:20.95,7748
'0:0:21.0,7765
'0:0:21.05,7782
'0:0:21.1,7797
'0:0:21.15,7814
'0:0:21.2,7830
'0:0:21.25,7849
'0:0:21.3,7871
'0:0:21.35,7899
'0:0:21.4,7922
'0:0:21.45,7940
'0:0:21.5,7950
'0:0:21.55,7954
'0:0:21.6,7955
'0:0:21.65,7959
'0:0:21.7,7963
'0:0:21.75,7963
'0:0:21.8,7956
'0:0:21.85,7941
'0:0:21.9,7928
'0:0:21.95,7915
'0:0:22.0,7899
'0:0:22.05,7877
'0:0:22.1,7855
'0:0:22.15,7832
'0:0:22.2,7806
'0:0:22.25,7777
'0:0:22.3,7752
'0:0:22.35,7729
'0:0:22.4,7712
'0:0:22.45,7700
'0:0:22.5,7694
'0:0:22.55,7684
'0:0:22.6,7673
'0:0:22.65,7663
'0:0:22.7,7656
'0:0:22.75,7650
'0:0:22.8,7644
'0:0:22.85,7635
'0:0:22.9,7628
'0:0:22.95,7621
'0:0:23.0,7615
'0:0:23.05,7613
'0:0:23.1,7612
'0:0:23.15,7609
'0:0:23.2,7608
'0:0:23.25,7613
'0:0:23.3,7619
'0:0:23.35,7626
'0:0:23.4,7629
'0:0:23.45,7625
'0:0:23.5,7617
'0:0:23.55,7610
'0:0:23.6,7610
'0:0:23.65,7617
'0:0:23.7,7627
'0:0:23.75,7638
'0:0:23.8,7651
'0:0:23.85,7668
'0:0:23.9,7687
'0:0:23.95,7709
'0:0:24.0,7727
'0:0:24.05,7744
'0:0:24.1,7760
'0:0:24.15,7776
'0:0:24.2,7792
'0:0:24.25,7813
'0:0:24.3,7830
'0:0:24.35,7847
'0:0:24.4,7861
'0:0:24.45,7878
'0:0:24.5,7894
'0:0:24.55,7917
'0:0:24.6,7943
'0:0:24.65,7966
'0:0:24.7,7979
'0:0:24.75,7991
'0:0:24.8,8002
'0:0:24.85,8013
'0:0:24.9,8015
'0:0:24.95,8007
'0:0:25.0,7991
'0:0:25.05,7968
'0:0:25.1,7947
'0:0:25.15,7924
'0:0:25.2,7899
'0:0:25.25,7869
'0:0:25.3,7841
'0:0:25.35,7814
'0:0:25.4,7795
'0:0:25.45,7780
'0:0:25.5,7768
'0:0:25.55,7756
'0:0:25.6,7749
'0:0:25.65,7740
'0:0:25.7,7733
'0:0:25.75,7725
'0:0:25.8,7713
'0:0:25.85,7703
'0:0:25.9,7697
'0:0:25.95,7691
'0:0:26.0,7689
'0:0:26.05,7685
'0:0:26.1,7679
'0:0:26.15,7676
'0:0:26.2,7671
'0:0:26.25,7665
'0:0:26.3,7665
'0:0:26.35,7665
'0:0:26.4,7658
'0:0:26.45,7650
'0:0:26.5,7646
'0:0:26.55,7647
'0:0:26.6,7653
'0:0:26.65,7660
'0:0:26.7,7667
'0:0:26.75,7677
'0:0:26.8,7689
'0:0:26.85,7705
'0:0:26.9,7719
'0:0:26.95,7733
'0:0:27.0,7746
'0:0:27.05,7757
'0:0:27.1,7766
'0:0:27.15,7776
'0:0:27.2,7790
'0:0:27.25,7809
'0:0:27.3,7825
'0:0:27.35,7842
'0:0:27.4,7856
'0:0:27.45,7870
'0:0:27.5,7882
'0:0:27.55,7891
'0:0:27.6,7894
'0:0:27.65,7891
'0:0:27.7,7889
'0:0:27.75,7888
'0:0:27.8,7892
'0:0:27.85,7902
'0:0:27.9,7904
'0:0:27.95,7894
'0:0:28.0,7878
'0:0:28.05,7856
'0:0:28.1,7832
'0:0:28.15,7804
'0:0:28.2,7781
'0:0:28.25,7757
'0:0:28.3,7740
'0:0:28.35,7728
'0:0:28.4,7720
'0:0:28.45,7713
'0:0:28.5,7711
'0:0:28.55,7707
'0:0:28.6,7704
'0:0:28.65,7703
'0:0:28.7,7699
'0:0:28.75,7692
'0:0:28.8,7690
'0:0:28.85,7687
'0:0:28.9,7681
'0:0:28.95,7676
'0:0:29.0,7674
'0:0:29.05,7675
'0:0:29.1,7672
'0:0:29.15,7667
'0:0:29.2,7665
'0:0:29.25,7665
'0:0:29.3,7664
'0:0:29.35,7661
'0:0:29.4,7657
'0:0:29.45,7653
'0:0:29.5,7648
'0:0:29.55,7645
'0:0:29.6,7645
'0:0:29.65,7649
'0:0:29.7,7652
'0:0:29.75,7656
'0:0:29.8,7661
'0:0:29.85,7669
'0:0:29.9,7681
'0:0:29.95,7699
'0:0:30.0,7717
'0:0:30.05,7736
'0:0:30.1,7751
'0:0:30.15,7768
'0:0:30.2,7785
'0:0:30.25,7806
'0:0:30.3,7824
'0:0:30.35,7842
'0:0:30.4,7857
'0:0:30.45,7875
'0:0:30.5,7891
'0:0:30.55,7907
'0:0:30.6,7921
'0:0:30.65,7934
'0:0:30.7,7942
'0:0:30.75,7949
'0:0:30.8,7958
'0:0:30.85,7968
'0:0:30.9,7972
'0:0:30.95,7962
'0:0:31.0,7941
'0:0:31.05,7920
'0:0:31.1,7903
'0:0:31.15,7884
'0:0:31.2,7864
'0:0:31.25,7839
'0:0:31.3,7817
'0:0:31.35,7799
'0:0:31.4,7782
'0:0:31.45,7766
'0:0:31.5,7756
'0:0:31.55,7745
'0:0:31.6,7737
'0:0:31.65,7731
'0:0:31.7,7723
'0:0:31.75,7713
'0:0:31.8,7704
'0:0:31.85,7691
'0:0:31.9,7684
'0:0:31.95,7683
'0:0:32.0,7679
'0:0:32.05,7670
'0:0:32.1,7663
'0:0:32.15,7658
'0:0:32.2,7654
'0:0:32.25,7650
'0:0:32.3,7647
'0:0:32.35,7642
'0:0:32.4,7638
'0:0:32.45,7635
'0:0:32.5,7634
'0:0:32.55,7633
'0:0:32.6,7631
'0:0:32.65,7629
'0:0:32.7,7632
'0:0:32.75,7638
'0:0:32.8,7647
'0:0:32.85,7662
'0:0:32.9,7678
'0:0:32.95,7695
'0:0:33.0,7713
'0:0:33.05,7736
'0:0:33.1,7758
'0:0:33.15,7779
'0:0:33.2,7794
'0:0:33.25,7808
'0:0:33.3,7823
'0:0:33.35,7840
'0:0:33.4,7857
'0:0:33.45,7875
'0:0:33.5,7889
'0:0:33.55,7903
'0:0:33.6,7916
'0:0:33.65,7934
'0:0:33.7,7951
'0:0:33.75,7964
'0:0:33.8,7971
'0:0:33.85,7977
'0:0:33.9,7985
'0:0:33.95,7995
'0:0:34.0,8000
'0:0:34.05,7989
'0:0:34.1,7964
'0:0:34.15,7932
'0:0:34.2,7907
'0:0:34.25,7883
'0:0:34.3,7859
'0:0:34.35,7829
'0:0:34.4,7802
'0:0:34.45,7779
'0:0:34.5,7758
'0:0:34.55,7737
'0:0:34.6,7720
'0:0:34.65,7702
'0:0:34.7,7687
'0:0:34.75,7674
'0:0:34.8,7666
'0:0:34.85,7655
'0:0:34.9,7647
'0:0:34.95,7643
'0:0:35.0,7638
'0:0:35.05,7630
'0:0:35.1,7627
'0:0:35.15,7624
'0:0:35.2,7621
'0:0:35.25,7618
'0:0:35.3,7615
'0:0:35.35,7613
'0:0:35.4,7613
'0:0:35.45,7610
'0:0:35.5,7606
'0:0:35.55,7603
'0:0:35.6,7601
'0:0:35.65,7602
'0:0:35.7,7605
'0:0:35.75,7608
'0:0:35.8,7611
'0:0:35.85,7616
'0:0:35.9,7621
'0:0:35.95,7634
'0:0:36.0,7659
'0:0:36.05,7687
'0:0:36.1,7706
'0:0:36.15,7722
'0:0:36.2,7738
'0:0:36.25,7755
'0:0:36.3,7770
'0:0:36.35,7787
'0:0:36.4,7806
'0:0:36.45,7827
'0:0:36.5,7843
'0:0:36.55,7859
'0:0:36.6,7874
'0:0:36.65,7893
'0:0:36.7,7906
'0:0:36.75,7919
'0:0:36.8,7930
'0:0:36.85,7944
'0:0:36.9,7960
'0:0:36.95,7977
'0:0:37.0,7991
'0:0:37.05,8004
'0:0:37.1,8017
'0:0:37.15,8033
'0:0:37.2,8046
'0:0:37.25,8055
'0:0:37.3,8052
'0:0:37.35,8042
'0:0:37.4,8026
'0:0:37.45,8001
'0:0:37.5,7976
'0:0:37.55,7947
'0:0:37.6,7918
'0:0:37.65,7888
'0:0:37.7,7863
'0:0:37.75,7837
'0:0:37.8,7820
'0:0:37.85,7803
'0:0:37.9,7788
'0:0:37.95,7776
'0:0:38.0,7763
'0:0:38.05,7746
'0:0:38.1,7732
'0:0:38.15,7720
'0:0:38.2,7708
'0:0:38.25,7699
'0:0:38.3,7692
'0:0:38.35,7685
'0:0:38.4,7683
'0:0:38.45,7681
'0:0:38.5,7676
'0:0:38.55,7671
'0:0:38.6,7668
'0:0:38.65,7664
'0:0:38.7,7660
'0:0:38.75,7655
'0:0:38.8,7649
'0:0:38.85,7643
'0:0:38.9,7637
'0:0:38.95,7634
'0:0:39.0,7632
'0:0:39.05,7631
'0:0:39.1,7633
'0:0:39.15,7642
'0:0:39.2,7655
'0:0:39.25,7669
'0:0:39.3,7683
'0:0:39.35,7698
'0:0:39.4,7711
'0:0:39.45,7725
'0:0:39.5,7741
'0:0:39.55,7760
'0:0:39.6,7776
'0:0:39.65,7792
'0:0:39.7,7807
'0:0:39.75,7824
'0:0:39.8,7841
'0:0:39.85,7858
'0:0:39.9,7871
'0:0:39.95,7885
'0:0:40.0,7897
'0:0:40.05,7914
'0:0:40.1,7930
'0:0:40.15,7947
'0:0:40.2,7959
'0:0:40.25,7972
'0:0:40.3,7988
'0:0:40.35,8010
'0:0:40.4,8032
'0:0:40.45,8042
'0:0:40.5,8033
'0:0:40.55,8013
'0:0:40.6,7993
'0:0:40.65,7976
'0:0:40.7,7957
'0:0:40.75,7931
'0:0:40.8,7908
'0:0:40.85,7887
'0:0:40.9,7865
'0:0:40.95,7843
'0:0:41.0,7825
'0:0:41.05,7804
'0:0:41.1,7787
'0:0:41.15,7773
'0:0:41.2,7762
'0:0:41.25,7754
