,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:14.2,4498
'0:0:14.25,4510
'0:0:14.3,4526
'0:0:14.35,4539
'0:0:14.4,4546
'0:0:14.45,4552
'0:0:14.5,4557
'0:0:14.55,4562
'0:0:14.6,4561
'0:0:14.65,4548
'0:0:14.7,4521
'0:0:14.75,4487
'0:0:14.8,4460
'0:0:14.85,4430
'0:0:14.9,4403
'0:0:14.95,4373
'0:0:15.0,4344
'0:0:15.05,4316
'0:0:15.1,4288
'0:0:15.15,4260
'0:0:15.2,4239
'0:0:15.25,4217
'0:0:15.3,4205
'0:0:15.35,4203
'0:0:15.4,4201
'0:0:15.45,4200
'0:0:15.5,4198
'0:0:15.55,4193
'0:0:15.6,4196
'0:0:15.65,4197
'0:0:15.7,4191
'0:0:15.75,4183
'0:0:15.8,4179
'0:0:15.85,4171
'0:0:15.9,4166
'0:0:15.95,4162
'0:0:16.0,4154
'0:0:16.05,4142
'0:0:16.1,4131
'0:0:16.15,4121
'0:0:16.2,4113
'0:0:16.25,4107
'0:0:16.3,4099
'0:0:16.35,4090
'0:0:16.4,4083
'0:0:16.45,4085
'0:0:16.5,4091
'0:0:16.55,4091
'0:0:16.6,4087
'0:0:16.65,4084
'0:0:16.7,4086
'0:0:16.75,4091
'0:0:16.8,4097
'0:0:16.85,4104
'0:0:16.9,4107
'0:0:16.95,4104
'0:0:17.0,4103
'0:0:17.05,4109
'0:0:17.1,4119
'0:0:17.15,4140
'0:0:17.2,4175
'0:0:17.25,4240
'0:0:17.3,4311
'0:0:17.35,4374
'0:0:17.4,4414
'0:0:17.45,4445
'0:0:17.5,4464
'0:0:17.55,4483
'0:0:17.6,4498
'0:0:17.65,4507
'0:0:17.7,4512
'0:0:17.75,4519
'0:0:17.8,4530
'0:0:17.85,4543
'0:0:17.9,4558
'0:0:17.95,4568
'0:0:18.0,4572
'0:0:18.05,4580
'0:0:18.1,4589
'0:0:18.15,4596
'0:0:18.2,4598
'0:0:18.25,4599
'0:0:18.3,4602
'0:0:18.35,4609
'0:0:18.4,4615
'0:0:18.45,4617
'0:0:18.5,4610
'0:0:18.55,4591
'0:0:18.6,4574
'0:0:18.65,4564
'0:0:18.7,4550
'0:0:18.75,4522
'0:0:18.8,4492
'0:0:18.85,4462
'0:0:18.9,4439
'0:0:18.95,4412
'0:0:19.0,4375
'0:0:19.05,4335
'0:0:19.1,4303
'0:0:19.15,4282
'0:0:19.2,4272
'0:0:19.25,4259
'0:0:19.3,4250
'0:0:19.35,4243
'0:0:19.4,4237
'0:0:19.45,4230
'0:0:19.5,4222
'0:0:19.55,4210
'0:0:19.6,4201
'0:0:19.65,4195
'0:0:19.7,4194
'0:0:19.75,4192
'0:0:19.8,4189
'0:0:19.85,4184
'0:0:19.9,4178
'0:0:19.95,4172
'0:0:20.0,4166
'0:0:20.05,4157
'0:0:20.1,4145
'0:0:20.15,4131
'0:0:20.2,4123
'0:0:20.25,4122
'0:0:20.3,4121
'0:0:20.35,4117
'0:0:20.4,4113
'0:0:20.45,4108
'0:0:20.5,4106
'0:0:20.55,4107
'0:0:20.6,4110
'0:0:20.65,4113
'0:0:20.7,4116
'0:0:20.75,4128
'0:0:20.8,4143
'0:0:20.85,4158
'0:0:20.9,4167
'0:0:20.95,4175
'0:0:21.0,4188
'0:0:21.05,4206
'0:0:21.1,4227
'0:0:21.15,4253
'0:0:21.2,4273
'0:0:21.25,4292
'0:0:21.3,4313
'0:0:21.35,4343
'0:0:21.4,4370
'0:0:21.45,4390
'0:0:21.5,4404
'0:0:21.55,4420
'0:0:21.6,4436
'0:0:21.65,4452
'0:0:21.7,4463
'0:0:21.75,4469
'0:0:21.8,4468
'0:0:21.85,4472
'0:0:21.9,4482
'0:0:21.95,4491
'0:0:22.0,4495
'0:0:22.05,4500
'0:0:22.1,4510
'0:0:22.15,4528
'0:0:22.2,4546
'0:0:22.25,4556
'0:0:22.3,4557
'0:0:22.35,4558
'0:0:22.4,4565
'0:0:22.45,4578
'0:0:22.5,4585
'0:0:22.55,4584
'0:0:22.6,4575
'0:0:22.65,4559
'0:0:22.7,4540
'0:0:22.75,4512
'0:0:22.8,4478
'0:0:22.85,4440
'0:0:22.9,4410
'0:0:22.95,4385
'0:0:23.0,4361
'0:0:23.05,4334
'0:0:23.1,4308
'0:0:23.15,4290
'0:0:23.2,4278
'0:0:23.25,4262
'0:0:23.3,4247
'0:0:23.35,4233
'0:0:23.4,4224
'0:0:23.45,4221
'0:0:23.5,4219
'0:0:23.55,4214
'0:0:23.6,4210
'0:0:23.65,4205
'0:0:23.7,4200
'0:0:23.75,4195
'0:0:23.8,4189
'0:0:23.85,4177
'0:0:23.9,4165
'0:0:23.95,4156
'0:0:24.0,4152
'0:0:24.05,4150
'0:0:24.1,4145
'0:0:24.15,4139
'0:0:24.2,4133
'0:0:24.25,4126
'0:0:24.3,4121
'0:0:24.35,4115
'0:0:24.4,4106
'0:0:24.45,4097
'0:0:24.5,4097
'0:0:24.55,4110
'0:0:24.6,4125
'0:0:24.65,4137
'0:0:24.7,4150
'0:0:24.75,4171
'0:0:24.8,4193
'0:0:24.85,4220
'0:0:24.9,4244
'0:0:24.95,4264
'0:0:25.0,4280
'0:0:25.05,4300
'0:0:25.1,4324
'0:0:25.15,4347
'0:0:25.2,4360
'0:0:25.25,4370
'0:0:25.3,4384
'0:0:25.35,4400
'0:0:25.4,4418
'0:0:25.45,4435
'0:0:25.5,4447
'0:0:25.55,4459
'0:0:25.6,4472
'0:0:25.65,4491
'0:0:25.7,4506
'0:0:25.75,4520
'0:0:25.8,4532
'0:0:25.85,4548
'0:0:25.9,4565
'0:0:25.95,4581
'0:0:26.0,4591
'0:0:26.05,4595
'0:0:26.1,4595
'0:0:26.15,4600
'0:0:26.2,4611
'0:0:26.25,4623
'0:0:26.3,4631
'0:0:26.35,4641
'0:0:26.4,4656
'0:0:26.45,4672
'0:0:26.5,4673
'0:0:26.55,4650
'0:0:26.6,4617
'0:0:26.65,4574
'0:0:26.7,4538
'0:0:26.75,4505
'0:0:26.8,4475
'0:0:26.85,4442
'0:0:26.9,4415
'0:0:26.95,4389
'0:0:27.0,4365
'0:0:27.05,4342
'0:0:27.1,4321
'0:0:27.15,4304
'0:0:27.2,4299
'0:0:27.25,4285
'0:0:27.3,4266
'0:0:27.35,4250
'0:0:27.4,4232
'0:0:27.45,4216
'0:0:27.5,4214
'0:0:27.55,4213
'0:0:27.6,4207
'0:0:27.65,4199
'0:0:27.7,4197
'0:0:27.75,4199
'0:0:27.8,4196
'0:0:27.85,4182
'0:0:27.9,4167
'0:0:27.95,4149
'0:0:28.0,4132
'0:0:28.05,4117
'0:0:28.1,4103
'0:0:28.15,4088
'0:0:28.2,4076
'0:0:28.25,4070
'0:0:28.3,4071
'0:0:28.35,4071
'0:0:28.4,4068
'0:0:28.45,4067
'0:0:28.5,4069
'0:0:28.55,4075
'0:0:28.6,4081
'0:0:28.65,4079
'0:0:28.7,4076
'0:0:28.75,4076
'0:0:28.8,4092
'0:0:28.85,4125
'0:0:28.9,4151
'0:0:28.95,4174
'0:0:29.0,4193
'0:0:29.05,4220
'0:0:29.1,4247
'0:0:29.15,4273
'0:0:29.2,4291
'0:0:29.25,4308
'0:0:29.3,4324
'0:0:29.35,4347
'0:0:29.4,4369
'0:0:29.45,4389
'0:0:29.5,4407
'0:0:29.55,4429
'0:0:29.6,4453
'0:0:29.65,4477
'0:0:29.7,4491
'0:0:29.75,4501
'0:0:29.8,4509
'0:0:29.85,4524
'0:0:29.9,4541
'0:0:29.95,4556
'0:0:30.0,4568
'0:0:30.05,4580
'0:0:30.1,4593
'0:0:30.15,4603
'0:0:30.2,4604
'0:0:30.25,4594
'0:0:30.3,4579
'0:0:30.35,4564
'0:0:30.4,4554
'0:0:30.45,4540
'0:0:30.5,4520
'0:0:30.55,4500
'0:0:30.6,4482
'0:0:30.65,4463
'0:0:30.7,4443
'0:0:30.75,4415
'0:0:30.8,4386
'0:0:30.85,4353
'0:0:30.9,4329
'0:0:30.95,4308
'0:0:31.0,4284
'0:0:31.05,4263
'0:0:31.1,4249
'0:0:31.15,4241
'0:0:31.2,4233
'0:0:31.25,4219
'0:0:31.3,4207
'0:0:31.35,4196
'0:0:31.4,4192
'0:0:31.45,4193
'0:0:31.5,4188
'0:0:31.55,4178
'0:0:31.6,4171
'0:0:31.65,4165
'0:0:31.7,4161
'0:0:31.75,4157
'0:0:31.8,4151
'0:0:31.85,4142
'0:0:31.9,4136
'0:0:31.95,4131
'0:0:32.0,4123
'0:0:32.05,4115
'0:0:32.1,4109
'0:0:32.15,4104
'0:0:32.2,4099
'0:0:32.25,4091
'0:0:32.3,4080
'0:0:32.35,4070
'0:0:32.4,4070
'0:0:32.45,4073
'0:0:32.5,4073
'0:0:32.55,4068
'0:0:32.6,4065
'0:0:32.65,4065
'0:0:32.7,4070
'0:0:32.75,4073
'0:0:32.8,4072
'0:0:32.85,4075
'0:0:32.9,4089
'0:0:32.95,4115
'0:0:33.0,4144
'0:0:33.05,4172
'0:0:33.1,4194
'0:0:33.15,4220
'0:0:33.2,4245
'0:0:33.25,4276
'0:0:33.3,4301
'0:0:33.35,4320
'0:0:33.4,4333
'0:0:33.45,4352
'0:0:33.5,4377
'0:0:33.55,4400
'0:0:33.6,4416
'0:0:33.65,4430
'0:0:33.7,4445
'0:0:33.75,4466
'0:0:33.8,4483
'0:0:33.85,4495
'0:0:33.9,4503
'0:0:33.95,4515
'0:0:34.0,4535
'0:0:34.05,4565
'0:0:34.1,4593
'0:0:34.15,4611
'0:0:34.2,4617
'0:0:34.25,4621
'0:0:34.3,4625
'0:0:34.35,4626
'0:0:34.4,4622
'0:0:34.45,4604
'0:0:34.5,4583
'0:0:34.55,4565
'0:0:34.6,4543
'0:0:34.65,4513
'0:0:34.7,4487
'0:0:34.75,4462
'0:0:34.8,4439
'0:0:34.85,4414
'0:0:34.9,4385
'0:0:34.95,4350
'0:0:35.0,4329
'0:0:35.05,4312
'0:0:35.1,4296
'0:0:35.15,4278
'0:0:35.2,4263
'0:0:35.25,4252
'0:0:35.3,4244
'0:0:35.35,4233
'0:0:35.4,4221
'0:0:35.45,4208
'0:0:35.5,4199
'0:0:35.55,4196
'0:0:35.6,4194
'0:0:35.65,4188
'0:0:35.7,4183
'0:0:35.75,4177
'0:0:35.8,4173
'0:0:35.85,4168
'0:0:35.9,4159
'0:0:35.95,4146
'0:0:36.0,4137
'0:0:36.05,4132
'0:0:36.1,4128
'0:0:36.15,4118
'0:0:36.2,4106
'0:0:36.25,4091
'0:0:36.3,4078
'0:0:36.35,4068
'0:0:36.4,4059
'0:0:36.45,4046
'0:0:36.5,4033
'0:0:36.55,4028
'0:0:36.6,4030
'0:0:36.65,4029
'0:0:36.7,4027
'0:0:36.75,4028
'0:0:36.8,4032
'0:0:36.85,4036
'0:0:36.9,4038
'0:0:36.95,4044
'0:0:37.0,4051
