,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,372,1499
'0:0:0.05,366,1505
'0:0:0.1,389,1503
'0:0:0.15,370,1492
'0:0:0.2,359,1475
'0:0:0.25,360,1462
'0:0:0.3,354,1455
'0:0:0.35,342,1461
'0:0:0.4,379,1467
'0:0:0.45,405,1455
'0:0:0.5,405,1436
'0:0:0.55,393,1426
'0:0:0.6,387,1416
'0:0:0.65,416,1397
'0:0:0.7,453,1375
'0:0:0.75,487,1361
'0:0:0.8,483,1354
'0:0:0.85,423,1356
'0:0:0.9,355,1358
'0:0:0.95,321,1360
'0:0:1.0,332,1370
'0:0:1.05,390,1384
'0:0:1.1,464,1394
'0:0:1.15,423,1397
'0:0:1.2,334,1396
'0:0:1.25,268,1398
'0:0:1.3,271,1408
'0:0:1.35,333,1417
'0:0:1.4,379,1420
'0:0:1.45,335,1421
'0:0:1.5,264,1442
'0:0:1.55,246,1468
'0:0:1.6,369,1438
'0:0:1.65,378,1398
'0:0:1.7,382,1424
'0:0:1.75,473,1469
'0:0:1.8,547,1498
'0:0:1.85,528,1516
'0:0:1.9,434,1534
'0:0:1.95,348,1549
'0:0:2.0,323,1561
'0:0:2.05,365,1564
'0:0:2.1,366,1562
'0:0:2.15,240,1600
'0:0:2.2,207,1688
'0:0:2.25,223,1734
'0:0:2.3,50,1741
'0:0:2.35,100,1765
'0:0:2.4,378,1810
'0:0:2.45,465,1846
'0:0:2.5,449,1852
'0:0:2.55,330,1852
'0:0:2.6,370,1897
'0:0:2.65,451,1938
'0:0:2.7,410,1937
'0:0:2.75,409,1936
'0:0:2.8,348,1966
'0:0:2.85,302,1987
'0:0:2.9,276,1967
'0:0:2.95,254,1948
'0:0:3.0,172,1998
'0:0:3.05,182,2079
'0:0:3.1,325,2116
'0:0:3.15,383,2102
'0:0:3.2,392,2096
'0:0:3.25,498,2101
'0:0:3.3,606,2096
'0:0:3.35,523,2095
'0:0:3.4,436,2120
'0:0:3.45,464,2149
'0:0:3.5,477,2149
'0:0:3.55,483,2137
'0:0:3.6,481,2128
'0:0:3.65,429,2100
'0:0:3.7,402,2028
'0:0:3.75,375,1956
'0:0:3.8,282,1925
'0:0:3.85,209,1938
'0:0:3.9,230,1925
'0:0:3.95,371,1834
'0:0:4.0,518,1725
'0:0:4.05,460,1676
'0:0:4.1,443,1651
'0:0:4.15,435,1608
'0:0:4.2,451,1592
'0:0:4.25,467,1637
'0:0:4.3,402,1652
'0:0:4.35,446,1607
'0:0:4.4,491,1577
'0:0:4.45,448,1581
'0:0:4.5,332,1567
'0:0:4.55,252,1537
'0:0:4.6,193,1492
'0:0:4.65,157,1487
'0:0:4.7,297,1528
'0:0:4.75,391,1540
'0:0:4.8,334,1512
'0:0:4.85,243,1504
'0:0:4.9,267,1540
'0:0:4.95,350,1553
'0:0:5.0,349,1525
'0:0:5.05,304,1512
'0:0:5.1,303,1506
'0:0:5.15,384,1479
'0:0:5.2,346,1438
'0:0:5.25,287,1417
'0:0:5.3,333,1403
'0:0:5.35,342,1379
'0:0:5.4,348,1350
'0:0:5.45,432,1359
'0:0:5.5,527,1380
'0:0:5.55,537,1376
'0:0:5.6,401,1365
'0:0:5.65,251,1371
'0:0:5.7,218,1395
'0:0:5.75,205,1377
'0:0:5.8,203,1357
'0:0:5.85,277,1403
'0:0:5.9,411,1461
'0:0:5.95,490,1486
'0:0:6.0,519,1505
'0:0:6.05,513,1526
'0:0:6.1,367,1547
'0:0:6.15,218,1553
'0:0:6.2,227,1526
'0:0:6.25,316,1521
'0:0:6.3,424,1587
'0:0:6.35,499,1645
'0:0:6.4,445,1652
'0:0:6.45,321,1649
'0:0:6.5,293,1678
'0:0:6.55,302,1708
'0:0:6.6,295,1702
'0:0:6.65,243,1688
'0:0:6.7,233,1728
'0:0:6.75,291,1790
'0:0:6.8,403,1831
'0:0:6.85,452,1843
'0:0:6.9,435,1855
'0:0:6.95,313,1870
'0:0:7.0,212,1866
'0:0:7.05,260,1833
'0:0:7.1,334,1832
'0:0:7.15,462,1891
'0:0:7.2,499,1955
'0:0:7.25,206,1969
'0:0:7.3,140,1964
'0:0:7.35,434,1976
'0:0:7.4,458,1992
'0:0:7.45,426,1986
'0:0:7.5,304,1968
'0:0:7.55,215,1983
'0:0:7.6,261,2020
'0:0:7.65,420,2024
'0:0:7.7,516,2006
'0:0:7.75,559,1992
'0:0:7.8,464,1972
'0:0:7.85,190,1932
'0:0:7.9,31,1863
'0:0:7.95,142,1830
'0:0:8.0,247,1846
'0:0:8.05,345,1864
'0:0:8.1,665,1838
'0:0:8.15,1022,1784
'0:0:8.2,627,1740
'0:0:8.25,0,1716
'0:0:8.3,2,1683
'0:0:8.35,23,1647
'0:0:8.4,92,1643
'0:0:8.45,216,1655
'0:0:8.5,467,1640
'0:0:8.55,736,1608
'0:0:8.6,795,1589
'0:0:8.65,636,1580
'0:0:8.7,396,1551
'0:0:8.75,315,1509
'0:0:8.8,382,1483
'0:0:8.85,388,1504
'0:0:8.9,342,1547
'0:0:8.95,79,1555
'0:0:9.0,81,1516
'0:0:9.05,178,1482
'0:0:9.1,231,1483
'0:0:9.15,234,1482
'0:0:9.2,171,1435
'0:0:9.25,155,1424
'0:0:9.3,245,1458
'0:0:9.35,389,1442
'0:0:9.4,444,1403
'0:0:9.45,511,1395
'0:0:9.5,541,1402
'0:0:9.55,415,1411
'0:0:9.6,351,1377
'0:0:9.65,598,1341
'0:0:9.7,441,1370
