,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,3883,
'0:0:0.05,3872,
'0:0:0.1,3861,
'0:0:0.15,3849,
'0:0:0.2,3843,
'0:0:0.25,3845,
'0:0:0.3,3855,
'0:0:0.35,3861,
'0:0:0.4,3866,
'0:0:0.45,3876,
'0:0:0.5,3891,
'0:0:0.55,3904,
'0:0:0.6,3922,
'0:0:0.65,3937,
'0:0:0.7,3952,
'0:0:0.75,3968,
'0:0:0.8,3988,
'0:0:0.85,4008,
'0:0:0.9,4031,
'0:0:0.95,4057,
'0:0:1.0,4090,
'0:0:1.05,4121,
'0:0:1.1,4149,
'0:0:1.15,4172,
'0:0:1.2,4200,
'0:0:1.25,4229,
'0:0:1.3,4254,
'0:0:1.35,4275,
'0:0:1.4,4297,
'0:0:1.45,4319,
'0:0:1.5,4344,
'0:0:1.55,4366,
'0:0:1.6,4386,
'0:0:1.65,4404,
'0:0:1.7,4421,
'0:0:1.75,4432,
'0:0:1.8,4442,
'0:0:1.85,4452,
'0:0:1.9,4467,
'0:0:1.95,4479,
'0:0:2.0,4486,
'0:0:2.05,4490,
'0:0:2.1,4493,
'0:0:2.15,4500,
'0:0:2.2,4507,
'0:0:2.25,4514,
'0:0:2.3,4522,
'0:0:2.35,4529,
'0:0:2.4,4528,
'0:0:2.45,4519,
'0:0:2.5,4499,
'0:0:2.55,4471,
'0:0:2.6,4431,
'0:0:2.65,4386,
'0:0:2.7,4337,
'0:0:2.75,4293,
'0:0:2.8,4253,
'0:0:2.85,4221,
'0:0:2.9,4191,
'0:0:2.95,4165,
'0:0:3.0,4136,
'0:0:3.05,4108,
'0:0:3.1,4083,
'0:0:3.15,4064,
'0:0:3.2,4046,
'0:0:3.25,4031,
'0:0:3.3,4015,
'0:0:3.35,4003,
'0:0:3.4,3992,
'0:0:3.45,3986,
'0:0:3.5,3983,
'0:0:3.55,3979,
'0:0:3.6,3973,
'0:0:3.65,3971,
'0:0:3.7,3972,
'0:0:3.75,3972,
'0:0:3.8,3964,
'0:0:3.85,3956,
'0:0:3.9,3955,
'0:0:3.95,3955,
'0:0:4.0,3950,
'0:0:4.05,3944,
'0:0:4.1,3937,
'0:0:4.15,3934,
'0:0:4.2,3933,
'0:0:4.25,3931,
'0:0:4.3,3927,
'0:0:4.35,3923,
'0:0:4.4,3920,
'0:0:4.45,3915,
'0:0:4.5,3908,
'0:0:4.55,3903,
'0:0:4.6,3901,
'0:0:4.65,3901,
'0:0:4.7,3907,
'0:0:4.75,3923,
'0:0:4.8,3948,
'0:0:4.85,3968,
'0:0:4.9,3989,
'0:0:4.95,4010,
'0:0:5.0,4032,
'0:0:5.05,4054,
'0:0:5.1,4075,
'0:0:5.15,4094,
'0:0:5.2,4115,
'0:0:5.25,4134,
'0:0:5.3,4154,
'0:0:5.35,4173,
'0:0:5.4,4194,
'0:0:5.45,4211,
'0:0:5.5,4229,
'0:0:5.55,4249,
'0:0:5.6,4276,
'0:0:5.65,4299,
'0:0:5.7,4315,
'0:0:5.75,4328,
'0:0:5.8,4341,
'0:0:5.85,4354,
'0:0:5.9,4369,
'0:0:5.95,4380,
'0:0:6.0,4392,
'0:0:6.05,4403,
'0:0:6.1,4413,
'0:0:6.15,4423,
'0:0:6.2,4430,
'0:0:6.25,4430,
'0:0:6.3,4421,
'0:0:6.35,4413,
'0:0:6.4,4397,
'0:0:6.45,4378,
'0:0:6.5,4361,
'0:0:6.55,4344,
'0:0:6.6,4322,
'0:0:6.65,4290,
'0:0:6.7,4246,
'0:0:6.75,4209,
'0:0:6.8,4176,
'0:0:6.85,4146,
'0:0:6.9,4120,
'0:0:6.95,4098,
'0:0:7.0,4078,
'0:0:7.05,4066,
'0:0:7.1,4053,
'0:0:7.15,4040,
'0:0:7.2,4030,
'0:0:7.25,4025,
'0:0:7.3,4016,
'0:0:7.35,4008,
'0:0:7.4,4004,
'0:0:7.45,3999,
'0:0:7.5,3992,
'0:0:7.55,3986,
'0:0:7.6,3979,
'0:0:7.65,3974,
'0:0:7.7,3971,
'0:0:7.75,3966,
'0:0:7.8,3962,
'0:0:7.85,3956,
'0:0:7.9,3948,
'0:0:7.95,3942,
'0:0:8.0,3935,
'0:0:8.05,3928,
'0:0:8.1,3923,
'0:0:8.15,3919,
'0:0:8.2,3910,
'0:0:8.25,3902,
'0:0:8.3,3897,
'0:0:8.35,3898,
'0:0:8.4,3904,
'0:0:8.45,3909,
'0:0:8.5,3913,
'0:0:8.55,3920,
'0:0:8.6,3937,
'0:0:8.65,3956,
'0:0:8.7,3978,
'0:0:8.75,4000,
'0:0:8.8,4025,
'0:0:8.85,4050,
'0:0:8.9,4077,
'0:0:8.95,4104,
'0:0:9.0,4142,
'0:0:9.05,4183,
'0:0:9.1,4232,
'0:0:9.15,4270,
'0:0:9.2,4296,
'0:0:9.25,4315,
'0:0:9.3,4328,
'0:0:9.35,4334,
'0:0:9.4,4338,
'0:0:9.45,4344,
'0:0:9.5,4349,
'0:0:9.55,4352,
'0:0:9.6,4356,
'0:0:9.65,4366,
'0:0:9.7,4384,
'0:0:9.75,4398,
