,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:11.95,2456,
'0:0:12.0,2482,
'0:0:12.05,2474,
'0:0:12.1,2495,
'0:0:12.15,2536,
'0:0:12.2,2592,
'0:0:12.25,2603,
'0:0:12.3,2590,
'0:0:12.35,2637,
'0:0:12.4,2707,
'0:0:12.45,2721,
'0:0:12.5,2715,
'0:0:12.55,2717,
'0:0:12.6,2715,
'0:0:12.65,2684,
'0:0:12.7,2616,
'0:0:12.75,2610,
'0:0:12.8,2691,
'0:0:12.85,2756,
'0:0:12.9,2775,
'0:0:12.95,2778,
'0:0:13.0,2807,
'0:0:13.05,2858,
'0:0:13.1,2891,
'0:0:13.15,2942,
'0:0:13.2,3026,
'0:0:13.25,3053,
'0:0:13.3,3033,
'0:0:13.35,3024,
'0:0:13.4,3046,
'0:0:13.45,3068,
'0:0:13.5,3064,
'0:0:13.55,3030,
'0:0:13.6,3065,
'0:0:13.65,3141,
'0:0:13.7,3143,
'0:0:13.75,3097,
'0:0:13.8,3053,
'0:0:13.85,3040,
'0:0:13.9,2990,
'0:0:13.95,2902,
'0:0:14.0,2875,
'0:0:14.05,2891,
'0:0:14.1,2846,
'0:0:14.15,2763,
'0:0:14.2,2680,
'0:0:14.25,2638,
'0:0:14.3,2613,
'0:0:14.35,2586,
'0:0:14.4,2636,
'0:0:14.45,2750,
'0:0:14.5,2800,
'0:0:14.55,2746,
'0:0:14.6,2686,
'0:0:14.65,2708,
'0:0:14.7,2773,
'0:0:14.75,2771,
'0:0:14.8,2661,
'0:0:14.85,2591,
'0:0:14.9,2641,
'0:0:14.95,2672,
'0:0:15.0,2604,
'0:0:15.05,2527,
'0:0:15.1,2479,
'0:0:15.15,2467,
'0:0:15.2,2449,
'0:0:15.25,2488,
'0:0:15.3,2611,
'0:0:15.35,2657,
'0:0:15.4,2624,
'0:0:15.45,2603,
'0:0:15.5,2620,
'0:0:15.55,2647,
'0:0:15.6,2637,
'0:0:15.65,2542,
'0:0:15.7,2515,
'0:0:15.75,2586,
'0:0:15.8,2576,
'0:0:15.85,2492,
'0:0:15.9,2407,
'0:0:15.95,2381,
'0:0:16.0,2374,
'0:0:16.05,2335,
'0:0:16.1,2335,
'0:0:16.15,2403,
'0:0:16.2,2451,
'0:0:16.25,2462,
'0:0:16.3,2492,
'0:0:16.35,2554,
'0:0:16.4,2631,
'0:0:16.45,2657,
'0:0:16.5,2610,
'0:0:16.55,2596,
'0:0:16.6,2645,
'0:0:16.65,2684,
'0:0:16.7,2688,
'0:0:16.75,2663,
'0:0:16.8,2639,
'0:0:16.85,2640,
