,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,3990,
'0:0:0.05,3987,
'0:0:0.1,3985,
'0:0:0.15,3973,
'0:0:0.2,3963,
'0:0:0.25,3957,
'0:0:0.3,3962,
'0:0:0.35,3973,
'0:0:0.4,3982,
'0:0:0.45,3992,
'0:0:0.5,4000,
'0:0:0.55,4009,
'0:0:0.6,4021,
'0:0:0.65,4036,
'0:0:0.7,4047,
'0:0:0.75,4055,
'0:0:0.8,4062,
'0:0:0.85,4072,
'0:0:0.9,4084,
'0:0:0.95,4095,
'0:0:1.0,4108,
'0:0:1.05,4123,
'0:0:1.1,4139,
'0:0:1.15,4158,
'0:0:1.2,4177,
'0:0:1.25,4193,
'0:0:1.3,4206,
'0:0:1.35,4223,
'0:0:1.4,4239,
'0:0:1.45,4255,
'0:0:1.5,4269,
'0:0:1.55,4285,
'0:0:1.6,4297,
'0:0:1.65,4311,
'0:0:1.7,4326,
'0:0:1.75,4340,
'0:0:1.8,4348,
'0:0:1.85,4356,
'0:0:1.9,4366,
'0:0:1.95,4378,
'0:0:2.0,4384,
'0:0:2.05,4381,
'0:0:2.1,4368,
'0:0:2.15,4347,
'0:0:2.2,4323,
'0:0:2.25,4301,
'0:0:2.3,4282,
'0:0:2.35,4257,
'0:0:2.4,4228,
'0:0:2.45,4201,
'0:0:2.5,4180,
'0:0:2.55,4160,
'0:0:2.6,4145,
'0:0:2.65,4126,
'0:0:2.7,4109,
'0:0:2.75,4094,
'0:0:2.8,4080,
'0:0:2.85,4067,
'0:0:2.9,4056,
'0:0:2.95,4046,
'0:0:3.0,4037,
'0:0:3.05,4026,
'0:0:3.1,4014,
'0:0:3.15,4003,
'0:0:3.2,3996,
'0:0:3.25,3987,
'0:0:3.3,3979,
'0:0:3.35,3974,
'0:0:3.4,3979,
'0:0:3.45,3991,
'0:0:3.5,3998,
'0:0:3.55,4001,
'0:0:3.6,4003,
'0:0:3.65,4005,
'0:0:3.7,4004,
'0:0:3.75,4000,
'0:0:3.8,3995,
'0:0:3.85,3989,
'0:0:3.9,3983,
'0:0:3.95,3978,
'0:0:4.0,3973,
'0:0:4.05,3969,
'0:0:4.1,3966,
'0:0:4.15,3967,
'0:0:4.2,3971,
'0:0:4.25,3971,
'0:0:4.3,3970,
'0:0:4.35,3972,
'0:0:4.4,3980,
'0:0:4.45,3993,
'0:0:4.5,4004,
'0:0:4.55,4015,
'0:0:4.6,4028,
'0:0:4.65,4043,
'0:0:4.7,4056,
'0:0:4.75,4064,
'0:0:4.8,4063,
'0:0:4.85,4059,
'0:0:4.9,4066,
'0:0:4.95,4081,
'0:0:5.0,4089,
'0:0:5.05,4092,
'0:0:5.1,4096,
'0:0:5.15,4107,
'0:0:5.2,4121,
'0:0:5.25,4135,
'0:0:5.3,4144,
'0:0:5.35,4149,
'0:0:5.4,4154,
'0:0:5.45,4162,
'0:0:5.5,4169,
'0:0:5.55,4177,
'0:0:5.6,4187,
'0:0:5.65,4198,
'0:0:5.7,4205,
'0:0:5.75,4211,
'0:0:5.8,4218,
'0:0:5.85,4224,
'0:0:5.9,4227,
'0:0:5.95,4231,
'0:0:6.0,4234,
'0:0:6.05,4237,
'0:0:6.1,4238,
'0:0:6.15,4232,
'0:0:6.2,4222,
'0:0:6.25,4218,
'0:0:6.3,4220,
'0:0:6.35,4218,
'0:0:6.4,4209,
'0:0:6.45,4194,
'0:0:6.5,4180,
'0:0:6.55,4166,
'0:0:6.6,4153,
'0:0:6.65,4135,
'0:0:6.7,4118,
'0:0:6.75,4106,
'0:0:6.8,4102,
'0:0:6.85,4096,
'0:0:6.9,4087,
'0:0:6.95,4079,
'0:0:7.0,4076,
'0:0:7.05,4075,
'0:0:7.1,4073,
'0:0:7.15,4073,
'0:0:7.2,4076,
'0:0:7.25,4080,
'0:0:7.3,4085,
'0:0:7.35,4095,
'0:0:7.4,4106,
'0:0:7.45,4122,
'0:0:7.5,4135,
'0:0:7.55,4139,
'0:0:7.6,4133,
'0:0:7.65,4123,
'0:0:7.7,4116,
'0:0:7.75,4111,
'0:0:7.8,4106,
'0:0:7.85,4102,
'0:0:7.9,4098,
'0:0:7.95,4096,
'0:0:8.0,4094,
'0:0:8.05,4093,
'0:0:8.1,4093,
'0:0:8.15,4095,
'0:0:8.2,4106,
'0:0:8.25,4121,
'0:0:8.3,4132,
'0:0:8.35,4140,
'0:0:8.4,4148,
'0:0:8.45,4156,
'0:0:8.5,4164,
'0:0:8.55,4173,
'0:0:8.6,4183,
'0:0:8.65,4197,
'0:0:8.7,4212,
'0:0:8.75,4236,
'0:0:8.8,4282,
'0:0:8.85,4346,
'0:0:8.9,4391,
'0:0:8.95,4425,
'0:0:9.0,4449,
'0:0:9.05,4463,
'0:0:9.1,4470,
'0:0:9.15,4474,
'0:0:9.2,4478,
'0:0:9.25,4482,
'0:0:9.3,4482,
'0:0:9.35,4480,
'0:0:9.4,4476,
'0:0:9.45,4474,
'0:0:9.5,4473,
'0:0:9.55,4476,
'0:0:9.6,4484,
'0:0:9.65,4494,
'0:0:9.7,4504,
'0:0:9.75,4516,
