,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,357,2323
'0:0:0.05,331,2343
'0:0:0.1,323,2358
'0:0:0.15,326,2372
'0:0:0.2,334,2381
'0:0:0.25,333,2384
'0:0:0.3,337,2383
'0:0:0.35,344,2372
'0:0:0.4,344,2357
'0:0:0.45,343,2338
'0:0:0.5,370,2322
'0:0:0.55,434,2305
'0:0:0.6,415,2288
'0:0:0.65,368,2271
'0:0:0.7,345,2258
'0:0:0.75,338,2247
'0:0:0.8,351,2237
'0:0:0.85,353,2228
'0:0:0.9,340,2221
'0:0:0.95,332,2215
'0:0:1.0,327,2208
'0:0:1.05,329,2198
'0:0:1.1,329,2187
'0:0:1.15,373,2174
'0:0:1.2,381,2160
'0:0:1.25,357,2149
'0:0:1.3,339,2142
'0:0:1.35,388,2129
'0:0:1.4,432,2115
'0:0:1.45,357,2098
'0:0:1.5,329,2087
'0:0:1.55,327,2086
'0:0:1.6,330,2094
'0:0:1.65,349,2108
'0:0:1.7,351,2123
'0:0:1.75,343,2142
'0:0:1.8,336,2161
'0:0:1.85,334,2185
'0:0:1.9,330,2206
'0:0:1.95,328,2227
'0:0:2.0,330,2251
'0:0:2.05,331,2279
'0:0:2.1,332,2305
'0:0:2.15,328,2332
'0:0:2.2,347,2360
'0:0:2.25,431,2391
'0:0:2.3,442,2416
'0:0:2.35,398,2445
'0:0:2.4,368,2470
'0:0:2.45,352,2498
'0:0:2.5,355,2526
'0:0:2.55,359,2554
'0:0:2.6,351,2576
'0:0:2.65,341,2600
'0:0:2.7,337,2624
'0:0:2.75,336,2653
'0:0:2.8,340,2676
'0:0:2.85,339,2697
'0:0:2.9,338,2717
'0:0:2.95,333,2734
'0:0:3.0,346,2752
'0:0:3.05,416,2771
'0:0:3.1,430,2782
'0:0:3.15,394,2795
'0:0:3.2,365,2808
'0:0:3.25,349,2828
'0:0:3.3,357,2851
'0:0:3.35,360,2872
'0:0:3.4,349,2893
'0:0:3.45,336,2917
'0:0:3.5,335,2939
'0:0:3.55,340,2959
'0:0:3.6,339,2969
'0:0:3.65,338,2971
'0:0:3.7,336,2976
'0:0:3.75,368,2965
'0:0:3.8,426,2903
'0:0:3.85,418,2813
'0:0:3.9,382,2748
'0:0:3.95,349,2695
'0:0:4.0,340,2659
'0:0:4.05,354,2620
'0:0:4.1,357,2582
'0:0:4.15,344,2544
'0:0:4.2,334,2514
'0:0:4.25,334,2482
'0:0:4.3,334,2449
'0:0:4.35,332,2412
'0:0:4.4,331,2379
'0:0:4.45,363,2346
'0:0:4.5,421,2318
'0:0:4.55,411,2289
'0:0:4.6,373,2264
'0:0:4.65,347,2241
'0:0:4.7,344,2224
'0:0:4.75,355,2204
'0:0:4.8,352,2185
'0:0:4.85,340,2165
'0:0:4.9,333,2145
'0:0:4.95,332,2130
'0:0:5.0,334,2123
'0:0:5.05,336,2111
'0:0:5.1,332,2097
'0:0:5.15,334,2083
'0:0:5.2,401,2072
'0:0:5.25,432,2064
'0:0:5.3,396,2058
'0:0:5.35,362,2053
'0:0:5.4,344,2050
'0:0:5.45,349,2049
'0:0:5.5,355,2042
'0:0:5.55,346,2033
'0:0:5.6,336,2028
'0:0:5.65,331,2025
'0:0:5.7,331,2025
'0:0:5.75,332,2030
'0:0:5.8,335,2037
'0:0:5.85,334,2041
'0:0:5.9,332,2040
'0:0:5.95,326,2033
'0:0:6.0,356,2025
'0:0:6.05,440,2017
'0:0:6.1,432,2011
'0:0:6.15,382,2008
'0:0:6.2,356,2005
'0:0:6.25,346,2005
'0:0:6.3,348,2012
'0:0:6.35,350,2024
'0:0:6.4,337,2042
'0:0:6.45,333,2066
'0:0:6.5,334,2091
'0:0:6.55,334,2120
'0:0:6.6,332,2148
'0:0:6.65,331,2180
'0:0:6.7,329,2209
'0:0:6.75,330,2239
'0:0:6.8,328,2262
'0:0:6.85,331,2291
'0:0:6.9,400,2319
'0:0:6.95,429,2350
'0:0:7.0,389,2379
'0:0:7.05,353,2405
'0:0:7.1,342,2429
'0:0:7.15,348,2457
'0:0:7.2,355,2484
'0:0:7.25,350,2513
'0:0:7.3,339,2539
'0:0:7.35,333,2568
'0:0:7.4,330,2596
'0:0:7.45,336,2626
'0:0:7.5,336,2653
'0:0:7.55,331,2675
'0:0:7.6,331,2687
'0:0:7.65,355,2703
'0:0:7.7,409,2719
'0:0:7.75,400,2733
'0:0:7.8,362,2743
'0:0:7.85,342,2755
'0:0:7.9,342,2767
'0:0:7.95,353,2779
'0:0:8.0,352,2788
'0:0:8.05,341,2796
'0:0:8.1,334,2802
'0:0:8.15,336,2810
'0:0:8.2,338,2811
'0:0:8.25,339,2802
'0:0:8.3,337,2792
'0:0:8.35,345,2792
'0:0:8.4,398,2796
'0:0:8.45,406,2793
'0:0:8.5,371,2786
'0:0:8.55,347,2778
'0:0:8.6,339,2770
'0:0:8.65,349,2751
'0:0:8.7,352,2724
'0:0:8.75,345,2691
'0:0:8.8,338,2659
'0:0:8.85,337,2623
'0:0:8.9,338,2589
'0:0:8.95,338,2550
'0:0:9.0,336,2511
'0:0:9.05,347,2472
'0:0:9.1,398,2442
'0:0:9.15,403,2413
'0:0:9.2,368,2390
'0:0:9.25,346,2361
'0:0:9.3,339,2335
'0:0:9.35,347,2312
'0:0:9.4,348,2289
'0:0:9.45,342,2267
'0:0:9.5,335,2249
'0:0:9.55,334,2228
'0:0:9.6,334,2212
'0:0:9.65,336,2197
'0:0:9.7,336,2182
